ticker,conm,ret,year,month,EW,VW,PW,n
KALV,KALVISTA PHARMACEUTICALS,,2016,11,1,,,4444
KALV,KALVISTA PHARMACEUTICALS,-0.136752137,2016,12,1,15.41358,8.19,4444
KALV,KALVISTA PHARMACEUTICALS,-0.005657709,2017,1,1,70.16975,7.07,4444
KALV,KALVISTA PHARMACEUTICALS,0.0426742532,2017,2,1,69.77275,7.03,4444
KALV,KALVISTA PHARMACEUTICALS,0.0654843111,2017,3,1,72.75025,7.33,4444
KALV,KALVISTA PHARMACEUTICALS,-0.041139565,2017,4,1,75.85853,7.81,4444
KALV,KALVISTA PHARMACEUTICALS,-0.027868655,2017,5,1,72.7377431,7.4887,4444
KALV,KALVISTA PHARMACEUTICALS,0.010989011,2017,6,1,70.71064,7.28,4444
KALV,KALVISTA PHARMACEUTICALS,-0.016304348,2017,7,1,71.48768,7.36,4444
KALV,KALVISTA PHARMACEUTICALS,-0.087016575,2017,8,1,70.32212,7.24,4444
KALV,KALVISTA PHARMACEUTICALS,0.0181543116,2017,9,1,64.20293,6.61,4444
KALV,KALVISTA PHARMACEUTICALS,0.8915304606,2017,10,1,65.36849,6.73,4444
KALV,KALVISTA PHARMACEUTICALS,-0.221523959,2017,11,1,123.64649,12.73,4444
KALV,KALVISTA PHARMACEUTICALS,-0.016145308,2017,12,1,96.25583,9.91,4444
KALV,KALVISTA PHARMACEUTICALS,0.0707692308,2018,1,1,105.15375,9.75,4444
KALV,KALVISTA PHARMACEUTICALS,-0.004789272,2018,2,1,112.5954,10.44,4444
KALV,KALVISTA PHARMACEUTICALS,-0.087584216,2018,3,1,112.05615,10.39,4444
KALV,KALVISTA PHARMACEUTICALS,0.0147679325,2018,4,1,102.34608,9.48,4444
KALV,KALVISTA PHARMACEUTICALS,-0.098752599,2018,5,1,103.85752,9.62,4444
KALV,KALVISTA PHARMACEUTICALS,-0.06343714,2018,6,1,93.60132,8.67,4444
KALV,KALVISTA PHARMACEUTICALS,0.1533251232,2018,7,1,87.66352,8.12,4444
KALV,KALVISTA PHARMACEUTICALS,0.8259476775,2018,8,1,101.142,9.365,4444
KALV,KALVISTA PHARMACEUTICALS,0.2929824561,2018,9,1,215.1009,17.1,4444
KALV,KALVISTA PHARMACEUTICALS,-0.145183175,2018,10,1,379.8498,22.11,4444
KALV,KALVISTA PHARMACEUTICALS,0.273015873,2018,11,1,324.702,18.9,4444
KALV,KALVISTA PHARMACEUTICALS,-0.179135495,2018,12,1,413.3508,24.06,4444
KALV,KALVISTA PHARMACEUTICALS,-0.053670886,2019,1,1,340.2135,19.75,4444
KALV,KALVISTA PHARMACEUTICALS,0.2134831461,2019,2,1,321.95394,18.69,4444
KALV,KALVISTA PHARMACEUTICALS,0.2619047619,2019,3,1,390.68568,22.68,4444
KALV,KALVISTA PHARMACEUTICALS,-0.196366177,2019,4,1,493.60914,28.62,4444
KALV,KALVISTA PHARMACEUTICALS,-0.076086957,2019,5,1,396.681,23,4444
KALV,KALVISTA PHARMACEUTICALS,0.0423529412,2019,6,1,366.49875,21.25,4444
KALV,KALVISTA PHARMACEUTICALS,-0.251015801,2019,7,1,382.02105,22.15,4444
KALV,KALVISTA PHARMACEUTICALS,-0.058468957,2019,8,1,288.46692,16.59,4444
KALV,KALVISTA PHARMACEUTICALS,-0.257362356,2019,9,1,278.2703,15.62,4444
KALV,KALVISTA PHARMACEUTICALS,-0.086206897,2019,10,1,206.654,11.6,4444
KALV,KALVISTA PHARMACEUTICALS,0.3660377358,2019,11,1,188.839,10.6,4444
KALV,KALVISTA PHARMACEUTICALS,0.2299723757,2019,12,1,257.9612,14.48,4444
KALV,KALVISTA PHARMACEUTICALS,-0.140932061,2020,1,1,317.62354,17.81,4444
KALV,KALVISTA PHARMACEUTICALS,-0.120915033,2020,2,1,272.8602,15.3,4444
KALV,KALVISTA PHARMACEUTICALS,-0.431226766,2020,3,1,239.8673,13.45,4444
KALV,KALVISTA PHARMACEUTICALS,0.4261437908,2020,4,1,136.5219,7.65,4444
KALV,KALVISTA PHARMACEUTICALS,0.0311640697,2020,5,1,194.69986,10.91,4444
KALV,KALVISTA PHARMACEUTICALS,0.0755555556,2020,6,1,200.7675,11.25,4444
KALV,KALVISTA PHARMACEUTICALS,-0.187603306,2020,7,1,215.9366,12.1,4444
KALV,KALVISTA PHARMACEUTICALS,0.3326551373,2020,8,1,175.43601,9.83,4444
KALV,KALVISTA PHARMACEUTICALS,-0.038931298,2020,9,1,234.5293,13.1,4444
KALV,KALVISTA PHARMACEUTICALS,0.3669579031,2020,10,1,225.46172,12.59,4444
KALV,KALVISTA PHARMACEUTICALS,0.0871586287,2020,11,1,308.19668,17.21,4444
KALV,KALVISTA PHARMACEUTICALS,0.0149652592,2020,12,1,335.05868,18.71,4444
