ticker,conm,ret,year,month,EW,VW,PW,n
KEM,KEMET CORP,0.0554785021,2000,1,1,1723.73075,45.0625,3912
KEM,KEMET CORP,0.2917214192,2000,2,1,2009.8485625,47.5625,3912
KEM,KEMET CORP,0.0295015259,2000,3,1,2668.2920625,61.4375,3912
KEM,KEMET CORP,0.1778656126,2000,4,1,2747.01075,63.25,3912
KEM,KEMET CORP,-0.098154362,2000,5,1,3235.6095,74.5,3912
KEM,KEMET CORP,-0.253953488,2000,6,1,2918.0203125,67.1875,3912
KEM,KEMET CORP,-0.042394015,2000,7,1,2190.713125,25.0625,3912
KEM,KEMET CORP,0.25,2000,8,1,2097.84,24,3912
KEM,KEMET CORP,-0.079166667,2000,9,1,2622.6,30,3912
KEM,KEMET CORP,0.0090497738,2000,10,1,2414.9775,27.625,3912
KEM,KEMET CORP,-0.372197309,2000,11,1,2436.8325,27.875,3912
KEM,KEMET CORP,-0.135714286,2000,12,1,1531.67,17.5,3912
KEM,KEMET CORP,0.520661157,2001,1,1,1323.8005,15.125,3912
KEM,KEMET CORP,-0.268695652,2001,2,1,2013.052,23,3912
KEM,KEMET CORP,0.0071343639,2001,3,1,1472.15368,16.82,3912
KEM,KEMET CORP,0.2113341204,2001,4,1,1482.65656,16.94,3912
KEM,KEMET CORP,-0.105750487,2001,5,1,1795.99248,20.52,3912
KEM,KEMET CORP,0.0953678474,2001,6,1,1607.4967,18.35,3912
KEM,KEMET CORP,-0.03681592,2001,7,1,1723.1328,20.1,3912
KEM,KEMET CORP,-0.059917355,2001,8,1,1659.69408,19.36,3912
KEM,KEMET CORP,-0.095604396,2001,9,1,1558.557,18.2,3912
KEM,KEMET CORP,0.0862697448,2001,10,1,1409.5521,16.46,3912
KEM,KEMET CORP,-0.054809843,2001,11,1,1531.1538,17.88,3912
KEM,KEMET CORP,0.050295858,2001,12,1,1447.6709,16.9,3912
KEM,KEMET CORP,0.014084507,2002,1,1,1520.48275,17.75,3912
KEM,KEMET CORP,-0.095,2002,2,1,1541.898,18,3912
KEM,KEMET CORP,0.189073051,2002,3,1,1398.46392,16.29,3912
KEM,KEMET CORP,0,2002,4,1,1662.87576,19.37,3912
KEM,KEMET CORP,0.0438822922,2002,5,1,1662.87576,19.37,3912
KEM,KEMET CORP,-0.116716123,2002,6,1,1735.84656,20.22,3912
KEM,KEMET CORP,-0.276035834,2002,7,1,1538.49612,17.86,3912
KEM,KEMET CORP,-0.068058778,2002,8,1,1113.81606,12.93,3912
KEM,KEMET CORP,-0.290456432,2002,9,1,1038.1557,12.05,3912
KEM,KEMET CORP,0.0257309942,2002,10,1,736.6167,8.55,3912
KEM,KEMET CORP,0.2394526796,2002,11,1,755.57058,8.77,3912
KEM,KEMET CORP,-0.195952162,2002,12,1,936.86356,10.87,3912
KEM,KEMET CORP,-0.130434783,2003,1,1,753.28312,8.74,3912
KEM,KEMET CORP,0.05,2003,2,1,655.0288,7.6,3912
KEM,KEMET CORP,-0.022556391,2003,3,1,687.97176,7.98,3912
KEM,KEMET CORP,0.1756410256,2003,4,1,672.4536,7.8,3912
KEM,KEMET CORP,0.1014176663,2003,5,1,790.56404,9.17,3912
KEM,KEMET CORP,0,2003,6,1,870.7412,10.1,3912
KEM,KEMET CORP,0.0742574257,2003,7,1,887.9819,10.1,3912
KEM,KEMET CORP,0.1299539171,2003,8,1,953.92115,10.85,3912
KEM,KEMET CORP,0.0391517129,2003,9,1,1059.03106,12.26,3912
KEM,KEMET CORP,0.0400313972,2003,10,1,1100.49394,12.74,3912
KEM,KEMET CORP,-0.003773585,2003,11,1,1144.54825,13.25,3912
KEM,KEMET CORP,0.0371212121,2003,12,1,1140.876,13.2,3912
KEM,KEMET CORP,0.1102994887,2004,1,1,1183.2267,13.69,3912
KEM,KEMET CORP,-0.031578947,2004,2,1,1313.736,15.2,3912
KEM,KEMET CORP,-0.025815217,2004,3,1,1272.41152,14.72,3912
KEM,KEMET CORP,-0.136680614,2004,4,1,1239.56394,14.34,3912
KEM,KEMET CORP,-0.018578352,2004,5,1,1070.13958,12.38,3912
KEM,KEMET CORP,0.0057613169,2004,6,1,1050.25815,12.15,3912
KEM,KEMET CORP,-0.174304419,2004,7,1,1056.94446,12.22,3912
KEM,KEMET CORP,-0.140733399,2004,8,1,872.71437,10.09,3912
KEM,KEMET CORP,-0.066897347,2004,9,1,749.97234,8.67,3912
KEM,KEMET CORP,-0.0407911,2004,10,1,699.80118,8.09,3912
KEM,KEMET CORP,0.1417525773,2004,11,1,671.25552,7.76,3912
KEM,KEMET CORP,0.0101580135,2004,12,1,766.55834,8.86,3912
KEM,KEMET CORP,-0.055865922,2005,1,1,774.34505,8.95,3912
KEM,KEMET CORP,-0.033136095,2005,2,1,731.08555,8.45,3912
KEM,KEMET CORP,-0.051407589,2005,3,1,707.00729,8.17,3912
KEM,KEMET CORP,-0.193548387,2005,4,1,670.66175,7.75,3912
KEM,KEMET CORP,0.12,2005,5,1,540.85625,6.25,3912
KEM,KEMET CORP,-0.1,2005,6,1,605.759,7,3912
KEM,KEMET CORP,0.3301587302,2005,7,1,545.6871,6.3,3912
KEM,KEMET CORP,-0.031026253,2005,8,1,725.85046,8.38,3912
KEM,KEMET CORP,0.0320197044,2005,9,1,703.33816,8.12,3912
KEM,KEMET CORP,-0.174224344,2005,10,1,725.85884,8.38,3912
KEM,KEMET CORP,0.1560693642,2005,11,1,599.39656,6.92,3912
KEM,KEMET CORP,-0.11625,2005,12,1,693.568,8,3912
KEM,KEMET CORP,0.2984441301,2006,1,1,612.94072,7.07,3912
KEM,KEMET CORP,-0.029411765,2006,2,1,795.86928,9.18,3912
KEM,KEMET CORP,0.0628507295,2006,3,1,773.10288,8.91,3912
KEM,KEMET CORP,0.141499472,2006,4,1,821.69296,9.47,3912
KEM,KEMET CORP,-0.115633673,2006,5,1,937.96208,10.81,3912
KEM,KEMET CORP,-0.035564854,2006,6,1,829.50208,9.56,3912
KEM,KEMET CORP,-0.092190889,2006,7,1,802.12156,9.22,3912
KEM,KEMET CORP,-0.016726404,2006,8,1,728.17326,8.37,3912
KEM,KEMET CORP,-0.019441069,2006,9,1,716.01,8.23,3912
KEM,KEMET CORP,-0.089219331,2006,10,1,702.09,8.07,3912
KEM,KEMET CORP,0,2006,11,1,639.45,7.35,3912
KEM,KEMET CORP,-0.006802721,2006,12,1,639.6705,7.35,3912
KEM,KEMET CORP,0.0328767123,2007,1,1,635.319,7.3,3912
KEM,KEMET CORP,0.0358090186,2007,2,1,656.2062,7.54,3912
KEM,KEMET CORP,-0.020486556,2007,3,1,653.96254,7.81,3912
KEM,KEMET CORP,0.108496732,2007,4,1,640.5651,7.65,3912
KEM,KEMET CORP,-0.094339623,2007,5,1,710.06432,8.48,3912
KEM,KEMET CORP,-0.08203125,2007,6,1,644.05248,7.68,3912
KEM,KEMET CORP,-0.00141844,2007,7,1,591.3258,7.05,3912
KEM,KEMET CORP,-0.019886364,2007,8,1,590.48704,7.04,3912
KEM,KEMET CORP,0.0652173913,2007,9,1,579.1239,6.9,3912
KEM,KEMET CORP,-0.038095238,2007,10,1,616.89285,7.35,3912
KEM,KEMET CORP,-0.123055163,2007,11,1,593.39217,7.07,3912
KEM,KEMET CORP,0.0693548387,2007,12,1,520.645,6.2,3912
KEM,KEMET CORP,-0.214177979,2008,1,1,556.75425,6.63,3912
KEM,KEMET CORP,-0.047984645,2008,2,1,437.50975,5.21,3912
KEM,KEMET CORP,-0.185483871,2008,3,1,416.58544,4.96,3912
KEM,KEMET CORP,0.0074257426,2008,4,1,339.31556,4.04,3912
KEM,KEMET CORP,-0.00982801,2008,5,1,341.83523,4.07,3912
KEM,KEMET CORP,-0.196029777,2008,6,1,338.47567,4.03,3912
KEM,KEMET CORP,-0.580246914,2008,7,1,260.1882,3.24,3912
KEM,KEMET CORP,0.1911764706,2008,8,1,109.2148,1.36,3912
KEM,KEMET CORP,-0.160493827,2008,9,1,130.31604,1.62,3912
KEM,KEMET CORP,-0.566176471,2008,10,1,109.40112,1.36,3912
KEM,KEMET CORP,-0.288135593,2008,11,1,47.46078,0.59,3912
KEM,KEMET CORP,-0.357142857,2008,12,1,33.8226,0.42,3912
KEM,KEMET CORP,-0.222222222,2009,1,1,21.7431,0.27,3912
KEM,KEMET CORP,-0.357142857,2009,2,1,16.9113,0.21,3912
KEM,KEMET CORP,0.8148148148,2009,3,1,10.893015,0.135,3912
KEM,KEMET CORP,2.2653061224,2009,4,1,19.768805,0.245,3912
KEM,KEMET CORP,-0.4125,2009,5,1,64.5512,0.8,3912
KEM,KEMET CORP,0.0212765957,2009,6,1,37.92383,0.47,3912
KEM,KEMET CORP,0.5208333333,2009,7,1,38.81664,0.48,3912
KEM,KEMET CORP,0.7534246575,2009,8,1,59.03364,0.73,3912
KEM,KEMET CORP,0.1953125,2009,9,1,103.51104,1.28,3912
KEM,KEMET CORP,-0.183006536,2009,10,1,123.72804,1.53,3912
KEM,KEMET CORP,0.08,2009,11,1,101.085,1.25,3912
KEM,KEMET CORP,-0.118518519,2009,12,1,109.1718,1.35,3912
KEM,KEMET CORP,0.2268907563,2010,1,1,96.23292,1.19,3912
KEM,KEMET CORP,-0.082191781,2010,2,1,118.06728,1.46,3912
KEM,KEMET CORP,0.0447761194,2010,3,1,108.36312,1.34,3912
KEM,KEMET CORP,0.4714285714,2010,4,1,113.2152,1.4,3912
KEM,KEMET CORP,0.0242718447,2010,5,1,167.1381,2.06,3912
KEM,KEMET CORP,0.1042654028,2010,6,1,171.19485,2.11,3912
KEM,KEMET CORP,0.3819742489,2010,7,1,189.04455,2.33,3912
KEM,KEMET CORP,-0.161490683,2010,8,1,261.2547,3.22,3912
KEM,KEMET CORP,0.237037037,2010,9,1,219.0645,2.7,3912
KEM,KEMET CORP,0.119760479,2010,10,1,270.9909,3.34,3912
KEM,KEMET CORP,0.2611408074,2010,11,1,303.9685,3.74,3912
KEM,KEMET CORP,0.0303886926,2010,12,1,383.3518,14.15,3912
KEM,KEMET CORP,0.0699588477,2011,1,1,522.00774,14.58,3912
KEM,KEMET CORP,-0.108974359,2011,2,1,558.5268,15.6,3912
KEM,KEMET CORP,0.0669064748,2011,3,1,516.0375,13.9,3912
