ticker,conm,ret,year,month,EW,VW,PW,n
KFN,KKR FINANCIAL HOLDINGS LLC,,2005,6,1,,,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.0208,2005,7,1,1857.725,25,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.044526144,2005,8,1,1819.08432,24.48,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.04916631,2005,9,1,1835.43669,23.39,9000
KFN,KKR FINANCIAL HOLDINGS LLC,0.0035971223,2005,10,1,1787.51776,22.24,9000
KFN,KKR FINANCIAL HOLDINGS LLC,0.0784050179,2005,11,1,1793.94768,22.32,9000
KFN,KKR FINANCIAL HOLDINGS LLC,0.0101052632,2005,12,1,1908.8825,23.75,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.066694456,2006,1,1,1928.17226,23.99,9000
KFN,KKR FINANCIAL HOLDINGS LLC,0.0393032604,2006,2,1,1799.57386,22.39,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.019239178,2006,3,1,1838.15338,22.87,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.037004012,2006,4,1,1802.78882,22.43,9000
KFN,KKR FINANCIAL HOLDINGS LLC,0.0185185185,2006,5,1,1736.0784,21.6,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.034338747,2006,6,1,1732.0597,21.55,9000
KFN,KKR FINANCIAL HOLDINGS LLC,0.1129264777,2006,7,1,1672.58294,20.81,9000
KFN,KKR FINANCIAL HOLDINGS LLC,0.0535405872,2006,8,1,1861.46184,23.16,9000
KFN,KKR FINANCIAL HOLDINGS LLC,0.026348808,2006,9,1,1922.53137,23.91,9000
KFN,KKR FINANCIAL HOLDINGS LLC,0.0933170334,2006,10,1,1973.18778,24.54,9000
KFN,KKR FINANCIAL HOLDINGS LLC,0.0167722698,2006,11,1,2157.31981,26.83,9000
KFN,KKR FINANCIAL HOLDINGS LLC,0.0011210762,2006,12,1,2153.2434,26.76,9000
KFN,KKR FINANCIAL HOLDINGS LLC,0.0100783875,2007,1,1,2155.65735,26.79,9000
KFN,KKR FINANCIAL HOLDINGS LLC,0.0373244642,2007,2,1,2177.3829,27.06,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.003632401,2007,3,1,2215.20145,27.53,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.026248633,2007,4,1,2207.15495,27.43,9000
KFN,KKR FINANCIAL HOLDINGS LLC,0.0235866717,2007,5,1,2149.22015,26.71,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.06982823,2007,6,1,2154.8527,26.78,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.16740265,2007,7,1,2004.38315,24.91,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.226133076,2007,8,1,1668.8441,20.74,9000
KFN,KKR FINANCIAL HOLDINGS LLC,0.1166488057,2007,9,1,1246.92951,15.49,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.073590504,2007,10,1,1626.00815,16.85,9000
KFN,KKR FINANCIAL HOLDINGS LLC,0.0076873799,2007,11,1,1506.34939,15.61,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.077478661,2007,12,1,1755.24227,15.23,9000
KFN,KKR FINANCIAL HOLDINGS LLC,0.1558718861,2008,1,1,1619.24845,14.05,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.083128079,2008,2,1,1871.64376,16.24,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.120222377,2008,3,1,1674.17577,14.39,9000
KFN,KKR FINANCIAL HOLDINGS LLC,0.0031595577,2008,4,1,1472.90238,12.66,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.011023622,2008,5,1,1477.5561,12.7,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.136513158,2008,6,1,1834.25088,12.16,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.021904762,2008,7,1,1583.8515,10.5,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.047711782,2008,8,1,1549.15761,10.27,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.32196162,2008,9,1,1415.27316,9.38,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.393081761,2008,10,1,959.60952,6.36,9000
KFN,KKR FINANCIAL HOLDINGS LLC,-0.74611399,2008,11,1,582.40452,3.86,9000
KFN,KKR FINANCIAL HOLDINGS LLC,0.612244898,2008,12,1,147.86436,0.98,9000
