ticker,conm,ret,year,month,EW,VW,PW,n
KMB,KIMBERLY-CLARK CORP,-0.050620821,2000,1,1,35620.706813,65.4375,864
KMB,KIMBERLY-CLARK CORP,-0.171026157,2000,2,1,33817.557375,62.125,864
KMB,KIMBERLY-CLARK CORP,0.0938349515,2000,3,1,28576.5775,51.5,864
KMB,KIMBERLY-CLARK CORP,0.0334448161,2000,4,1,30630.419625,56.0625,864
KMB,KIMBERLY-CLARK CORP,0.0442286947,2000,5,1,31654.848375,57.9375,864
KMB,KIMBERLY-CLARK CORP,-0.047190083,2000,6,1,32824.154,60.5,864
KMB,KIMBERLY-CLARK CORP,0.0010893246,2000,7,1,31128.6915,57.375,864
KMB,KIMBERLY-CLARK CORP,0.0184983678,2000,8,1,31162.60075,57.4375,864
KMB,KIMBERLY-CLARK CORP,-0.041324786,2000,9,1,31482.126,58.5,864
KMB,KIMBERLY-CLARK CORP,0.1825307951,2000,10,1,30035.83175,55.8125,864
KMB,KIMBERLY-CLARK CORP,0.0596590909,2000,11,1,35518.296,66,864
KMB,KIMBERLY-CLARK CORP,0.0146201966,2000,12,1,37637.28525,69.9375,864
KMB,KIMBERLY-CLARK CORP,-0.084028858,2001,1,1,38042.24764,70.69,864
KMB,KIMBERLY-CLARK CORP,0.1042471042,2001,2,1,34845.601,64.75,864
KMB,KIMBERLY-CLARK CORP,-0.047412587,2001,3,1,38478.154,71.5,864
KMB,KIMBERLY-CLARK CORP,-0.124281291,2001,4,1,36155.83188,67.83,864
KMB,KIMBERLY-CLARK CORP,0.0176767677,2001,5,1,31662.3384,59.4,864
KMB,KIMBERLY-CLARK CORP,-0.07063689,2001,6,1,32171.67135,60.45,864
KMB,KIMBERLY-CLARK CORP,0.0878354204,2001,7,1,29750.1477,55.9,864
KMB,KIMBERLY-CLARK CORP,0.020391383,2001,8,1,32363.26443,60.81,864
KMB,KIMBERLY-CLARK CORP,0.0037066882,2001,9,1,32866.83015,62.05,864
KMB,KIMBERLY-CLARK CORP,-0.104677419,2001,10,1,32840.346,62,864
KMB,KIMBERLY-CLARK CORP,0.0479192938,2001,11,1,29402.70333,55.51,864
KMB,KIMBERLY-CLARK CORP,0.0328347946,2001,12,1,30548.15001,58.17,864
KMB,KIMBERLY-CLARK CORP,0.008361204,2002,1,1,31404.1494,59.8,864
KMB,KIMBERLY-CLARK CORP,0.0381426202,2002,2,1,31666.7259,60.3,864
KMB,KIMBERLY-CLARK CORP,0.0375399361,2002,3,1,32874.5778,62.6,864
KMB,KIMBERLY-CLARK CORP,0.0072699149,2002,4,1,33585.9336,64.65,864
KMB,KIMBERLY-CLARK CORP,-0.003071253,2002,5,1,33830.10048,65.12,864
KMB,KIMBERLY-CLARK CORP,-0.040357363,2002,6,1,33685.55976,64.92,864
KMB,KIMBERLY-CLARK CORP,-0.015322581,2002,7,1,32170.436,62,864
KMB,KIMBERLY-CLARK CORP,-0.01981982,2002,8,1,31677.5019,61.05,864
KMB,KIMBERLY-CLARK CORP,-0.048462567,2002,9,1,30926.92768,59.84,864
KMB,KIMBERLY-CLARK CORP,-0.090748588,2002,10,1,29273.08128,56.64,864
KMB,KIMBERLY-CLARK CORP,-0.022912621,2002,11,1,26616.5905,51.5,864
KMB,KIMBERLY-CLARK CORP,-0.050675676,2002,12,1,25881.94104,50.32,864
KMB,KIMBERLY-CLARK CORP,-0.024225827,2003,1,1,24416.05209,47.47,864
KMB,KIMBERLY-CLARK CORP,-0.010578584,2003,2,1,23824.55304,46.32,864
KMB,KIMBERLY-CLARK CORP,-0.000654593,2003,3,1,23572.52301,45.83,864
KMB,KIMBERLY-CLARK CORP,0.094808623,2003,4,1,23217.42212,45.46,864
KMB,KIMBERLY-CLARK CORP,0.0433996383,2003,5,1,25332.93,49.77,864
KMB,KIMBERLY-CLARK CORP,0.0105911804,2003,6,1,26418.08925,51.93,864
KMB,KIMBERLY-CLARK CORP,-0.071729958,2003,7,1,26524.9215,52.14,864
KMB,KIMBERLY-CLARK CORP,0.0559917355,2003,8,1,24538.8,48.4,864
KMB,KIMBERLY-CLARK CORP,0.0107611035,2003,9,1,25894.93261,51.11,864
KMB,KIMBERLY-CLARK CORP,0.0290335152,2003,10,1,26001.32932,51.32,864
KMB,KIMBERLY-CLARK CORP,0.0266994887,2003,11,1,26756.23931,52.81,864
KMB,KIMBERLY-CLARK CORP,0.0960900037,2003,12,1,27351.76698,54.22,864
KMB,KIMBERLY-CLARK CORP,-0.0005077,2004,1,1,29808.48231,59.09,864
KMB,KIMBERLY-CLARK CORP,0.095157467,2004,2,1,29624.496,59.06,864
KMB,KIMBERLY-CLARK CORP,-0.018243661,2004,3,1,32440.05996,64.68,864
