ticker,conm,ret,year,month,EW,VW,PW,n
KRO,KRONOS WORLDWIDE INC,,2003,12,1,,,8832
KRO,KRONOS WORLDWIDE INC,0.1527027027,2004,1,1,1086.5346,22.2,8832
KRO,KRONOS WORLDWIDE INC,0.2602579132,2004,2,1,1252.45137,25.59,8832
KRO,KRONOS WORLDWIDE INC,-0.053023256,2004,3,1,1578.41175,32.25,8832
KRO,KRONOS WORLDWIDE INC,0.0264113569,2004,4,1,1482.48347,30.29,8832
KRO,KRONOS WORLDWIDE INC,-0.002894821,2004,5,1,1521.63787,31.09,8832
KRO,KRONOS WORLDWIDE INC,0.1112903226,2004,6,1,1517.233,31,8832
KRO,KRONOS WORLDWIDE INC,-0.092105263,2004,7,1,1673.8506,34.2,8832
KRO,KRONOS WORLDWIDE INC,0.0399355878,2004,8,1,1519.68015,31.05,8832
KRO,KRONOS WORLDWIDE INC,0.2372251471,2004,9,1,1580.46634,32.29,8832
KRO,KRONOS WORLDWIDE INC,0.0050377834,2004,10,1,1943.1562,39.7,8832
KRO,KRONOS WORLDWIDE INC,0.1503759398,2004,11,1,1952.9454,39.9,8832
KRO,KRONOS WORLDWIDE INC,-0.106753813,2004,12,1,2246.6214,45.9,8832
KRO,KRONOS WORLDWIDE INC,0.1533742331,2005,1,1,1994.5495,40.75,8832
KRO,KRONOS WORLDWIDE INC,0.0019148936,2005,2,1,2300.462,47,8832
KRO,KRONOS WORLDWIDE INC,-0.091951582,2005,3,1,2304.86714,47.09,8832
KRO,KRONOS WORLDWIDE INC,-0.203716773,2005,4,1,2080.69446,42.51,8832
KRO,KRONOS WORLDWIDE INC,-0.066469719,2005,5,1,1656.8221,33.85,8832
KRO,KRONOS WORLDWIDE INC,-0.036708861,2005,6,1,1546.6936,31.6,8832
KRO,KRONOS WORLDWIDE INC,0.0569725075,2005,7,1,1477.67974,30.19,8832
KRO,KRONOS WORLDWIDE INC,-0.045126919,2005,8,1,1561.86686,31.91,8832
KRO,KRONOS WORLDWIDE INC,0.0498851329,2005,9,1,1491.5065,30.47,8832
KRO,KRONOS WORLDWIDE INC,-0.013547574,2005,10,1,1553.673,31.74,8832
KRO,KRONOS WORLDWIDE INC,0.0076652827,2005,11,1,1532.6245,31.31,8832
KRO,KRONOS WORLDWIDE INC,-0.072583201,2005,12,1,1544.3725,31.55,8832
KRO,KRONOS WORLDWIDE INC,0.0823853844,2006,1,1,1420.0395,29.01,8832
KRO,KRONOS WORLDWIDE INC,-0.073248408,2006,2,1,1537.03,31.4,8832
KRO,KRONOS WORLDWIDE INC,0.0518900344,2006,3,1,1424.445,29.1,8832
KRO,KRONOS WORLDWIDE INC,-0.001976285,2006,4,1,1486.122,30.36,8832
KRO,KRONOS WORLDWIDE INC,-0.0330033,2006,5,1,1483.185,30.3,8832
KRO,KRONOS WORLDWIDE INC,0.0068259386,2006,6,1,1434.235,29.3,8832
KRO,KRONOS WORLDWIDE INC,-0.025982906,2006,7,1,1431.7875,29.25,8832
KRO,KRONOS WORLDWIDE INC,0.067041067,2006,8,1,1394.5855,28.49,8832
KRO,KRONOS WORLDWIDE INC,-0.044736842,2006,9,1,1488.1712,30.4,8832
KRO,KRONOS WORLDWIDE INC,0.0357763112,2006,10,1,1409.35687,28.79,8832
KRO,KRONOS WORLDWIDE INC,0.2340710932,2006,11,1,1459.77846,29.82,8832
KRO,KRONOS WORLDWIDE INC,-0.108423913,2006,12,1,1801.4704,36.8,8832
KRO,KRONOS WORLDWIDE INC,0.0924447174,2007,1,1,1593.90968,32.56,8832
KRO,KRONOS WORLDWIDE INC,-0.040202418,2007,2,1,1741.25821,35.57,8832
KRO,KRONOS WORLDWIDE INC,-0.043350908,2007,3,1,1671.25542,34.14,8832
KRO,KRONOS WORLDWIDE INC,-0.024066646,2007,4,1,1586.56673,32.41,8832
KRO,KRONOS WORLDWIDE INC,-0.010116978,2007,5,1,1548.38339,31.63,8832
KRO,KRONOS WORLDWIDE INC,-0.185563718,2007,6,1,1532.71843,31.31,8832
KRO,KRONOS WORLDWIDE INC,-0.073663366,2007,7,1,1236.06325,25.25,8832
KRO,KRONOS WORLDWIDE INC,-0.123984609,2007,8,1,1145.01067,23.39,8832
KRO,KRONOS WORLDWIDE INC,-0.066373841,2007,9,1,1003.12893,20.49,8832
KRO,KRONOS WORLDWIDE INC,-0.00529661,2007,10,1,924.30816,18.88,8832
KRO,KRONOS WORLDWIDE INC,-0.115015974,2007,11,1,919.41246,18.78,8832
KRO,KRONOS WORLDWIDE INC,0.0649819495,2007,12,1,813.66534,16.62,8832
KRO,KRONOS WORLDWIDE INC,0.1151862464,2008,1,1,854.29965,17.45,8832
KRO,KRONOS WORLDWIDE INC,-0.049331963,2008,2,1,952.70322,19.46,8832
KRO,KRONOS WORLDWIDE INC,0.3189189189,2008,3,1,905.7045,18.5,8832
KRO,KRONOS WORLDWIDE INC,0.2115942029,2008,4,1,1182.31155,24.15,8832
KRO,KRONOS WORLDWIDE INC,-0.242993848,2008,5,1,1432.48182,29.26,8832
KRO,KRONOS WORLDWIDE INC,-0.293905192,2008,6,1,1084.39755,22.15,8832
KRO,KRONOS WORLDWIDE INC,-0.062378168,2008,7,1,753.44823,15.39,8832
KRO,KRONOS WORLDWIDE INC,0.1386001386,2008,8,1,706.44951,14.43,8832
KRO,KRONOS WORLDWIDE INC,-0.178332319,2008,9,1,804.4128,16.43,8832
KRO,KRONOS WORLDWIDE INC,-0.041509434,2008,10,1,648.72,13.25,8832
KRO,KRONOS WORLDWIDE INC,-0.081889764,2008,11,1,621.792,12.7,8832
KRO,KRONOS WORLDWIDE INC,0.0205831904,2008,12,1,570.8736,11.66,8832
KRO,KRONOS WORLDWIDE INC,0.2231759657,2009,1,1,570.384,11.65,8832
KRO,KRONOS WORLDWIDE INC,-0.631578947,2009,2,1,697.68,14.25,8832
KRO,KRONOS WORLDWIDE INC,0.4647619048,2009,3,1,257.04,5.25,8832
KRO,KRONOS WORLDWIDE INC,-0.033797139,2009,4,1,376.5024,7.69,8832
KRO,KRONOS WORLDWIDE INC,-0.075382566,2009,5,1,363.777696,7.4301,8832
KRO,KRONOS WORLDWIDE INC,-0.03202329,2009,6,1,336.3552,6.87,8832
KRO,KRONOS WORLDWIDE INC,0.2195488722,2009,7,1,325.584,6.65,8832
KRO,KRONOS WORLDWIDE INC,0.0369913687,2009,8,1,397.0656,8.11,8832
KRO,KRONOS WORLDWIDE INC,0.225921522,2009,9,1,411.84611,8.41,8832
KRO,KRONOS WORLDWIDE INC,0.2967992241,2009,10,1,504.89101,10.31,8832
KRO,KRONOS WORLDWIDE INC,-0.019446522,2009,11,1,654.74227,13.37,8832
KRO,KRONOS WORLDWIDE INC,0.239511823,2009,12,1,642.00981,13.11,8832
KRO,KRONOS WORLDWIDE INC,-0.100916923,2010,1,1,795.77875,16.25,8832
KRO,KRONOS WORLDWIDE INC,0.0773369108,2010,2,1,715.4712071,14.6101,8832
KRO,KRONOS WORLDWIDE INC,-0.069250318,2010,3,1,770.80354,15.74,8832
KRO,KRONOS WORLDWIDE INC,0.2969283276,2010,4,1,717.42515,14.65,8832
KRO,KRONOS WORLDWIDE INC,-0.002631579,2010,5,1,930.449,19,8832
KRO,KRONOS WORLDWIDE INC,0.0290237467,2010,6,1,928.00045,18.95,8832
KRO,KRONOS WORLDWIDE INC,0.1953846154,2010,7,1,954.9345,19.5,8832
KRO,KRONOS WORLDWIDE INC,0.3067353067,2010,8,1,1141.51401,23.31,8832
KRO,KRONOS WORLDWIDE INC,0.3079448457,2010,9,1,1491.86988,30.46,8832
KRO,KRONOS WORLDWIDE INC,0.015311245,2010,10,1,1951.28352,39.84,8832
KRO,KRONOS WORLDWIDE INC,0.0427688504,2010,11,1,2296.6701,40.45,8832
KRO,KRONOS WORLDWIDE INC,0.0132764343,2010,12,1,2394.89604,42.18,8832
KRO,KRONOS WORLDWIDE INC,0.0315368322,2011,1,1,2412.49722,42.49,8832
KRO,KRONOS WORLDWIDE INC,0.1521788729,2011,2,1,2488.57974,43.83,8832
KRO,KRONOS WORLDWIDE INC,0.1858585859,2011,3,1,2810.511,49.5,8832
KRO,KRONOS WORLDWIDE INC,0.05320787,2011,4,1,3387.0606,58.45,8832
KRO,KRONOS WORLDWIDE INC,-0.020792723,2011,5,1,3567.27888,61.56,8832
KRO,KRONOS WORLDWIDE INC,0.0484406105,2011,6,1,3493.10544,30.14,8832
KRO,KRONOS WORLDWIDE INC,-0.015580286,2011,7,1,3644.9292,31.45,8832
KRO,KRONOS WORLDWIDE INC,-0.292958656,2011,8,1,3588.14016,30.96,8832
KRO,KRONOS WORLDWIDE INC,-0.258565555,2011,9,1,2537.09478,21.89,8832
KRO,KRONOS WORLDWIDE INC,0.3799751244,2011,10,1,1863.70416,16.08,8832
KRO,KRONOS WORLDWIDE INC,-0.120775124,2011,11,1,2571.86538,22.19,8832
KRO,KRONOS WORLDWIDE INC,-0.067657611,2011,12,1,2261.24802,19.51,8832
KRO,KRONOS WORLDWIDE INC,0.2760532151,2012,1,1,2090.87208,18.04,8832
KRO,KRONOS WORLDWIDE INC,0.0152041703,2012,2,1,2668.06404,23.02,8832
