ticker,conm,ret,year,month,EW,VW,PW,n
KSS,KOHL'S CORP,-0.028571429,2000,1,1,11768.367188,72.1875,3800
KSS,KOHL'S CORP,0.0811051693,2000,2,1,11432.128125,70.125,3800
KSS,KOHL'S CORP,0.3520197857,2000,3,1,12359.332813,75.8125,3800
KSS,KOHL'S CORP,-0.06097561,2000,4,1,16710.0625,102.5,3800
KSS,KOHL'S CORP,0.0753246753,2000,5,1,15789.90875,48.125,3800
KSS,KOHL'S CORP,0.0748792271,2000,6,1,16979.2785,51.75,3800
KSS,KOHL'S CORP,0.0202247191,2000,7,1,18337.838125,55.625,3800
KSS,KOHL'S CORP,-0.013215859,2000,8,1,18708.71575,56.75,3800
KSS,KOHL'S CORP,0.0301339286,2000,9,1,18461.464,56,3800
KSS,KOHL'S CORP,-0.060671723,2000,10,1,19085.447875,57.6875,3800
KSS,KOHL'S CORP,-0.011534025,2000,11,1,17927.500875,54.1875,3800
KSS,KOHL'S CORP,0.1388564761,2000,12,1,17720.724625,53.5625,3800
KSS,KOHL'S CORP,0.1639344262,2001,1,1,20233.822,61,3800
KSS,KOHL'S CORP,-0.071690141,2001,2,1,23550.842,71,3800
KSS,KOHL'S CORP,-0.064026703,2001,3,1,21862.47882,65.91,3800
KSS,KOHL'S CORP,-0.010212352,2001,4,1,20462.69638,61.69,3800
KSS,KOHL'S CORP,0.0080248935,2001,5,1,20339.87978,61.06,3800
KSS,KOHL'S CORP,0.0191714054,2001,6,1,20503.10515,61.55,3800
KSS,KOHL'S CORP,-0.086880281,2001,7,1,20976.03378,62.73,3800
KSS,KOHL'S CORP,-0.031075419,2001,8,1,19153.63008,57.28,3800
KSS,KOHL'S CORP,-0.135135135,2001,9,1,18558.423,55.5,3800
KSS,KOHL'S CORP,0.1585416667,2001,10,1,16060.8,48,3800
KSS,KOHL'S CORP,0.2201042978,2001,11,1,18607.106,55.61,3800
KSS,KOHL'S CORP,0.0381724392,2001,12,1,22702.61,67.85,3800
KSS,KOHL'S CORP,-0.058915389,2002,1,1,23594.2302,70.44,3800
KSS,KOHL'S CORP,0.0208176196,2002,2,1,22204.16695,66.29,3800
KSS,KOHL'S CORP,0.0514260381,2002,3,1,22666.40485,67.67,3800
KSS,KOHL'S CORP,0.0358397751,2002,4,1,23845.0687,71.15,3800
KSS,KOHL'S CORP,0.0176390773,2002,5,1,24770.7911,73.7,3800
KSS,KOHL'S CORP,-0.0656,2002,6,1,25207.725,75,3800
KSS,KOHL'S CORP,-0.058219178,2002,7,1,23593.20288,70.08,3800
KSS,KOHL'S CORP,0.0563636364,2002,8,1,22219.626,66,3800
KSS,KOHL'S CORP,-0.127796902,2002,9,1,23472.00492,69.72,3800
KSS,KOHL'S CORP,-0.038809406,2002,10,1,20488.16601,60.81,3800
KSS,KOHL'S CORP,0.1719418306,2002,11,1,19693.03245,58.45,3800
KSS,KOHL'S CORP,-0.183211679,2002,12,1,23079.0885,68.5,3800
KSS,KOHL'S CORP,-0.063985702,2003,1,1,18865.4448,55.95,3800
KSS,KOHL'S CORP,-0.066259309,2003,2,1,17658.32608,52.37,3800
KSS,KOHL'S CORP,0.1570552147,2003,3,1,16488.2976,48.9,3800
KSS,KOHL'S CORP,0.0038882998,2003,4,1,19087.60248,56.58,3800
KSS,KOHL'S CORP,-0.07834507,2003,5,1,19161.8208,56.8,3800
KSS,KOHL'S CORP,-0.018529131,2003,6,1,17660.5866,52.35,3800
KSS,KOHL'S CORP,0.1551187232,2003,7,1,17409.03402,51.38,3800
KSS,KOHL'S CORP,0.0658803707,2003,8,1,20109.50115,59.35,3800
KSS,KOHL'S CORP,-0.154283908,2003,9,1,21434.32254,63.26,3800
KSS,KOHL'S CORP,0.0480373832,2003,10,1,18161.8055,53.5,3800
KSS,KOHL'S CORP,-0.138220082,2003,11,1,19034.25111,56.07,3800
KSS,KOHL'S CORP,-0.069950331,2003,12,1,16403.33536,48.32,3800
KSS,KOHL'S CORP,-0.014241211,2004,1,1,15280.09434,44.94,3800
KSS,KOHL'S CORP,0.1625282167,2004,2,1,15062.4873,44.3,3800
KSS,KOHL'S CORP,-0.061553398,2004,3,1,17510.5665,51.5,3800
KSS,KOHL'S CORP,-0.135319677,2004,4,1,16443.46089,48.33,3800
KSS,KOHL'S CORP,0.1380713089,2004,5,1,14218.33707,41.79,3800
KSS,KOHL'S CORP,-0.111017662,2004,6,1,16181.48148,47.56,3800
KSS,KOHL'S CORP,0.0823084201,2004,7,1,14417.09948,42.28,3800
KSS,KOHL'S CORP,0.0812937063,2004,8,1,15603.74816,45.76,3800
KSS,KOHL'S CORP,-0.02607114,2004,9,1,16872.23468,49.48,3800
KSS,KOHL'S CORP,0.0533305665,2004,10,1,16465.70377,48.19,3800
KSS,KOHL'S CORP,-0.090622537,2004,11,1,17343.82908,50.76,3800
KSS,KOHL'S CORP,0.0652079723,2004,12,1,15772.08728,46.16,3800
KSS,KOHL'S CORP,-0.043929225,2005,1,1,16869.78447,49.17,3800
KSS,KOHL'S CORP,0.01829398,2005,2,1,16128.70791,47.01,3800
KSS,KOHL'S CORP,0.0785460623,2005,3,1,16423.76617,47.87,3800
KSS,KOHL'S CORP,-0.078055394,2005,4,1,17729.63874,51.63,3800
KSS,KOHL'S CORP,0.0228991597,2005,5,1,16345.7448,47.6,3800
KSS,KOHL'S CORP,0.1482850688,2005,6,1,16720.04862,48.69,3800
KSS,KOHL'S CORP,0.0078697907,2005,7,1,19220.79571,55.91,3800
KSS,KOHL'S CORP,-0.069210293,2005,8,1,19372.05935,56.35,3800
KSS,KOHL'S CORP,-0.043279314,2005,9,1,18031.31345,52.45,3800
KSS,KOHL'S CORP,-0.040852929,2005,10,1,17295.33988,50.18,3800
KSS,KOHL'S CORP,-0.044255142,2005,11,1,16588.77458,48.13,3800
KSS,KOHL'S CORP,0.0565217391,2005,12,1,15854.636,46,3800
KSS,KOHL'S CORP,-0.086625514,2006,1,1,16754.9958,48.6,3800
KSS,KOHL'S CORP,0.0838026583,2006,2,1,15303.58567,44.39,3800
KSS,KOHL'S CORP,0.1018499273,2006,3,1,16586.06683,48.11,3800
KSS,KOHL'S CORP,0.0533861536,2006,4,1,18313.68276,53.01,3800
KSS,KOHL'S CORP,-0.038502865,2006,5,1,19291.37984,55.84,3800
KSS,KOHL'S CORP,0.101136152,2006,6,1,18548.60644,53.69,3800
KSS,KOHL'S CORP,-0.042117727,2006,7,1,20126.99016,59.12,3800
KSS,KOHL'S CORP,0.1038318912,2006,8,1,19279.28709,56.63,3800
