ticker,conm,ret,year,month,EW,VW,PW,n
KTCC,KEY TRONIC CORP,-0.133333333,2000,1,1,36.13125,3.75,860
KTCC,KEY TRONIC CORP,0.1346153846,2000,2,1,31.31375,3.25,860
KTCC,KEY TRONIC CORP,-0.118644068,2000,3,1,35.53275,3.6875,860
KTCC,KEY TRONIC CORP,-0.192307692,2000,4,1,31.317,3.25,860
KTCC,KEY TRONIC CORP,0.0476190476,2000,5,1,25.2945,2.625,860
KTCC,KEY TRONIC CORP,0.0909090909,2000,6,1,26.499,2.75,860
KTCC,KEY TRONIC CORP,0.2291666667,2000,7,1,28.923,3,860
KTCC,KEY TRONIC CORP,0.3389830508,2000,8,1,35.5511875,3.6875,860
KTCC,KEY TRONIC CORP,-0.050632911,2000,9,1,47.6024375,4.9375,860
KTCC,KEY TRONIC CORP,0.0133333333,2000,10,1,45.1921875,4.6875,860
KTCC,KEY TRONIC CORP,-0.092105263,2000,11,1,45.79475,4.75,860
KTCC,KEY TRONIC CORP,-0.362318841,2000,12,1,41.5768125,4.3125,860
KTCC,KEY TRONIC CORP,0.0681818182,2001,1,1,26.51275,2.75,860
KTCC,KEY TRONIC CORP,-0.106382979,2001,2,1,28.3204375,2.9375,860
KTCC,KEY TRONIC CORP,-0.142857143,2001,3,1,25.391625,2.625,860
KTCC,KEY TRONIC CORP,-0.213333333,2001,4,1,21.76425,2.25,860
KTCC,KEY TRONIC CORP,0.0451977401,2001,5,1,17.12121,1.77,860
KTCC,KEY TRONIC CORP,0.1135135135,2001,6,1,17.89505,1.85,860
KTCC,KEY TRONIC CORP,0.0194174757,2001,7,1,19.92638,2.06,860
KTCC,KEY TRONIC CORP,0.0476190476,2001,8,1,20.3133,2.1,860
KTCC,KEY TRONIC CORP,-0.140909091,2001,9,1,21.2806,2.2,860
KTCC,KEY TRONIC CORP,0.058994709,2001,10,1,18.28197,1.89,860
KTCC,KEY TRONIC CORP,0.2990257307,2001,11,1,19.3605095,2.0015,860
KTCC,KEY TRONIC CORP,-0.403846154,2001,12,1,25.1498,2.6,860
KTCC,KEY TRONIC CORP,-0.070967742,2002,1,1,14.99315,1.55,860
KTCC,KEY TRONIC CORP,-0.229166667,2002,2,1,13.92912,1.44,860
KTCC,KEY TRONIC CORP,0.1891891892,2002,3,1,10.73703,1.11,860
KTCC,KEY TRONIC CORP,0.25,2002,4,1,12.76836,1.32,860
KTCC,KEY TRONIC CORP,-0.454545455,2002,5,1,15.96045,1.65,860
KTCC,KEY TRONIC CORP,0.1222222222,2002,6,1,8.7057,0.9,860
KTCC,KEY TRONIC CORP,-0.108910891,2002,7,1,9.76973,1.01,860
KTCC,KEY TRONIC CORP,-0.2,2002,8,1,8.7057,0.9,860
KTCC,KEY TRONIC CORP,-0.583333333,2002,9,1,6.96456,0.72,860
KTCC,KEY TRONIC CORP,3.7333333333,2002,10,1,2.9022,0.3,860
KTCC,KEY TRONIC CORP,-0.084507042,2002,11,1,13.73708,1.42,860
KTCC,KEY TRONIC CORP,-0.107692308,2002,12,1,12.5762,1.3,860
KTCC,KEY TRONIC CORP,0.1982758621,2003,1,1,11.22184,1.16,860
KTCC,KEY TRONIC CORP,-0.215827338,2003,2,1,13.44686,1.39,860
KTCC,KEY TRONIC CORP,-0.018348624,2003,3,1,10.54357,1.09,860
KTCC,KEY TRONIC CORP,0.1401869159,2003,4,1,10.35011,1.07,860
KTCC,KEY TRONIC CORP,0.4918032787,2003,5,1,11.80106,1.22,860
KTCC,KEY TRONIC CORP,0.3895604396,2003,6,1,17.60486,1.82,860
KTCC,KEY TRONIC CORP,-0.058916568,2003,7,1,24.463017,2.529,860
KTCC,KEY TRONIC CORP,0.0294117647,2003,8,1,23.02174,2.38,860
KTCC,KEY TRONIC CORP,-0.020408163,2003,9,1,23.69885,2.45,860
KTCC,KEY TRONIC CORP,-0.083333333,2003,10,1,23.2152,2.4,860
KTCC,KEY TRONIC CORP,-0.027727273,2003,11,1,21.2806,2.2,860
KTCC,KEY TRONIC CORP,0.0518934081,2003,12,1,20.690547,2.139,860
KTCC,KEY TRONIC CORP,0.2444444444,2004,1,1,21.76425,2.25,860
KTCC,KEY TRONIC CORP,-0.053571429,2004,2,1,27.0844,2.8,860
KTCC,KEY TRONIC CORP,-0.018867925,2004,3,1,25.63345,2.65,860
KTCC,KEY TRONIC CORP,0.3730769231,2004,4,1,25.1498,2.6,860
KTCC,KEY TRONIC CORP,0.0028011204,2004,5,1,34.53261,3.57,860
KTCC,KEY TRONIC CORP,0.030726257,2004,6,1,34.62934,3.58,860
KTCC,KEY TRONIC CORP,-0.16802168,2004,7,1,35.69337,3.69,860
KTCC,KEY TRONIC CORP,0.0260586319,2004,8,1,29.69611,3.07,860
KTCC,KEY TRONIC CORP,0.1111111111,2004,9,1,30.4794,3.15,860
KTCC,KEY TRONIC CORP,-0.028571429,2004,10,1,33.866,3.5,860
KTCC,KEY TRONIC CORP,-0.067647059,2004,11,1,32.8984,3.4,860
KTCC,KEY TRONIC CORP,0.0567823344,2004,12,1,30.68877,3.17,860
KTCC,KEY TRONIC CORP,-0.035820896,2005,1,1,32.43135,3.35,860
KTCC,KEY TRONIC CORP,-0.049535604,2005,2,1,31.26963,3.23,860
KTCC,KEY TRONIC CORP,-0.055374593,2005,3,1,29.72067,3.07,860
KTCC,KEY TRONIC CORP,0.1724137931,2005,4,1,28.0749,2.9,860
KTCC,KEY TRONIC CORP,0.1088235294,2005,5,1,32.9154,3.4,860
KTCC,KEY TRONIC CORP,-0.098143236,2005,6,1,36.53507,3.77,860
KTCC,KEY TRONIC CORP,0.0529411765,2005,7,1,32.9494,3.4,860
KTCC,KEY TRONIC CORP,0.3938547486,2005,8,1,34.69378,3.58,860
KTCC,KEY TRONIC CORP,-0.174348697,2005,9,1,48.35809,4.99,860
KTCC,KEY TRONIC CORP,0.0218446602,2005,10,1,39.93928,4.12,860
KTCC,KEY TRONIC CORP,-0.213776722,2005,11,1,40.81174,4.21,860
KTCC,KEY TRONIC CORP,-0.033232628,2005,12,1,32.11693,3.31,860
KTCC,KEY TRONIC CORP,0.134375,2006,1,1,31.0496,3.2,860
KTCC,KEY TRONIC CORP,0.0743801653,2006,2,1,35.22189,3.63,860
KTCC,KEY TRONIC CORP,0.1153846154,2006,3,1,37.8417,3.9,860
KTCC,KEY TRONIC CORP,0.0252873563,2006,4,1,42.20805,4.35,860
KTCC,KEY TRONIC CORP,-0.170403587,2006,5,1,43.27538,4.46,860
KTCC,KEY TRONIC CORP,0.0567567568,2006,6,1,35.9233,3.7,860
KTCC,KEY TRONIC CORP,0.5754475703,2006,7,1,37.96219,3.91,860
KTCC,KEY TRONIC CORP,-0.167207792,2006,8,1,59.80744,6.16,860
KTCC,KEY TRONIC CORP,0.1442495127,2006,9,1,50.0175,5.13,860
KTCC,KEY TRONIC CORP,-0.018739353,2006,10,1,58.03082,5.87,860
KTCC,KEY TRONIC CORP,-0.140625,2006,11,1,56.94336,5.76,860
KTCC,KEY TRONIC CORP,-0.034343434,2006,12,1,49.0248,4.95,860
KTCC,KEY TRONIC CORP,-0.163179916,2007,1,1,47.34112,4.78,860
KTCC,KEY TRONIC CORP,0.02,2007,2,1,39.66,4,860
KTCC,KEY TRONIC CORP,0.0049019608,2007,3,1,40.4532,4.08,860
KTCC,KEY TRONIC CORP,-0.029268293,2007,4,1,40.6515,4.1,860
KTCC,KEY TRONIC CORP,0.1306532663,2007,5,1,39.4617,3.98,860
KTCC,KEY TRONIC CORP,0.1311111111,2007,6,1,44.64,4.5,860
KTCC,KEY TRONIC CORP,0,2007,7,1,50.4928,5.09,860
KTCC,KEY TRONIC CORP,-0.111984283,2007,8,1,50.4928,5.09,860
KTCC,KEY TRONIC CORP,0.0309734513,2007,9,1,44.84292,4.52,860
KTCC,KEY TRONIC CORP,-0.040772532,2007,10,1,46.23186,4.66,860
KTCC,KEY TRONIC CORP,-0.053713647,2007,11,1,44.57037,4.47,860
