ticker,conm,ret,year,month,EW,VW,PW,n
LCOS.,LYCOS INC,-0.076983504,2000,1,1,7668.7906875,79.5625,6451
LCOS.,LYCOS INC,-0.188085106,2000,2,1,8007.0375,73.4375,6451
LCOS.,LYCOS INC,0.178197065,2000,3,1,6501.033,59.625,6451
LCOS.,LYCOS INC,-0.338078292,2000,4,1,7721.24775,70.25,6451
LCOS.,LYCOS INC,0.3010752688,2000,5,1,5110.8615,46.5,6451
LCOS.,LYCOS INC,-0.107438017,2000,6,1,6649.6155,60.5,6451
LCOS.,LYCOS INC,0.1226851852,2000,7,1,5961.87,54,6451
LCOS.,LYCOS INC,0.1711340206,2000,8,1,6693.303125,60.625,6451
LCOS.,LYCOS INC,-0.03147007,2000,9,1,7838.755,71,6451
LCOS.,LYCOS INC,-0.40204499,2000,10,1,7637.385375,68.765625,6451
LCOS.,LYCOS INC,0,2000,11,1,4560.5655,41.0625,6451
