ticker,conm,ret,year,month,EW,VW,PW,n
LIVK,LIV CAPITAL ACQ CORP,,2020,1,1,,,5664
LIVK,LIV CAPITAL ACQ CORP,0.0102040816,2020,2,1,99.3034,9.8,5664
LIVK,LIV CAPITAL ACQ CORP,-0.038383838,2020,3,1,100.3167,9.9,5664
LIVK,LIV CAPITAL ACQ CORP,0.0147058824,2020,4,1,76.636,9.52,5664
LIVK,LIV CAPITAL ACQ CORP,0.0041407867,2020,5,1,77.763,9.66,5664
LIVK,LIV CAPITAL ACQ CORP,0.0164948454,2020,6,1,78.085,9.7,5664
LIVK,LIV CAPITAL ACQ CORP,0.0081135903,2020,7,1,79.373,9.86,5664
LIVK,LIV CAPITAL ACQ CORP,-0.004024145,2020,8,1,80.017,9.94,5664
LIVK,LIV CAPITAL ACQ CORP,0,2020,9,1,79.695,9.9,5664
LIVK,LIV CAPITAL ACQ CORP,-0.004040404,2020,10,1,79.695,9.9,5664
LIVK,LIV CAPITAL ACQ CORP,0.0020283976,2020,11,1,79.373,9.86,5664
LIVK,LIV CAPITAL ACQ CORP,0.0240789474,2020,12,1,79.534,9.88,5664
