ticker,conm,ret,year,month,EW,VW,PW,n
LMNE,LUMINENT INC,,2000,11,1,,,8415
LMNE,LUMINENT INC,0.0026041667,2000,12,1,936,6,8415
LMNE,LUMINENT INC,0.5064935065,2001,1,1,938.4375,6.015625,8415
LMNE,LUMINENT INC,-0.393103448,2001,2,1,1413.75,9.0625,8415
LMNE,LUMINENT INC,-0.517045455,2001,3,1,858,5.5,8415
LMNE,LUMINENT INC,0.6037647059,2001,4,1,414.375,2.65625,8415
LMNE,LUMINENT INC,0.117370892,2001,5,1,664.56,4.26,8415
LMNE,LUMINENT INC,-0.117647059,2001,6,1,742.56,4.76,8415
LMNE,LUMINENT INC,-0.25,2001,7,1,655.2,4.2,8415
LMNE,LUMINENT INC,-0.361904762,2001,8,1,491.4,3.15,8415
LMNE,LUMINENT INC,-0.004975124,2001,9,1,313.56,2.01,8415
LMNE,LUMINENT INC,0,2001,10,1,312,2,8415
LMNE,LUMINENT INC,0,2001,11,1,312,2,8415
LMNE,LUMINENT INC,-0.0497,2001,12,1,312,2,8415
LMNE,LUMINENT INC,0,2002,1,1,288.6,1.85,8415
