ticker,conm,ret,year,month,EW,VW,PW,n
LNCB,LINCOLN BANCORP/IN,-0.005952381,2000,1,1,66.234,10.5,7658
LNCB,LINCOLN BANCORP/IN,-0.023952096,2000,2,1,65.83975,10.4375,7658
LNCB,LINCOLN BANCORP/IN,-0.016687117,2000,3,1,64.26275,10.1875,7658
LNCB,LINCOLN BANCORP/IN,-0.025157233,2000,4,1,59.1579375,9.9375,7658
LNCB,LINCOLN BANCORP/IN,-0.032258065,2000,5,1,57.0884375,9.6875,7658
LNCB,LINCOLN BANCORP/IN,0.0752,2000,6,1,55.246875,9.375,7658
LNCB,LINCOLN BANCORP/IN,0.04375,2000,7,1,58.73,10,7658
LNCB,LINCOLN BANCORP/IN,0.1137724551,2000,8,1,61.2994375,10.4375,7658
LNCB,LINCOLN BANCORP/IN,0.0337634409,2000,9,1,65.995125,11.625,7658
LNCB,LINCOLN BANCORP/IN,0.0418848168,2000,10,1,67.7691875,11.9375,7658
LNCB,LINCOLN BANCORP/IN,-0.035175879,2000,11,1,70.6076875,12.4375,7658
LNCB,LINCOLN BANCORP/IN,0.0804166667,2000,12,1,68.124,12,7658
LNCB,LINCOLN BANCORP/IN,0.0097087379,2001,1,1,73.091375,12.875,7658
LNCB,LINCOLN BANCORP/IN,-0.024038462,2001,2,1,73.801,13,7658
LNCB,LINCOLN BANCORP/IN,0.0563546798,2001,3,1,72.0269375,12.6875,7658
LNCB,LINCOLN BANCORP/IN,-0.015962441,2001,4,1,75.5750625,13.3125,7658
LNCB,LINCOLN BANCORP/IN,0.0419847328,2001,5,1,74.3687,13.1,7658
LNCB,LINCOLN BANCORP/IN,0.0395604396,2001,6,1,77.49105,13.65,7658
LNCB,LINCOLN BANCORP/IN,0.0531914894,2001,7,1,80.0457,14.1,7658
LNCB,LINCOLN BANCORP/IN,0.0404040404,2001,8,1,84.30345,14.85,7658
LNCB,LINCOLN BANCORP/IN,0.0025889968,2001,9,1,84.5424,15.45,7658
LNCB,LINCOLN BANCORP/IN,-0.025974026,2001,10,1,84.2688,15.4,7658
LNCB,LINCOLN BANCORP/IN,0.0566666667,2001,11,1,82.08,15,7658
LNCB,LINCOLN BANCORP/IN,0.1293375394,2001,12,1,84.1635,15.85,7658
LNCB,LINCOLN BANCORP/IN,-0.073595506,2002,1,1,94.518,17.8,7658
LNCB,LINCOLN BANCORP/IN,0.0248635537,2002,2,1,87.5619,16.49,7658
LNCB,LINCOLN BANCORP/IN,0.0349112426,2002,3,1,89.739,16.9,7658
LNCB,LINCOLN BANCORP/IN,0.0649798735,2002,4,1,88.46293,17.39,7658
LNCB,LINCOLN BANCORP/IN,-0.068574514,2002,5,1,93.21116,18.52,7658
LNCB,LINCOLN BANCORP/IN,0.0057971014,2002,6,1,86.81925,17.25,7658
LNCB,LINCOLN BANCORP/IN,0.0289855072,2002,7,1,86.81925,17.25,7658
LNCB,LINCOLN BANCORP/IN,0.0422535211,2002,8,1,89.33575,17.75,7658
LNCB,LINCOLN BANCORP/IN,0.0189189189,2002,9,1,91.982,18.5,7658
LNCB,LINCOLN BANCORP/IN,-0.069866667,2002,10,1,93.225,18.75,7658
LNCB,LINCOLN BANCORP/IN,0.0693807339,2002,11,1,86.71168,17.44,7658
LNCB,LINCOLN BANCORP/IN,-0.102412869,2002,12,1,89.3335,18.65,7658
LNCB,LINCOLN BANCORP/IN,0.1083032491,2003,1,1,79.6098,16.62,7658
LNCB,LINCOLN BANCORP/IN,-0.071661238,2003,2,1,88.2318,18.42,7658
LNCB,LINCOLN BANCORP/IN,0.0011695906,2003,3,1,81.909,17.1,7658
LNCB,LINCOLN BANCORP/IN,0.0752941176,2003,4,1,75.684,17,7658
LNCB,LINCOLN BANCORP/IN,-0.018052516,2003,5,1,81.38256,18.28,7658
LNCB,LINCOLN BANCORP/IN,0.0178272981,2003,6,1,79.9134,17.95,7658
LNCB,LINCOLN BANCORP/IN,0.0275482094,2003,7,1,80.8038,18.15,7658
LNCB,LINCOLN BANCORP/IN,0.0321715818,2003,8,1,82.7314,18.65,7658
LNCB,LINCOLN BANCORP/IN,0.0057142857,2003,9,1,85.393,19.25,7658
LNCB,LINCOLN BANCORP/IN,-0.002079002,2003,10,1,85.34864,19.24,7658
LNCB,LINCOLN BANCORP/IN,-0.013020833,2003,11,1,84.672,19.2,7658
LNCB,LINCOLN BANCORP/IN,0.0596306069,2003,12,1,83.5695,18.95,7658
LNCB,LINCOLN BANCORP/IN,0.0025062657,2004,1,1,87.9795,19.95,7658
LNCB,LINCOLN BANCORP/IN,0.041,2004,2,1,88.24,20,7658
LNCB,LINCOLN BANCORP/IN,-0.021133525,2004,3,1,91.85784,20.82,7658
LNCB,LINCOLN BANCORP/IN,-0.096296296,2004,4,1,89.343,20.25,7658
LNCB,LINCOLN BANCORP/IN,-0.078415301,2004,5,1,80.7396,18.3,7658
LNCB,LINCOLN BANCORP/IN,0.0904239549,2004,6,1,74.50957,16.865,7658
LNCB,LINCOLN BANCORP/IN,0.0323110624,2004,7,1,80.67268,18.26,7658
LNCB,LINCOLN BANCORP/IN,-0.021220159,2004,8,1,83.2793,18.85,7658
LNCB,LINCOLN BANCORP/IN,0.0368563686,2004,9,1,81.7335,18.45,7658
LNCB,LINCOLN BANCORP/IN,0.0131578947,2004,10,1,84.17,19,7658
LNCB,LINCOLN BANCORP/IN,0.0192207792,2004,11,1,102.81425,19.25,7658
LNCB,LINCOLN BANCORP/IN,-0.009734964,2004,12,1,104.79042,19.62,7658
LNCB,LINCOLN BANCORP/IN,-0.031053969,2005,1,1,103.022549,19.289,7658
LNCB,LINCOLN BANCORP/IN,0.001070091,2005,2,1,99.82329,18.69,7658
