ticker,conm,ret,year,month,EW,VW,PW,n
LPG,DORIAN LPG LTD,,2014,5,1,,,10540
LPG,DORIAN LPG LTD,0.1319547021,2014,6,1,1160.26968,20.31,10540
LPG,DORIAN LPG LTD,-0.127011744,2014,7,1,1313.37272,22.99,10540
LPG,DORIAN LPG LTD,-0.021923269,2014,8,1,1146.55896,20.07,10540
LPG,DORIAN LPG LTD,-0.092205807,2014,9,1,1121.42264,19.63,10540
LPG,DORIAN LPG LTD,-0.195847363,2014,10,1,1018.02096,17.82,10540
LPG,DORIAN LPG LTD,-0.051639916,2014,11,1,818.64424,14.33,10540
LPG,DORIAN LPG LTD,0.0220750552,2014,12,1,785.27097,13.59,10540
LPG,DORIAN LPG LTD,-0.18862491,2015,1,1,802.60587,13.89,10540
LPG,DORIAN LPG LTD,0.0896184561,2015,2,1,651.21441,11.27,10540
LPG,DORIAN LPG LTD,0.0610749186,2015,3,1,709.57524,12.28,10540
LPG,DORIAN LPG LTD,0.0176515733,2015,4,1,752.91249,13.03,10540
LPG,DORIAN LPG LTD,0.044494721,2015,5,1,766.20258,13.26,10540
LPG,DORIAN LPG LTD,0.20433213,2015,6,1,800.29455,13.85,10540
LPG,DORIAN LPG LTD,-0.056954436,2015,7,1,968.39076,16.68,10540
LPG,DORIAN LPG LTD,-0.162110617,2015,8,1,913.23661,15.73,10540
LPG,DORIAN LPG LTD,-0.217754173,2015,9,1,765.19126,13.18,10540
LPG,DORIAN LPG LTD,0.1425800194,2015,10,1,598.56767,10.31,10540
LPG,DORIAN LPG LTD,0.1213921902,2015,11,1,678.28062,11.78,10540
LPG,DORIAN LPG LTD,-0.109008327,2015,12,1,760.61859,13.21,10540
LPG,DORIAN LPG LTD,-0.101104503,2016,1,1,675.72747,11.77,10540
LPG,DORIAN LPG LTD,0.0179584121,2016,2,1,605.4405,10.58,10540
LPG,DORIAN LPG LTD,-0.1272052,2016,3,1,616.31325,10.77,10540
LPG,DORIAN LPG LTD,0.0808510638,2016,4,1,537.915,9.4,10540
LPG,DORIAN LPG LTD,-0.12007874,2016,5,1,581.406,10.16,10540
LPG,DORIAN LPG LTD,-0.211409396,2016,6,1,497.30538,8.94,10540
LPG,DORIAN LPG LTD,-0.124822695,2016,7,1,392.17035,7.05,10540
LPG,DORIAN LPG LTD,-0.136142626,2016,8,1,339.12171,6.17,10540
LPG,DORIAN LPG LTD,0.1257035647,2016,9,1,292.95279,5.33,10540
LPG,DORIAN LPG LTD,-0.061666667,2016,10,1,329.778,6,10540
LPG,DORIAN LPG LTD,0.2397868561,2016,11,1,309.40791,5.63,10540
LPG,DORIAN LPG LTD,0.176217765,2016,12,1,383.59986,6.98,10540
LPG,DORIAN LPG LTD,0.3775883069,2017,1,1,451.19697,8.21,10540
LPG,DORIAN LPG LTD,-0.167108753,2017,2,1,621.67677,11.31,10540
LPG,DORIAN LPG LTD,0.1178343949,2017,3,1,517.78914,9.42,10540
LPG,DORIAN LPG LTD,-0.136752137,2017,4,1,578.80251,10.53,10540
LPG,DORIAN LPG LTD,-0.140814081,2017,5,1,499.65003,9.09,10540
LPG,DORIAN LPG LTD,0.0473751601,2017,6,1,429.29227,7.81,10540
LPG,DORIAN LPG LTD,-0.119804401,2017,7,1,449.6955,8.18,10540
LPG,DORIAN LPG LTD,-0.047222222,2017,8,1,396.756,7.2,10540
LPG,DORIAN LPG LTD,-0.005830904,2017,9,1,393.83946,6.86,10540
LPG,DORIAN LPG LTD,0.0483870968,2017,10,1,391.54302,6.82,10540
LPG,DORIAN LPG LTD,0.0097902098,2017,11,1,410.48865,7.15,10540
LPG,DORIAN LPG LTD,0.1385041551,2017,12,1,397.9303,7.22,10540
LPG,DORIAN LPG LTD,-0.070559611,2018,1,1,453.0453,8.22,10540
LPG,DORIAN LPG LTD,-0.041884817,2018,2,1,421.0786,7.64,10540
LPG,DORIAN LPG LTD,0.0232240437,2018,3,1,403.38324,7.32,10540
LPG,DORIAN LPG LTD,-0.040053405,2018,4,1,412.75143,7.49,10540
LPG,DORIAN LPG LTD,0.123783032,2018,5,1,396.21933,7.19,10540
LPG,DORIAN LPG LTD,-0.054455446,2018,6,1,445.26456,8.08,10540
LPG,DORIAN LPG LTD,0.112565445,2018,7,1,421.94956,7.64,10540
LPG,DORIAN LPG LTD,-0.103529412,2018,8,1,468.8345,8.5,10540
LPG,DORIAN LPG LTD,0.0459317585,2018,9,1,420.29634,7.62,10540
LPG,DORIAN LPG LTD,-0.00250941,2018,10,1,439.60129,7.97,10540
LPG,DORIAN LPG LTD,-0.11572327,2018,11,1,438.57765,7.95,10540
LPG,DORIAN LPG LTD,-0.170697013,2018,12,1,387.82401,7.03,10540
LPG,DORIAN LPG LTD,-0.060034305,2019,1,1,321.62361,5.83,10540
LPG,DORIAN LPG LTD,0.0766423358,2019,2,1,302.31516,5.48,10540
LPG,DORIAN LPG LTD,0.0881355932,2019,3,1,325.4853,5.9,10540
LPG,DORIAN LPG LTD,0.2492211838,2019,4,1,354.17214,6.42,10540
