ticker,conm,ret,year,month,EW,VW,PW,n
LPX,LOUISIANA-PACIFIC CORP,-0.084444444,2000,1,1,1510.396875,14.0625,919
LPX,LOUISIANA-PACIFIC CORP,-0.071650485,2000,2,1,1382.85225,12.875,919
LPX,LOUISIANA-PACIFIC CORP,0.1746031746,2000,3,1,1268.733375,11.8125,919
LPX,LOUISIANA-PACIFIC CORP,-0.036036036,2000,4,1,1444.63725,13.875,919
LPX,LOUISIANA-PACIFIC CORP,-0.148411215,2000,5,1,1392.57825,13.375,919
LPX,LOUISIANA-PACIFIC CORP,-0.033333333,2000,6,1,1171.8225,11.25,919
LPX,LOUISIANA-PACIFIC CORP,-0.109195402,2000,7,1,1132.76175,10.875,919
LPX,LOUISIANA-PACIFIC CORP,0.1047741935,2000,8,1,1009.069375,9.6875,919
LPX,LOUISIANA-PACIFIC CORP,-0.130177515,2000,9,1,1100.40125,10.5625,919
LPX,LOUISIANA-PACIFIC CORP,-0.074829932,2000,10,1,957.15375,9.1875,919
LPX,LOUISIANA-PACIFIC CORP,-0.152647059,2000,11,1,885.53,8.5,919
LPX,LOUISIANA-PACIFIC CORP,0.4336283186,2000,12,1,735.77125,7.0625,919
LPX,LOUISIANA-PACIFIC CORP,0.1012345679,2001,1,1,1054.8225,10.125,919
LPX,LOUISIANA-PACIFIC CORP,-0.038565022,2001,2,1,1161.607,11.15,919
LPX,LOUISIANA-PACIFIC CORP,-0.09168242,2001,3,1,1102.2244,10.58,919
LPX,LOUISIANA-PACIFIC CORP,0.2747138398,2001,4,1,1002.90921,9.61,919
LPX,LOUISIANA-PACIFIC CORP,-0.036734694,2001,5,1,1278.42225,12.25,919
LPX,LOUISIANA-PACIFIC CORP,-0.001702128,2001,6,1,1226.3475,11.75,919
LPX,LOUISIANA-PACIFIC CORP,-0.094629156,2001,7,1,1224.2601,11.73,919
LPX,LOUISIANA-PACIFIC CORP,0.0047080979,2001,8,1,1108.73862,10.62,919
LPX,LOUISIANA-PACIFIC CORP,-0.387947269,2001,9,1,1109.13156,10.62,919
LPX,LOUISIANA-PACIFIC CORP,0.1076923077,2001,10,1,678.847,6.5,919
LPX,LOUISIANA-PACIFIC CORP,0.0666666667,2001,11,1,751.9536,7.2,919
LPX,LOUISIANA-PACIFIC CORP,0.0989583333,2001,12,1,802.22976,7.68,919
LPX,LOUISIANA-PACIFIC CORP,0.0236966825,2002,1,1,881.61708,8.44,919
LPX,LOUISIANA-PACIFIC CORP,0.1678240741,2002,2,1,902.50848,8.64,919
LPX,LOUISIANA-PACIFIC CORP,0.064420218,2002,3,1,1053.97113,10.09,919
LPX,LOUISIANA-PACIFIC CORP,0.0893854749,2002,4,1,1123.04958,10.74,919
LPX,LOUISIANA-PACIFIC CORP,-0.098290598,2002,5,1,1223.4339,11.7,919
LPX,LOUISIANA-PACIFIC CORP,0.0037914692,2002,6,1,1103.18185,10.55,919
LPX,LOUISIANA-PACIFIC CORP,-0.252124646,2002,7,1,1107.36453,10.59,919
LPX,LOUISIANA-PACIFIC CORP,-0.021464646,2002,8,1,828.432,7.92,919
LPX,LOUISIANA-PACIFIC CORP,-0.16516129,2002,9,1,810.51825,7.75,919
LPX,LOUISIANA-PACIFIC CORP,0.0417310665,2002,10,1,676.65201,6.47,919
LPX,LOUISIANA-PACIFIC CORP,0.3293768546,2002,11,1,704.88942,6.74,919
LPX,LOUISIANA-PACIFIC CORP,-0.100446429,2002,12,1,937.04576,8.96,919
LPX,LOUISIANA-PACIFIC CORP,-0.094292804,2003,1,1,842.92286,8.06,919
LPX,LOUISIANA-PACIFIC CORP,0.1931506849,2003,2,1,763.4413,7.3,919
LPX,LOUISIANA-PACIFIC CORP,-0.089552239,2003,3,1,910.90051,8.71,919
LPX,LOUISIANA-PACIFIC CORP,0.0189155107,2003,4,1,829.39077,7.93,919
LPX,LOUISIANA-PACIFIC CORP,0.1930693069,2003,5,1,845.07912,8.08,919
LPX,LOUISIANA-PACIFIC CORP,0.1244813278,2003,6,1,1008.23796,9.64,919
LPX,LOUISIANA-PACIFIC CORP,0.1208487085,2003,7,1,1133.74476,10.84,919
LPX,LOUISIANA-PACIFIC CORP,0.0823045267,2003,8,1,1270.75635,12.15,919
LPX,LOUISIANA-PACIFIC CORP,0.0479087452,2003,9,1,1375.58205,13.15,919
LPX,LOUISIANA-PACIFIC CORP,0.3802612482,2003,10,1,1441.48446,13.78,919
LPX,LOUISIANA-PACIFIC CORP,-0.048895899,2003,11,1,1989.62514,19.02,919
LPX,LOUISIANA-PACIFIC CORP,-0.011608624,2003,12,1,1915.53201,18.09,919
LPX,LOUISIANA-PACIFIC CORP,0.1895973154,2004,1,1,1893.29532,17.88,919
LPX,LOUISIANA-PACIFIC CORP,0.1650211566,2004,2,1,2252.25903,21.27,919
LPX,LOUISIANA-PACIFIC CORP,0.0432672867,2004,3,1,2618.63497,24.73,919
LPX,LOUISIANA-PACIFIC CORP,-0.085658915,2004,4,1,2799.2742,25.8,919
LPX,LOUISIANA-PACIFIC CORP,-0.0175922,2004,5,1,2559.49141,23.59,919
LPX,LOUISIANA-PACIFIC CORP,0.0238095238,2004,6,1,2513.3262,23.1,919
LPX,LOUISIANA-PACIFIC CORP,0.0012684989,2004,7,1,2573.1673,23.65,919
LPX,LOUISIANA-PACIFIC CORP,0.0462415541,2004,8,1,2576.43136,23.68,919
LPX,LOUISIANA-PACIFIC CORP,0.0506072874,2004,9,1,2699.1666,24.7,919
LPX,LOUISIANA-PACIFIC CORP,-0.055491329,2004,10,1,2835.7641,25.95,919
LPX,LOUISIANA-PACIFIC CORP,0.0024479804,2004,11,1,2678.40378,24.51,919
LPX,LOUISIANA-PACIFIC CORP,0.092766653,2004,12,1,2692.99691,24.47,919
LPX,LOUISIANA-PACIFIC CORP,-0.04263276,2005,1,1,2942.81722,26.74,919
LPX,LOUISIANA-PACIFIC CORP,0.030078125,2005,2,1,2817.3568,25.6,919
LPX,LOUISIANA-PACIFIC CORP,-0.043014846,2005,3,1,2891.09231,26.27,919
LPX,LOUISIANA-PACIFIC CORP,-0.021479714,2005,4,1,2784.60696,25.14,919
LPX,LOUISIANA-PACIFIC CORP,0.0286585366,2005,5,1,2724.7944,24.6,919
LPX,LOUISIANA-PACIFIC CORP,-0.023828435,2005,6,1,2791.3289,25.18,919
LPX,LOUISIANA-PACIFIC CORP,0.0911310008,2005,7,1,2724.8159,24.58,919
LPX,LOUISIANA-PACIFIC CORP,-0.052386279,2005,8,1,2973.1311,26.82,919
LPX,LOUISIANA-PACIFIC CORP,0.0948991696,2005,9,1,2803.52295,25.29,919
LPX,LOUISIANA-PACIFIC CORP,-0.099674973,2005,10,1,3069.57495,27.69,919
LPX,LOUISIANA-PACIFIC CORP,0.0868431609,2005,11,1,2763.61515,24.93,919
LPX,LOUISIANA-PACIFIC CORP,0.0185391175,2005,12,1,2852.72478,26.97,919
LPX,LOUISIANA-PACIFIC CORP,0.0720786312,2006,1,1,2905.61178,27.47,919
LPX,LOUISIANA-PACIFIC CORP,-0.029541596,2006,2,1,3115.0443,29.45,919
LPX,LOUISIANA-PACIFIC CORP,-0.043264158,2006,3,1,3007.15482,28.43,919
LPX,LOUISIANA-PACIFIC CORP,0.0139705882,2006,4,1,2884.1248,27.2,919
LPX,LOUISIANA-PACIFIC CORP,-0.114938361,2006,5,1,2924.41772,27.58,919
LPX,LOUISIANA-PACIFIC CORP,-0.097279472,2006,6,1,2576.2907,24.26,919
LPX,LOUISIANA-PACIFIC CORP,-0.086757991,2006,7,1,2325.6705,21.9,919
LPX,LOUISIANA-PACIFIC CORP,-0.0145,2006,8,1,2123.9,20,919
LPX,LOUISIANA-PACIFIC CORP,-0.040388548,2006,9,1,2057.98584,19.56,919
LPX,LOUISIANA-PACIFIC CORP,0.0538092701,2006,10,1,1974.86678,18.77,919
LPX,LOUISIANA-PACIFIC CORP,0.0743174924,2006,11,1,2081.13292,19.78,919
LPX,LOUISIANA-PACIFIC CORP,0.0203791469,2006,12,1,2199.1053,21.1,919
LPX,LOUISIANA-PACIFIC CORP,0.0640966094,2007,1,1,2243.92119,21.53,919
LPX,LOUISIANA-PACIFIC CORP,-0.09253601,2007,2,1,2387.74893,22.91,919
LPX,LOUISIANA-PACIFIC CORP,-0.028100775,2007,3,1,2151.16272,20.64,919
LPX,LOUISIANA-PACIFIC CORP,-0.017447657,2007,4,1,2092.98016,20.06,919
LPX,LOUISIANA-PACIFIC CORP,0.0476915271,2007,5,1,2056.46256,19.71,919
LPX,LOUISIANA-PACIFIC CORP,-0.077073171,2007,6,1,2138.6215,20.5,919
LPX,LOUISIANA-PACIFIC CORP,-0.021141649,2007,7,1,1973.79116,18.92,919
LPX,LOUISIANA-PACIFIC CORP,0.0194384449,2007,8,1,1934.65476,18.52,919
LPX,LOUISIANA-PACIFIC CORP,-0.093966898,2007,9,1,1956.59199,18.73,919
LPX,LOUISIANA-PACIFIC CORP,-0.030053035,2007,10,1,1772.73711,16.97,919
LPX,LOUISIANA-PACIFIC CORP,-0.056500608,2007,11,1,1719.46098,16.46,919
LPX,LOUISIANA-PACIFIC CORP,-0.11053316,2007,12,1,1591.26094,15.38,919
LPX,LOUISIANA-PACIFIC CORP,0.1162280702,2008,1,1,1415.37384,13.68,919
LPX,LOUISIANA-PACIFIC CORP,-0.277668631,2008,2,1,1579.88001,15.27,919
LPX,LOUISIANA-PACIFIC CORP,-0.15625,2008,3,1,1125.67744,10.88,919
LPX,LOUISIANA-PACIFIC CORP,0.2538126362,2008,4,1,948.09204,9.18,919
LPX,LOUISIANA-PACIFIC CORP,0.067767159,2008,5,1,1188.72978,11.51,919
LPX,LOUISIANA-PACIFIC CORP,-0.300658979,2008,6,1,1253.79492,12.14,919
LPX,LOUISIANA-PACIFIC CORP,-0.003533569,2008,7,1,876.83022,8.49,919
LPX,LOUISIANA-PACIFIC CORP,0.1513002364,2008,8,1,873.73188,8.46,919
LPX,LOUISIANA-PACIFIC CORP,-0.045174538,2008,9,1,1006.07382,9.74,919
LPX,LOUISIANA-PACIFIC CORP,-0.483870968,2008,10,1,960.6249,9.3,919
LPX,LOUISIANA-PACIFIC CORP,-0.51875,2008,11,1,495.8064,4.8,919
LPX,LOUISIANA-PACIFIC CORP,-0.324675325,2008,12,1,238.60683,2.31,919
LPX,LOUISIANA-PACIFIC CORP,0.3333333333,2009,1,1,161.13708,1.56,919
LPX,LOUISIANA-PACIFIC CORP,-0.221153846,2009,2,1,214.84944,2.08,919
LPX,LOUISIANA-PACIFIC CORP,0.3765432099,2009,3,1,167.33466,1.62,919
LPX,LOUISIANA-PACIFIC CORP,0.8251121076,2009,4,1,231.32905,2.23,919
LPX,LOUISIANA-PACIFIC CORP,0.0663390663,2009,5,1,422.20145,4.07,919
LPX,LOUISIANA-PACIFIC CORP,-0.211981567,2009,6,1,450.20556,4.34,919
LPX,LOUISIANA-PACIFIC CORP,0.2339181287,2009,7,1,354.77028,3.42,919
LPX,LOUISIANA-PACIFIC CORP,0.7843601896,2009,8,1,437.75748,4.22,919
LPX,LOUISIANA-PACIFIC CORP,-0.114209827,2009,9,1,781.47846,7.53,919
LPX,LOUISIANA-PACIFIC CORP,-0.212893553,2009,10,1,819.38949,6.67,919
LPX,LOUISIANA-PACIFIC CORP,0.1885714286,2009,11,1,644.94675,5.25,919
LPX,LOUISIANA-PACIFIC CORP,0.1185897436,2009,12,1,777.16704,6.24,919
LPX,LOUISIANA-PACIFIC CORP,0.0186246418,2010,1,1,869.33108,6.98,919
LPX,LOUISIANA-PACIFIC CORP,0.070323488,2010,2,1,885.52206,7.11,919
LPX,LOUISIANA-PACIFIC CORP,0.1892247043,2010,3,1,947.79506,7.61,919
LPX,LOUISIANA-PACIFIC CORP,0.2994475138,2010,4,1,1147.54,9.05,919
LPX,LOUISIANA-PACIFIC CORP,-0.277210884,2010,5,1,1491.168,11.76,919
LPX,LOUISIANA-PACIFIC CORP,-0.212941176,2010,6,1,1077.868,8.5,919
LPX,LOUISIANA-PACIFIC CORP,0.0881913303,2010,7,1,848.34552,6.69,919
LPX,LOUISIANA-PACIFIC CORP,-0.085164835,2010,8,1,923.16224,7.28,919
LPX,LOUISIANA-PACIFIC CORP,0.1366366366,2010,9,1,860.55858,6.66,919
LPX,LOUISIANA-PACIFIC CORP,0.0224570674,2010,10,1,978.14241,7.57,919
LPX,LOUISIANA-PACIFIC CORP,0.0594315245,2010,11,1,1000.10862,7.74,919
LPX,LOUISIANA-PACIFIC CORP,0.1536585366,2010,12,1,1082.0228,8.2,919
LPX,LOUISIANA-PACIFIC CORP,0.0613107822,2011,1,1,1248.28484,9.46,919
LPX,LOUISIANA-PACIFIC CORP,0.0278884462,2011,2,1,1324.81816,10.04,919
LPX,LOUISIANA-PACIFIC CORP,0.0174418605,2011,3,1,1361.76528,10.32,919
LPX,LOUISIANA-PACIFIC CORP,-0.114285714,2011,4,1,1387.533,10.5,919
LPX,LOUISIANA-PACIFIC CORP,-0.098924731,2011,5,1,1228.9578,9.3,919
LPX,LOUISIANA-PACIFIC CORP,-0.028639618,2011,6,1,1107.42538,8.38,919
LPX,LOUISIANA-PACIFIC CORP,-0.047911548,2011,7,1,1075.70914,8.14,919
LPX,LOUISIANA-PACIFIC CORP,-0.139354839,2011,8,1,1024.17025,7.75,919
LPX,LOUISIANA-PACIFIC CORP,-0.235382309,2011,9,1,881.44717,6.67,919
LPX,LOUISIANA-PACIFIC CORP,0.3039215686,2011,10,1,673.9701,5.1,919
LPX,LOUISIANA-PACIFIC CORP,0.2,2011,11,1,878.80415,6.65,919
LPX,LOUISIANA-PACIFIC CORP,0.0112781955,2011,12,1,1087.46652,7.98,919
LPX,LOUISIANA-PACIFIC CORP,0.0557620818,2012,1,1,1099.73118,8.07,919
LPX,LOUISIANA-PACIFIC CORP,-0.041079812,2012,2,1,1161.05448,8.52,919
LPX,LOUISIANA-PACIFIC CORP,0.1444308446,2012,3,1,1113.35858,8.17,919
LPX,LOUISIANA-PACIFIC CORP,-0.032085561,2012,4,1,1285.70915,9.35,919
LPX,LOUISIANA-PACIFIC CORP,0.0408839779,2012,5,1,1244.45645,9.05,919
LPX,LOUISIANA-PACIFIC CORP,0.1549893843,2012,6,1,1295.42898,9.42,919
LPX,LOUISIANA-PACIFIC CORP,-0.051470588,2012,7,1,1496.20672,10.88,919
LPX,LOUISIANA-PACIFIC CORP,0.3003875969,2012,8,1,1420.9092,10.32,919
LPX,LOUISIANA-PACIFIC CORP,-0.068554396,2012,9,1,1847.7327,13.42,919
LPX,LOUISIANA-PACIFIC CORP,0.2632,2012,10,1,1721.0625,12.5,919
LPX,LOUISIANA-PACIFIC CORP,0.1032298923,2012,11,1,2174.04615,15.79,919
LPX,LOUISIANA-PACIFIC CORP,0.1090700344,2012,12,1,2410.37056,17.42,919
LPX,LOUISIANA-PACIFIC CORP,0.0056935818,2013,1,1,2673.26976,19.32,919
LPX,LOUISIANA-PACIFIC CORP,0.079258878,2013,2,1,2688.49024,19.43,919
LPX,LOUISIANA-PACIFIC CORP,0.0300429185,2013,3,1,2901.57696,20.97,919
LPX,LOUISIANA-PACIFIC CORP,-0.161111111,2013,4,1,3008.7288,21.6,919
LPX,LOUISIANA-PACIFIC CORP,-0.030353201,2013,5,1,2523.98916,18.12,919
LPX,LOUISIANA-PACIFIC CORP,-0.158224246,2013,6,1,2448.57277,17.57,919
LPX,LOUISIANA-PACIFIC CORP,0.0993914807,2013,7,1,2061.14919,14.79,919
LPX,LOUISIANA-PACIFIC CORP,-0.0799508,2013,8,1,2266.00986,16.26,919
LPX,LOUISIANA-PACIFIC CORP,0.175802139,2013,9,1,2099.06752,14.96,919
LPX,LOUISIANA-PACIFIC CORP,-0.03297328,2013,10,1,2468.08808,17.59,919
LPX,LOUISIANA-PACIFIC CORP,-0.035861258,2013,11,1,2386.70712,17.01,919
LPX,LOUISIANA-PACIFIC CORP,0.1286585366,2013,12,1,2314.3844,16.4,919
LPX,LOUISIANA-PACIFIC CORP,-0.052944354,2014,1,1,2612.14971,18.51,919
LPX,LOUISIANA-PACIFIC CORP,0.0718767827,2014,2,1,2473.85113,17.53,919
