ticker,conm,ret,year,month,EW,VW,PW,n
LUB,LUBYS INC,-0.038461538,2000,1,1,255.0275,11.375,923
LUB,LUBYS INC,-0.045714286,2000,2,1,245.21875,10.9375,923
LUB,LUBYS INC,-0.076646707,2000,3,1,234.00875,10.4375,923
LUB,LUBYS INC,-0.046357616,2000,4,1,211.58875,9.4375,923
LUB,LUBYS INC,0,2000,5,1,201.78,9,923
LUB,LUBYS INC,-0.088888889,2000,6,1,201.78,9,923
LUB,LUBYS INC,0.015625,2000,7,1,179.36,8,923
LUB,LUBYS INC,-0.323076923,2000,8,1,182.1625,8.125,923
LUB,LUBYS INC,-0.015909091,2000,9,1,123.31,5.5,923
LUB,LUBYS INC,0.1058823529,2000,10,1,119.10625,5.3125,923
LUB,LUBYS INC,-0.191489362,2000,11,1,131.7175,5.875,923
LUB,LUBYS INC,0.2631578947,2000,12,1,106.495,4.75,923
LUB,LUBYS INC,0.0083333333,2001,1,1,134.52,6,923
LUB,LUBYS INC,0.132231405,2001,2,1,135.641,6.05,923
LUB,LUBYS INC,0.1094890511,2001,3,1,153.577,6.85,923
LUB,LUBYS INC,0,2001,4,1,170.392,7.6,923
LUB,LUBYS INC,0.1210526316,2001,5,1,170.4148,7.6,923
LUB,LUBYS INC,0.1490610329,2001,6,1,191.04396,8.52,923
LUB,LUBYS INC,-0.064351379,2001,7,1,219.52117,9.79,923
LUB,LUBYS INC,-0.041484716,2001,8,1,205.413,9.16,923
LUB,LUBYS INC,-0.185649203,2001,9,1,196.8915,8.78,923
LUB,LUBYS INC,-0.153846154,2001,10,1,160.33875,7.15,923
LUB,LUBYS INC,0.173553719,2001,11,1,135.67125,6.05,923
LUB,LUBYS INC,-0.195774648,2001,12,1,159.2175,7.1,923
LUB,LUBYS INC,0.1033274956,2002,1,1,128.03533,5.71,923
LUB,LUBYS INC,0.0253968254,2002,2,1,141.2523,6.3,923
LUB,LUBYS INC,0.0526315789,2002,3,1,144.83966,6.46,923
LUB,LUBYS INC,0.0294117647,2002,4,1,152.4628,6.8,923
LUB,LUBYS INC,-0.001428571,2002,5,1,157.031,7,923
LUB,LUBYS INC,-0.058655222,2002,6,1,156.80667,6.99,923
LUB,LUBYS INC,-0.133738602,2002,7,1,147.60914,6.58,923
LUB,LUBYS INC,-0.119298246,2002,8,1,127.8681,5.7,923
LUB,LUBYS INC,-0.019920319,2002,9,1,112.61366,5.02,923
LUB,LUBYS INC,0.0569105691,2002,10,1,110.37036,4.92,923
LUB,LUBYS INC,-0.201923077,2002,11,1,116.6516,5.2,923
LUB,LUBYS INC,-0.298795181,2002,12,1,93.09695,4.15,923
LUB,LUBYS INC,-0.319587629,2003,1,1,65.475,2.91,923
LUB,LUBYS INC,-0.313131313,2003,2,1,44.44902,1.98,923
LUB,LUBYS INC,-0.029411765,2003,3,1,30.53064,1.36,923
LUB,LUBYS INC,0.7651515152,2003,4,1,29.63268,1.32,923
LUB,LUBYS INC,-0.214592275,2003,5,1,52.32248,2.33,923
LUB,LUBYS INC,0.2295081967,2003,6,1,41.09448,1.83,923
LUB,LUBYS INC,0.1511111111,2003,7,1,59.526,2.25,923
