ticker,conm,ret,year,month,EW,VW,PW,n
LW,LAMB WESTON HOLDINGS INC,,2016,10,1,,,4361
LW,LAMB WESTON HOLDINGS INC,-0.04683274,2016,11,1,5128.25,35.125,4361
LW,LAMB WESTON HOLDINGS INC,0.130525687,2016,12,1,4888.08,33.48,4361
LW,LAMB WESTON HOLDINGS INC,-0.007992074,2017,1,1,5526.1,37.85,4361
LW,LAMB WESTON HOLDINGS INC,0.0489828694,2017,2,1,5456.76424,37.36,4361
LW,LAMB WESTON HOLDINGS INC,0.0732329676,2017,3,1,5724.05221,39.19,4361
LW,LAMB WESTON HOLDINGS INC,-0.002912506,2017,4,1,6143.24154,42.06,4361
LW,LAMB WESTON HOLDINGS INC,0.1116167665,2017,5,1,6098.38075,41.75,4361
LW,LAMB WESTON HOLDINGS INC,-0.05106658,2017,6,1,6779.06229,46.41,4361
LW,LAMB WESTON HOLDINGS INC,-0.001362398,2017,7,1,6432.87876,44.04,4361
LW,LAMB WESTON HOLDINGS INC,0.0383697135,2017,8,1,6425.65392,43.98,4361
LW,LAMB WESTON HOLDINGS INC,0.0310026385,2017,9,1,6647.85708,45.48,4361
LW,LAMB WESTON HOLDINGS INC,0.0874386863,2017,10,1,6853.95819,46.89,4361
LW,LAMB WESTON HOLDINGS INC,0.069964699,2017,11,1,7454.58503,50.99,4361
LW,LAMB WESTON HOLDINGS INC,0.0382563914,2017,12,1,7948.73089,54.37,4361
LW,LAMB WESTON HOLDINGS INC,0.0380868025,2018,1,1,8252.82065,56.45,4361
LW,LAMB WESTON HOLDINGS INC,-0.073698805,2018,2,1,8568.7264,58.6,4361
LW,LAMB WESTON HOLDINGS INC,0.0763542244,2018,3,1,7909.25616,54.09,4361
LW,LAMB WESTON HOLDINGS INC,0.1219512195,2018,4,1,8513.16128,58.22,4361
LW,LAMB WESTON HOLDINGS INC,-0.021107624,2018,5,1,9551.7436,65.32,4361
LW,LAMB WESTON HOLDINGS INC,0.0746666667,2018,6,1,9322.1625,63.75,4361
LW,LAMB WESTON HOLDINGS INC,0.0256896803,2018,7,1,10018.2173,68.51,4361
LW,LAMB WESTON HOLDINGS INC,-0.035274655,2018,8,1,10282.74964,70.27,4361
LW,LAMB WESTON HOLDINGS INC,-0.014792899,2018,9,1,9898.1948,67.6,4361
LW,LAMB WESTON HOLDINGS INC,0.1735735736,2018,10,1,9751.7718,66.6,4361
LW,LAMB WESTON HOLDINGS INC,-0.016232728,2018,11,1,11446.9228,78.16,4361
LW,LAMB WESTON HOLDINGS INC,-0.040938722,2018,12,1,11233.0985,76.7,4361
LW,LAMB WESTON HOLDINGS INC,-0.014410005,2019,1,1,10773.2298,73.56,4361
LW,LAMB WESTON HOLDINGS INC,-0.041355463,2019,2,1,10591.3716,72.3,4361
LW,LAMB WESTON HOLDINGS INC,0.0812292598,2019,3,1,10153.36052,69.31,4361
LW,LAMB WESTON HOLDINGS INC,-0.065252202,2019,4,1,10978.11048,74.94,4361
LW,LAMB WESTON HOLDINGS INC,-0.151320485,2019,5,1,10246.4937,70.05,4361
LW,LAMB WESTON HOLDINGS INC,0.0693670886,2019,6,1,8666.7345,59.25,4361
LW,LAMB WESTON HOLDINGS INC,0.0593434343,2019,7,1,9267.92064,63.36,4361
LW,LAMB WESTON HOLDINGS INC,0.0516984505,2019,8,1,9804.15128,67.12,4361
LW,LAMB WESTON HOLDINGS INC,0.0331012928,2019,9,1,10253.99286,70.39,4361
LW,LAMB WESTON HOLDINGS INC,0.0759075908,2019,10,1,10593.41328,72.72,4361
LW,LAMB WESTON HOLDINGS INC,0.0761148129,2019,11,1,11398.75652,78.04,4361
LW,LAMB WESTON HOLDINGS INC,0.0244105739,2019,12,1,12266.37074,83.98,4361
LW,LAMB WESTON HOLDINGS INC,0.0640474253,2020,1,1,12565.79989,86.03,4361
LW,LAMB WESTON HOLDINGS INC,-0.048406527,2020,2,1,13339.66052,91.31,4361
LW,LAMB WESTON HOLDINGS INC,-0.342847278,2020,3,1,12693.93388,86.89,4361
LW,LAMB WESTON HOLDINGS INC,0.0746059545,2020,4,1,8341.8532,57.1,4361
LW,LAMB WESTON HOLDINGS INC,-0.01743807,2020,5,1,8960.95304,61.36,4361
LW,LAMB WESTON HOLDINGS INC,0.0644355644,2020,6,1,8771.10234,60.06,4361
LW,LAMB WESTON HOLDINGS INC,-0.060222118,2020,7,1,9336.27327,63.93,4361
LW,LAMB WESTON HOLDINGS INC,0.0499334221,2020,8,1,8775.2848,60.08,4361
LW,LAMB WESTON HOLDINGS INC,0.0544152745,2020,9,1,9132.9849,62.85,4361
LW,LAMB WESTON HOLDINGS INC,-0.042553191,2020,10,1,9629.95878,66.27,4361
LW,LAMB WESTON HOLDINGS INC,0.1443656422,2020,11,1,9285.20955,63.45,4361
LW,LAMB WESTON HOLDINGS INC,0.0878695772,2020,12,1,10592.01682,72.38,4361
