ticker,conm,ret,year,month,EW,VW,PW,n
M,MACY'S INC,-0.176761434,2000,1,1,10616.759813,50.5625,575
M,MACY'S INC,-0.118618619,2000,2,1,8740.126125,41.625,575
M,MACY'S INC,0.1516183986,2000,3,1,7703.3844375,36.6875,575
M,MACY'S INC,-0.195266272,2000,4,1,8871.35925,42.25,575
M,MACY'S INC,0.1323529412,2000,5,1,7192.666,34,575
M,MACY'S INC,-0.123376623,2000,6,1,8144.6365,38.5,575
M,MACY'S INC,-0.287037037,2000,7,1,7017.84,33.75,575
M,MACY'S INC,0.1480519481,2000,8,1,5003.46,24.0625,575
M,MACY'S INC,-0.054298643,2000,9,1,5744.232,27.625,575
M,MACY'S INC,0.2464114833,2000,10,1,5432.328,26.125,575
M,MACY'S INC,-0.063339731,2000,11,1,6574.954875,32.5625,575
M,MACY'S INC,0.1475409836,2000,12,1,6158.499,30.5,575
M,MACY'S INC,0.2731428571,2001,1,1,7067.13,35,575
M,MACY'S INC,0.08505386,2001,2,1,8997.46608,44.56,575
M,MACY'S INC,-0.140641158,2001,3,1,9762.7353,48.35,575
M,MACY'S INC,0.0344163658,2001,4,1,8389.6929,41.55,575
M,MACY'S INC,0.0423452769,2001,5,1,8495.94256,42.98,575
M,MACY'S INC,-0.051339286,2001,6,1,8855.7056,44.8,575
M,MACY'S INC,-0.091764706,2001,7,1,8282.9525,42.5,575
M,MACY'S INC,-0.059326425,2001,8,1,7522.8698,38.6,575
M,MACY'S INC,-0.223354448,2001,9,1,7076.85531,36.31,575
M,MACY'S INC,0.1343971631,2001,10,1,5433.4632,28.2,575
M,MACY'S INC,0.1566114411,2001,11,1,6163.70524,31.99,575
M,MACY'S INC,0.1054054054,2001,12,1,7129.012,37,575
M,MACY'S INC,0.017603912,2002,1,1,7839.5484,40.9,575
M,MACY'S INC,0.0069678039,2002,2,1,7977.55512,41.62,575
M,MACY'S INC,-0.025292293,2002,3,1,8033.14116,41.91,575
M,MACY'S INC,-0.027417381,2002,4,1,7829.9646,40.85,575
M,MACY'S INC,0.0422854266,2002,5,1,7990.73598,39.73,575
M,MACY'S INC,-0.041294373,2002,6,1,8328.62766,41.41,575
M,MACY'S INC,-0.052644836,2002,7,1,7999.3912,39.7,575
M,MACY'S INC,-0.045466631,2002,8,1,7578.26456,37.61,575
M,MACY'S INC,-0.17994429,2002,9,1,7233.7064,35.9,575
M,MACY'S INC,0.042798913,2002,10,1,5775.00928,29.44,575
M,MACY'S INC,0.064495114,2002,11,1,6022.1734,30.7,575
M,MACY'S INC,-0.11995104,2002,12,1,6410.57416,32.68,575
M,MACY'S INC,-0.09527121,2003,1,1,5470.2958,28.76,575
M,MACY'S INC,-0.019984627,2003,2,1,4949.1341,26.02,575
M,MACY'S INC,0.0988235294,2003,3,1,4850.2275,25.5,575
M,MACY'S INC,0.0927908637,2003,4,1,5329.5441,28.02,575
M,MACY'S INC,0.0613977792,2003,5,1,5735.95274,30.62,575
M,MACY'S INC,0.1376923077,2003,6,1,6088.1275,32.5,575
M,MACY'S INC,0.0857530529,2003,7,1,6830.5897,36.85,575
M,MACY'S INC,0.0922269433,2003,8,1,7416.33362,40.01,575
M,MACY'S INC,-0.038329519,2003,9,1,8100.3194,43.7,575
M,MACY'S INC,0.1348448687,2003,10,1,7659.5714,41.9,575
M,MACY'S INC,0.0323869611,2003,11,1,8692.4253,47.55,575
M,MACY'S INC,-0.037380322,2003,12,1,8973.94654,49.09,575
M,MACY'S INC,0.0074262678,2004,1,1,8520.6327,47.13,575
M,MACY'S INC,0.1029907329,2004,2,1,8583.9092,47.48,575
M,MACY'S INC,0.0344662975,2004,3,1,9467.9723,52.37,575
M,MACY'S INC,-0.093432007,2004,4,1,9771.6995,54.05,575
M,MACY'S INC,-0.026326531,2004,5,1,8851.752,49,575
M,MACY'S INC,0.0319639489,2004,6,1,8618.71608,47.71,575
M,MACY'S INC,-0.024032587,2004,7,1,8828.4746,49.1,575
M,MACY'S INC,-0.094323873,2004,8,1,8616.30352,47.92,575
M,MACY'S INC,0.0498847926,2004,9,1,7495.0932,43.4,575
M,MACY'S INC,0.1104996698,2004,10,1,7845.67014,45.43,575
