ticker,conm,ret,year,month,EW,VW,PW,n
MAG,MAG SILVER CORP,,2007,7,1,,,8221
MAG,MAG SILVER CORP,-0.091575092,2007,8,1,561.4518,13.65,8221
MAG,MAG SILVER CORP,0.132016129,2007,9,1,510.0368,12.4,8221
MAG,MAG SILVER CORP,0.119897414,2007,10,1,577.369884,14.037,8221
MAG,MAG SILVER CORP,-0.017175573,2007,11,1,686.19372,15.72,8221
MAG,MAG SILVER CORP,-0.037533981,2007,12,1,675.76755,15.45,8221
MAG,MAG SILVER CORP,-0.10155278,2008,1,1,695.7571089,14.8701,8221
MAG,MAG SILVER CORP,0.1145134731,2008,2,1,627.30544,13.36,8221
MAG,MAG SILVER CORP,-0.144386463,2008,3,1,707.7765066,14.8899,8221
MAG,MAG SILVER CORP,-0.164835165,2008,4,1,617.83904,12.74,8221
MAG,MAG SILVER CORP,0.094924812,2008,5,1,516.52944,10.64,8221
MAG,MAG SILVER CORP,-0.155364807,2008,6,1,569.1724,11.65,8221
MAG,MAG SILVER CORP,-0.040650407,2008,7,1,483.65568,9.84,8221
MAG,MAG SILVER CORP,-0.210805085,2008,8,1,464.00432,9.44,8221
MAG,MAG SILVER CORP,-0.244295302,2008,9,1,366.18985,7.45,8221
MAG,MAG SILVER CORP,-0.262877442,2008,10,1,276.74828,5.63,8221
MAG,MAG SILVER CORP,0.1445783133,2008,11,1,203.9974,4.15,8221
MAG,MAG SILVER CORP,-0.052652632,2008,12,1,233.491,4.75,8221
MAG,MAG SILVER CORP,0.3778083957,2009,1,1,221.1970844,4.4999,8221
MAG,MAG SILVER CORP,-0.257741935,2009,2,1,304.7672,6.2,8221
MAG,MAG SILVER CORP,-0.026510213,2009,3,1,226.469022,4.602,8221
MAG,MAG SILVER CORP,0.1071428571,2009,4,1,220.46528,4.48,8221
MAG,MAG SILVER CORP,0.1491935484,2009,5,1,244.08656,4.96,8221
MAG,MAG SILVER CORP,-0.194736842,2009,6,1,280.7193,5.7,8221
MAG,MAG SILVER CORP,0.0631808279,2009,7,1,226.05291,4.59,8221
MAG,MAG SILVER CORP,-0.073770492,2009,8,1,240.33512,4.88,8221
MAG,MAG SILVER CORP,0.2876106195,2009,9,1,222.60548,4.52,8221
MAG,MAG SILVER CORP,-0.103092784,2009,10,1,286.73394,5.82,8221
MAG,MAG SILVER CORP,0.1570881226,2009,11,1,257.21028,5.22,8221
MAG,MAG SILVER CORP,-0.008278146,2009,12,1,297.87468,6.04,8221
