ticker,conm,ret,year,month,EW,VW,PW,n
MARN.,MARION CAPITAL HOLDINGS INC,-0.053435115,2000,1,1,22.286375,16.375,4188
MARN.,MARION CAPITAL HOLDINGS INC,0.0201612903,2000,2,1,21.0955,15.5,4188
MARN.,MARION CAPITAL HOLDINGS INC,0.0178656126,2000,3,1,21.44175,15.8125,4188
MARN.,MARION CAPITAL HOLDINGS INC,0.0393700787,2000,4,1,21.5265,15.875,4188
MARN.,MARION CAPITAL HOLDINGS INC,0.0474242424,2000,5,1,22.374,16.5,4188
MARN.,MARION CAPITAL HOLDINGS INC,0.2161172161,2000,6,1,23.1538125,17.0625,4188
MARN.,MARION CAPITAL HOLDINGS INC,0.0120481928,2000,7,1,28.1785,20.75,4188
MARN.,MARION CAPITAL HOLDINGS INC,0.169702381,2000,8,1,28.518,21,4188
MARN.,MARION CAPITAL HOLDINGS INC,-0.008985879,2000,9,1,33.0588125,24.34375,4188
MARN.,MARION CAPITAL HOLDINGS INC,-0.023316062,2000,10,1,32.978875,24.125,4188
MARN.,MARION CAPITAL HOLDINGS INC,0.0305570292,2000,11,1,32.2099375,23.5625,4188
MARN.,MARION CAPITAL HOLDINGS INC,0.0253090909,2000,12,1,32.8934375,24.0625,4188
MARN.,MARION CAPITAL HOLDINGS INC,0,2001,1,1,33.662375,24.625,4188
