ticker,conm,ret,year,month,EW,VW,PW,n
MCRS,MICROS SYSTEMS INC,-0.210304054,2000,1,1,1215.08,74,1002
MCRS,MICROS SYSTEMS INC,-0.052406417,2000,2,1,959.54375,58.4375,1002
MCRS,MICROS SYSTEMS INC,0.1365688488,2000,3,1,918.89275,55.375,1002
MCRS,MICROS SYSTEMS INC,-0.360476663,2000,4,1,1044.384875,62.9375,1002
MCRS,MICROS SYSTEMS INC,-0.214285714,2000,5,1,667.9085,40.25,1002
MCRS,MICROS SYSTEMS INC,-0.413043478,2000,6,1,524.78525,31.625,1002
MCRS,MICROS SYSTEMS INC,0.2255892256,2000,7,1,320.128875,18.5625,1002
MCRS,MICROS SYSTEMS INC,-0.228021978,2000,8,1,392.3465,22.75,1002
MCRS,MICROS SYSTEMS INC,-0.142348754,2000,9,1,302.882875,17.5625,1002
MCRS,MICROS SYSTEMS INC,0.3112033195,2000,10,1,259.767875,15.0625,1002
MCRS,MICROS SYSTEMS INC,0.0632911392,2000,11,1,342.60325,19.75,1002
MCRS,MICROS SYSTEMS INC,-0.130952381,2000,12,1,364.287,21,1002
MCRS,MICROS SYSTEMS INC,-0.006849315,2001,1,1,316.58275,18.25,1002
MCRS,MICROS SYSTEMS INC,-0.010344828,2001,2,1,314.414375,18.125,1002
MCRS,MICROS SYSTEMS INC,0.1289198606,2001,3,1,311.2335625,17.9375,1002
MCRS,MICROS SYSTEMS INC,0.0577777778,2001,4,1,351.35775,20.25,1002
MCRS,MICROS SYSTEMS INC,-0.00280112,2001,5,1,371.65842,21.42,1002
MCRS,MICROS SYSTEMS INC,0.0299625468,2001,6,1,371.68536,21.36,1002
MCRS,MICROS SYSTEMS INC,-0.122727273,2001,7,1,382.822,22,1002
MCRS,MICROS SYSTEMS INC,0.4715025907,2001,8,1,335.8393,19.3,1002
MCRS,MICROS SYSTEMS INC,-0.374295775,2001,9,1,494.1884,28.4,1002
MCRS,MICROS SYSTEMS INC,0.214969049,2001,10,1,309.21577,17.77,1002
MCRS,MICROS SYSTEMS INC,0.1523853636,2001,11,1,377.84659,21.59,1002
MCRS,MICROS SYSTEMS INC,0.0088424437,2001,12,1,435.42488,24.88,1002
MCRS,MICROS SYSTEMS INC,0.2262948207,2002,1,1,439.25,25.1,1002
MCRS,MICROS SYSTEMS INC,-0.268031189,2002,2,1,538.65,30.78,1002
MCRS,MICROS SYSTEMS INC,0.1296049711,2002,3,1,394.41018,22.53,1002
MCRS,MICROS SYSTEMS INC,0.1001964637,2002,4,1,445.5277,25.45,1002
MCRS,MICROS SYSTEMS INC,0.0328571429,2002,5,1,490.168,28,1002
MCRS,MICROS SYSTEMS INC,-0.041839557,2002,6,1,506.85192,28.92,1002
MCRS,MICROS SYSTEMS INC,-0.086972212,2002,7,1,485.64546,27.71,1002
MCRS,MICROS SYSTEMS INC,-0.035177866,2002,8,1,443.4078,25.3,1002
MCRS,MICROS SYSTEMS INC,-0.049979517,2002,9,1,427.80966,24.41,1002
MCRS,MICROS SYSTEMS INC,-0.104786546,2002,10,1,406.42794,23.19,1002
MCRS,MICROS SYSTEMS INC,0.1849710983,2002,11,1,362.13744,20.76,1002
MCRS,MICROS SYSTEMS INC,-0.088617886,2002,12,1,427.794,24.6,1002
MCRS,MICROS SYSTEMS INC,-0.021409456,2003,1,1,389.8838,22.42,1002
MCRS,MICROS SYSTEMS INC,0.048769371,2003,2,1,381.5366,21.94,1002
MCRS,MICROS SYSTEMS INC,0.0217296827,2003,3,1,399.49962,23.01,1002
MCRS,MICROS SYSTEMS INC,0.064653339,2003,4,1,408.18062,23.51,1002
MCRS,MICROS SYSTEMS INC,0.1913703556,2003,5,1,434.57086,25.03,1002
MCRS,MICROS SYSTEMS INC,0.106639839,2003,6,1,517.0788,29.82,1002
MCRS,MICROS SYSTEMS INC,0.0433333333,2003,7,1,572.22,33,1002
MCRS,MICROS SYSTEMS INC,0.0618646529,2003,8,1,597.0162,34.43,1002
MCRS,MICROS SYSTEMS INC,-0.072210066,2003,9,1,633.9504,36.56,1002
MCRS,MICROS SYSTEMS INC,0.1936910377,2003,10,1,613.13792,33.92,1002
MCRS,MICROS SYSTEMS INC,0.0684119536,2003,11,1,732.78802,40.49,1002
MCRS,MICROS SYSTEMS INC,0.0023116043,2003,12,1,784.9527,43.26,1002
MCRS,MICROS SYSTEMS INC,0.0345940959,2004,1,1,786.7672,43.36,1002
MCRS,MICROS SYSTEMS INC,-0.02719572,2004,2,1,813.9847,44.86,1002
MCRS,MICROS SYSTEMS INC,0.0352887259,2004,3,1,801.57952,43.64,1002
MCRS,MICROS SYSTEMS INC,-0.027888446,2004,4,1,829.86624,45.18,1002
MCRS,MICROS SYSTEMS INC,-0.009562842,2004,5,1,806.72256,43.92,1002
MCRS,MICROS SYSTEMS INC,0.1027586207,2004,6,1,805.4025,43.5,1002
MCRS,MICROS SYSTEMS INC,0.0135501355,2004,7,1,888.16455,47.97,1002
MCRS,MICROS SYSTEMS INC,-0.042780749,2004,8,1,900.1993,48.62,1002
MCRS,MICROS SYSTEMS INC,0.0758487323,2004,9,1,861.6881,46.54,1002
MCRS,MICROS SYSTEMS INC,0.1807469543,2004,10,1,920.23653,50.07,1002
MCRS,MICROS SYSTEMS INC,0.2410351827,2004,11,1,1091.23696,59.12,1002
MCRS,MICROS SYSTEMS INC,0.0639225842,2004,12,1,1358.0787,73.37,1002
MCRS,MICROS SYSTEMS INC,-0.104534973,2005,1,1,1444.8906,78.06,1002
MCRS,MICROS SYSTEMS INC,-0.072103004,2005,2,1,1318.6635,69.9,1002
MCRS,MICROS SYSTEMS INC,0.1319765649,2005,3,1,1223.5839,32.43,1002
MCRS,MICROS SYSTEMS INC,0.0800871697,2005,4,1,1385.0683,36.71,1002
MCRS,MICROS SYSTEMS INC,0.1344262295,2005,5,1,1495.9945,39.65,1002
MCRS,MICROS SYSTEMS INC,-0.005113384,2005,6,1,1710.63438,44.98,1002
