ticker,conm,ret,year,month,EW,VW,PW,n
MDA.2,MEDIA ARTS GROUP INC,0.4181818182,2000,1,1,44.48125,3.4375,4755
MDA.2,MEDIA ARTS GROUP INC,0.7179487179,2000,2,1,63.0825,4.875,4755
MDA.2,MEDIA ARTS GROUP INC,-0.149253731,2000,3,1,108.72425,8.375,4755
MDA.2,MEDIA ARTS GROUP INC,-0.307017544,2000,4,1,92.49675,7.125,4755
MDA.2,MEDIA ARTS GROUP INC,-0.215189873,2000,5,1,64.098625,4.9375,4755
MDA.2,MEDIA ARTS GROUP INC,0.0483870968,2000,6,1,50.30525,3.875,4755
MDA.2,MEDIA ARTS GROUP INC,-0.030769231,2000,7,1,52.739375,4.0625,4755
MDA.2,MEDIA ARTS GROUP INC,0.0158730159,2000,8,1,51.762375,3.9375,4755
MDA.2,MEDIA ARTS GROUP INC,-0.15625,2000,9,1,52.584,4,4755
MDA.2,MEDIA ARTS GROUP INC,0.4259259259,2000,10,1,44.36775,3.375,4755
MDA.2,MEDIA ARTS GROUP INC,-0.12987013,2000,11,1,63.265125,4.8125,4755
MDA.2,MEDIA ARTS GROUP INC,0.0298507463,2000,12,1,55.048875,4.1875,4755
MDA.2,MEDIA ARTS GROUP INC,0.1084057971,2001,1,1,56.7654375,4.3125,4755
MDA.2,MEDIA ARTS GROUP INC,0.0460251046,2001,2,1,62.91914,4.78,4755
MDA.2,MEDIA ARTS GROUP INC,-0.116,2001,3,1,65.955,5,4755
MDA.2,MEDIA ARTS GROUP INC,-0.208144796,2001,4,1,58.30422,4.42,4755
MDA.2,MEDIA ARTS GROUP INC,-0.077142857,2001,5,1,46.1685,3.5,4755
MDA.2,MEDIA ARTS GROUP INC,-0.222910217,2001,6,1,42.60693,3.23,4755
MDA.2,MEDIA ARTS GROUP INC,0.1553784861,2001,7,1,33.10941,2.51,4755
MDA.2,MEDIA ARTS GROUP INC,0.0517241379,2001,8,1,38.2452,2.9,4755
MDA.2,MEDIA ARTS GROUP INC,-0.340983607,2001,9,1,40.24475,3.05,4755
MDA.2,MEDIA ARTS GROUP INC,0.0199004975,2001,10,1,26.52195,2.01,4755
MDA.2,MEDIA ARTS GROUP INC,0.4146341463,2001,11,1,27.04975,2.05,4755
MDA.2,MEDIA ARTS GROUP INC,-0.093103448,2001,12,1,38.338,2.9,4755
MDA.2,MEDIA ARTS GROUP INC,0.1368821293,2002,1,1,34.7686,2.63,4755
MDA.2,MEDIA ARTS GROUP INC,0.0200668896,2002,2,1,39.52481,2.99,4755
MDA.2,MEDIA ARTS GROUP INC,0.0393442623,2002,3,1,40.31795,3.05,4755
MDA.2,MEDIA ARTS GROUP INC,-0.072555205,2002,4,1,41.90423,3.17,4755
MDA.2,MEDIA ARTS GROUP INC,0.4081632653,2002,5,1,39.78996,2.94,4755
MDA.2,MEDIA ARTS GROUP INC,0.0265700483,2002,6,1,54.72252,4.14,4755
MDA.2,MEDIA ARTS GROUP INC,-0.324705882,2002,7,1,56.202,4.25,4755
MDA.2,MEDIA ARTS GROUP INC,-0.292682927,2002,8,1,37.95288,2.87,4755
MDA.2,MEDIA ARTS GROUP INC,-0.083743842,2002,9,1,26.84472,2.03,4755
MDA.2,MEDIA ARTS GROUP INC,0.0752688172,2002,10,1,24.59664,1.86,4755
MDA.2,MEDIA ARTS GROUP INC,0.75,2002,11,1,26.448,2,4755
MDA.2,MEDIA ARTS GROUP INC,-0.265714286,2002,12,1,46.284,3.5,4755
MDA.2,MEDIA ARTS GROUP INC,0.1712062257,2003,1,1,33.98568,2.57,4755
MDA.2,MEDIA ARTS GROUP INC,-0.009966777,2003,2,1,39.80424,3.01,4755
MDA.2,MEDIA ARTS GROUP INC,-0.05033557,2003,3,1,39.40752,2.98,4755
MDA.2,MEDIA ARTS GROUP INC,-0.109540636,2003,4,1,37.42392,2.83,4755
MDA.2,MEDIA ARTS GROUP INC,-0.087301587,2003,5,1,33.327,2.52,4755
MDA.2,MEDIA ARTS GROUP INC,0.1173913043,2003,6,1,30.4175,2.3,4755
MDA.2,MEDIA ARTS GROUP INC,-0.093385214,2003,7,1,33.98825,2.57,4755
MDA.2,MEDIA ARTS GROUP INC,-0.077253219,2003,8,1,30.81425,2.33,4755
MDA.2,MEDIA ARTS GROUP INC,-0.013953488,2003,9,1,28.4359,2.15,4755
MDA.2,MEDIA ARTS GROUP INC,0.070754717,2003,10,1,28.03912,2.12,4755
MDA.2,MEDIA ARTS GROUP INC,0.7356828194,2003,11,1,30.02302,2.27,4755
MDA.2,MEDIA ARTS GROUP INC,-0.002538071,2003,12,1,52.11438,3.94,4755
MDA.2,MEDIA ARTS GROUP INC,0.0178117048,2004,1,1,51.98211,3.93,4755
MDA.2,MEDIA ARTS GROUP INC,0,2004,2,1,52.64346,3.98,4755
