ticker,conm,ret,year,month,EW,VW,PW,n
MNOV,MEDICINOVA INC,,2006,12,1,,,9110
MNOV,MEDICINOVA INC,-0.096385542,2007,1,1,136.99648,13.28,9110
MNOV,MEDICINOVA INC,0.0158333333,2007,2,1,135.792,12,9110
MNOV,MEDICINOVA INC,-0.11730927,2007,3,1,143.28126,12.19,9110
MNOV,MEDICINOVA INC,-0.093866171,2007,4,1,125.085,10.76,9110
MNOV,MEDICINOVA INC,-0.061538462,2007,5,1,113.34375,9.75,9110
MNOV,MEDICINOVA INC,-0.084153005,2007,6,1,106.36875,9.15,9110
MNOV,MEDICINOVA INC,-0.009546539,2007,7,1,97.4175,8.38,9110
MNOV,MEDICINOVA INC,-0.206024096,2007,8,1,96.28,8.3,9110
MNOV,MEDICINOVA INC,0.1987860395,2007,9,1,76.60875,6.59,9110
MNOV,MEDICINOVA INC,-0.278481013,2007,10,1,91.8375,7.9,9110
MNOV,MEDICINOVA INC,-0.201754386,2007,11,1,66.2625,5.7,9110
MNOV,MEDICINOVA INC,0.010989011,2007,12,1,54.35885,4.55,9110
MNOV,MEDICINOVA INC,-0.22173913,2008,1,1,54.9562,4.6,9110
MNOV,MEDICINOVA INC,0.0335195531,2008,2,1,42.77026,3.58,9110
MNOV,MEDICINOVA INC,-0.067567568,2008,3,1,44.2039,3.7,9110
MNOV,MEDICINOVA INC,0.1594202899,2008,4,1,41.21715,3.45,9110
MNOV,MEDICINOVA INC,0.0375,2008,5,1,47.848,4,9110
MNOV,MEDICINOVA INC,0.1325301205,2008,6,1,49.6423,4.15,9110
MNOV,MEDICINOVA INC,-0.193617021,2008,7,1,56.2214,4.7,9110
MNOV,MEDICINOVA INC,0.0468073879,2008,8,1,45.33598,3.79,9110
MNOV,MEDICINOVA INC,-0.42783687,2008,9,1,47.4580388,3.9674,9110
MNOV,MEDICINOVA INC,0.0220264317,2008,10,1,27.15374,2.27,9110
MNOV,MEDICINOVA INC,-0.25862069,2008,11,1,27.75184,2.32,9110
MNOV,MEDICINOVA INC,-0.075581395,2008,12,1,20.6142,1.72,9110
MNOV,MEDICINOVA INC,0.3837106918,2009,1,1,19.05615,1.59,9110
MNOV,MEDICINOVA INC,-0.02731694,2009,2,1,26.3681985,2.2001,9110
MNOV,MEDICINOVA INC,0.3925233645,2009,3,1,25.6479,2.14,9110
MNOV,MEDICINOVA INC,-0.10738255,2009,4,1,35.7153,2.98,9110
MNOV,MEDICINOVA INC,0.0714285714,2009,5,1,31.93596,2.66,9110
