ticker,conm,ret,year,month,EW,VW,PW,n
MNSB,MAINSTREET BANCSHARES INC,,2005,9,1,,,9268
MNSB,MAINSTREET BANCSHARES INC,-0.027272727,2005,10,1,,11,9268
MNSB,MAINSTREET BANCSHARES INC,0.0514018692,2005,11,1,,10.7,9268
MNSB,MAINSTREET BANCSHARES INC,-0.026666667,2005,12,1,,11.25,9268
MNSB,MAINSTREET BANCSHARES INC,0.00456621,2006,1,1,,10.95,9268
MNSB,MAINSTREET BANCSHARES INC,0,2006,2,1,,11,9268
MNSB,MAINSTREET BANCSHARES INC,0.0909090909,2006,3,1,,11,9268
MNSB,MAINSTREET BANCSHARES INC,0.0208333333,2006,4,1,,12,9268
MNSB,MAINSTREET BANCSHARES INC,-0.008163265,2006,5,1,,12.25,9268
MNSB,MAINSTREET BANCSHARES INC,-0.086419753,2006,6,1,,12.15,9268
MNSB,MAINSTREET BANCSHARES INC,-0.004504505,2006,7,1,,11.1,9268
MNSB,MAINSTREET BANCSHARES INC,0.0859728507,2006,8,1,,11.05,9268
MNSB,MAINSTREET BANCSHARES INC,0.0833333333,2006,9,1,,12,9268
MNSB,MAINSTREET BANCSHARES INC,0.0769230769,2006,10,1,,13,9268
MNSB,MAINSTREET BANCSHARES INC,-0.071428571,2006,11,1,,14,9268
MNSB,MAINSTREET BANCSHARES INC,0.0192307692,2006,12,1,31.473,13,9268
MNSB,MAINSTREET BANCSHARES INC,-0.026415094,2007,1,1,32.07825,13.25,9268
MNSB,MAINSTREET BANCSHARES INC,0.0465116279,2007,2,1,31.2309,12.9,9268
MNSB,MAINSTREET BANCSHARES INC,-0.055555556,2007,3,1,32.6835,13.5,9268
MNSB,MAINSTREET BANCSHARES INC,-0.070588235,2007,4,1,30.86775,12.75,9268
MNSB,MAINSTREET BANCSHARES INC,-0.037974684,2007,5,1,28.68885,11.85,9268
MNSB,MAINSTREET BANCSHARES INC,-0.074561404,2007,6,1,27.5994,11.4,9268
MNSB,MAINSTREET BANCSHARES INC,-0.028436019,2007,7,1,25.54155,10.55,9268
MNSB,MAINSTREET BANCSHARES INC,-0.03902439,2007,8,1,24.81525,10.25,9268
