ticker,conm,ret,year,month,EW,VW,PW,n
MNTX,MANITEX INTERNATIONAL INC,,2005,2,1,,,9023
MNTX,MANITEX INTERNATIONAL INC,0.0080645161,2005,3,1,27.9,6.2,9023
MNTX,MANITEX INTERNATIONAL INC,-0.016,2005,4,1,28.125,6.25,9023
MNTX,MANITEX INTERNATIONAL INC,0.0276422764,2005,5,1,27.675,6.15,9023
MNTX,MANITEX INTERNATIONAL INC,-0.047468354,2005,6,1,30.81,6.32,9023
MNTX,MANITEX INTERNATIONAL INC,0.1212624585,2005,7,1,29.3475,6.02,9023
MNTX,MANITEX INTERNATIONAL INC,0.0444444444,2005,8,1,32.90625,6.75,9023
MNTX,MANITEX INTERNATIONAL INC,-0.070921986,2005,9,1,34.36875,7.05,9023
MNTX,MANITEX INTERNATIONAL INC,-0.061068702,2005,10,1,31.93125,6.55,9023
MNTX,MANITEX INTERNATIONAL INC,-0.011382114,2005,11,1,29.98125,6.15,9023
MNTX,MANITEX INTERNATIONAL INC,-0.029605263,2005,12,1,29.64,6.08,9023
MNTX,MANITEX INTERNATIONAL INC,-0.228813559,2006,1,1,28.7625,5.9,9023
MNTX,MANITEX INTERNATIONAL INC,-0.057142857,2006,2,1,22.18125,4.55,9023
MNTX,MANITEX INTERNATIONAL INC,-0.032634033,2006,3,1,20.91375,4.29,9023
MNTX,MANITEX INTERNATIONAL INC,-0.175903614,2006,4,1,20.23125,4.15,9023
MNTX,MANITEX INTERNATIONAL INC,0.2865497076,2006,5,1,16.6725,3.42,9023
MNTX,MANITEX INTERNATIONAL INC,-0.113636364,2006,6,1,21.45,4.4,9023
MNTX,MANITEX INTERNATIONAL INC,-0.08974359,2006,7,1,19.0125,3.9,9023
MNTX,MANITEX INTERNATIONAL INC,0.1295774648,2006,8,1,17.30625,3.55,9023
MNTX,MANITEX INTERNATIONAL INC,-0.02244389,2006,9,1,20.4911,4.01,9023
MNTX,MANITEX INTERNATIONAL INC,0.0204081633,2006,10,1,20.0312,3.92,9023
MNTX,MANITEX INTERNATIONAL INC,0.417525,2006,11,1,20.44,4,9023
MNTX,MANITEX INTERNATIONAL INC,-0.04410857,2006,12,1,28.974211,5.6701,9023
MNTX,MANITEX INTERNATIONAL INC,0.1125461255,2007,1,1,27.6962,5.42,9023
MNTX,MANITEX INTERNATIONAL INC,0.0348258706,2007,2,1,30.8133,6.03,9023
MNTX,MANITEX INTERNATIONAL INC,0.0625,2007,3,1,31.8864,6.24,9023
MNTX,MANITEX INTERNATIONAL INC,0.0467571644,2007,4,1,33.8793,6.63,9023
MNTX,MANITEX INTERNATIONAL INC,0.1714697406,2007,5,1,54.5484,6.94,9023
MNTX,MANITEX INTERNATIONAL INC,-0.023370234,2007,6,1,63.9018,8.13,9023
MNTX,MANITEX INTERNATIONAL INC,-0.118387909,2007,7,1,62.4084,7.94,9023
MNTX,MANITEX INTERNATIONAL INC,0.0071428571,2007,8,1,55.02,7,9023
MNTX,MANITEX INTERNATIONAL INC,0.0156028369,2007,9,1,58.5432,7.05,9023
MNTX,MANITEX INTERNATIONAL INC,-0.06424581,2007,10,1,70.19664,7.16,9023
MNTX,MANITEX INTERNATIONAL INC,-0.052238806,2007,11,1,65.7002,6.7,9023
MNTX,MANITEX INTERNATIONAL INC,-0.044094488,2007,12,1,62.2681,6.35,9023
MNTX,MANITEX INTERNATIONAL INC,-0.072487644,2008,1,1,59.52242,6.07,9023
MNTX,MANITEX INTERNATIONAL INC,-0.024866785,2008,2,1,55.20778,5.63,9023
MNTX,MANITEX INTERNATIONAL INC,-0.153005464,2008,3,1,53.83494,5.49,9023
MNTX,MANITEX INTERNATIONAL INC,-0.043010753,2008,4,1,45.61185,4.65,9023
MNTX,MANITEX INTERNATIONAL INC,0.2157303371,2008,5,1,43.65005,4.45,9023
MNTX,MANITEX INTERNATIONAL INC,-0.053604436,2008,6,1,53.06669,5.41,9023
MNTX,MANITEX INTERNATIONAL INC,-0.1015625,2008,7,1,50.22208,5.12,9023
MNTX,MANITEX INTERNATIONAL INC,-0.108695652,2008,8,1,45.1214,4.6,9023
MNTX,MANITEX INTERNATIONAL INC,-0.170731707,2008,9,1,41.0902,4.1,9023
MNTX,MANITEX INTERNATIONAL INC,-0.485294118,2008,10,1,34.0748,3.4,9023
MNTX,MANITEX INTERNATIONAL INC,-0.291428571,2008,11,1,17.5385,1.75,9023
MNTX,MANITEX INTERNATIONAL INC,-0.177419355,2008,12,1,13.11052,1.24,9023
MNTX,MANITEX INTERNATIONAL INC,0.0392156863,2009,1,1,10.78446,1.02,9023
MNTX,MANITEX INTERNATIONAL INC,-0.245283019,2009,2,1,11.20738,1.06,9023
MNTX,MANITEX INTERNATIONAL INC,0.175,2009,3,1,8.4584,0.8,9023
MNTX,MANITEX INTERNATIONAL INC,-0.127659574,2009,4,1,10.1849,0.94,9023
MNTX,MANITEX INTERNATIONAL INC,0.0487804878,2009,5,1,8.88552,0.82,9023
MNTX,MANITEX INTERNATIONAL INC,0,2009,6,1,9.31896,0.86,9023
MNTX,MANITEX INTERNATIONAL INC,0.6860465116,2009,7,1,9.31896,0.86,9023
MNTX,MANITEX INTERNATIONAL INC,0.3103448276,2009,8,1,15.7122,1.45,9023
MNTX,MANITEX INTERNATIONAL INC,0.2368421053,2009,9,1,21.1584,1.9,9023
MNTX,MANITEX INTERNATIONAL INC,-0.140425532,2009,10,1,26.1696,2.35,9023
MNTX,MANITEX INTERNATIONAL INC,-0.04950495,2009,11,1,22.49472,2.02,9023
MNTX,MANITEX INTERNATIONAL INC,0,2009,12,1,21.38112,1.92,9023
MNTX,MANITEX INTERNATIONAL INC,0.1875,2010,1,1,21.38112,1.92,9023
MNTX,MANITEX INTERNATIONAL INC,0.0175438596,2010,2,1,25.39008,2.28,9023
MNTX,MANITEX INTERNATIONAL INC,0.0344827586,2010,3,1,25.83552,2.32,9023
MNTX,MANITEX INTERNATIONAL INC,0.1208333333,2010,4,1,26.784,2.4,9023
MNTX,MANITEX INTERNATIONAL INC,-0.173234201,2010,5,1,30.58799,2.69,9023
MNTX,MANITEX INTERNATIONAL INC,-0.190647482,2010,6,1,25.289104,2.224,9023
MNTX,MANITEX INTERNATIONAL INC,0.1611111111,2010,7,1,20.4678,1.8,9023
MNTX,MANITEX INTERNATIONAL INC,0.0669856459,2010,8,1,23.76539,2.09,9023
MNTX,MANITEX INTERNATIONAL INC,0.0717488789,2010,9,1,25.35956,2.23,9023
MNTX,MANITEX INTERNATIONAL INC,0.0878661088,2010,10,1,27.17908,2.39,9023
MNTX,MANITEX INTERNATIONAL INC,0.3730384615,2010,11,1,29.5672,2.6,9023
MNTX,MANITEX INTERNATIONAL INC,0.0784615816,2010,12,1,40.5969028,3.5699,9023
MNTX,MANITEX INTERNATIONAL INC,0.4493506494,2011,1,1,43.7822,3.85,9023
MNTX,MANITEX INTERNATIONAL INC,-0.116487455,2011,2,1,63.45576,5.58,9023
MNTX,MANITEX INTERNATIONAL INC,0.1156186613,2011,3,1,56.06396,4.93,9023
MNTX,MANITEX INTERNATIONAL INC,0.0745454545,2011,4,1,62.6725,5.5,9023
MNTX,MANITEX INTERNATIONAL INC,-0.14213198,2011,5,1,67.34445,5.91,9023
MNTX,MANITEX INTERNATIONAL INC,0.0887573964,2011,6,1,57.8487,5.07,9023
MNTX,MANITEX INTERNATIONAL INC,-0.092391304,2011,7,1,62.9832,5.52,9023
