ticker,conm,ret,year,month,EW,VW,PW,n
MSBF.1,MSB FINANCIAL INC,-0.19047619,2000,1,1,13.23,10.5,4935
MSBF.1,MSB FINANCIAL INC,-0.048823529,2000,2,1,10.71,8.5,4935
MSBF.1,MSB FINANCIAL INC,-0.125,2000,3,1,10.128,8,4935
MSBF.1,MSB FINANCIAL INC,-0.035714286,2000,4,1,8.862,7,4935
MSBF.1,MSB FINANCIAL INC,-0.015185185,2000,5,1,8.5455,6.75,4935
MSBF.1,MSB FINANCIAL INC,0.1523809524,2000,6,1,8.308125,6.5625,4935
MSBF.1,MSB FINANCIAL INC,0.0909090909,2000,7,1,9.574125,7.5625,4935
MSBF.1,MSB FINANCIAL INC,0.1321212121,2000,8,1,10.4445,8.25,4935
MSBF.1,MSB FINANCIAL INC,-0.074324324,2000,9,1,11.7105,9.25,4935
MSBF.1,MSB FINANCIAL INC,-0.138686131,2000,10,1,10.6603125,8.5625,4935
MSBF.1,MSB FINANCIAL INC,0.0969491525,2000,11,1,9.181875,7.375,4935
MSBF.1,MSB FINANCIAL INC,0.046875,2000,12,1,9.96,8,4935
MSBF.1,MSB FINANCIAL INC,0.2089552239,2001,1,1,10.426875,8.375,4935
MSBF.1,MSB FINANCIAL INC,-0.052839506,2001,2,1,12.605625,10.125,4935
MSBF.1,MSB FINANCIAL INC,-0.046052632,2001,3,1,11.799,9.5,4935
MSBF.1,MSB FINANCIAL INC,-0.034482759,2001,4,1,11.255625,9.0625,4935
MSBF.1,MSB FINANCIAL INC,0.02,2001,5,1,10.8675,8.75,4935
MSBF.1,MSB FINANCIAL INC,0.0758776897,2001,6,1,10.98452,8.83,4935
MSBF.1,MSB FINANCIAL INC,0.1578947368,2001,7,1,11.818,9.5,4935
MSBF.1,MSB FINANCIAL INC,0.0768181818,2001,8,1,13.684,11,4935
MSBF.1,MSB FINANCIAL INC,-0.14893617,2001,9,1,14.617,11.75,4935
MSBF.1,MSB FINANCIAL INC,-0.025,2001,10,1,12.44,10,4935
MSBF.1,MSB FINANCIAL INC,0.0871794872,2001,11,1,12.13875,9.75,4935
MSBF.1,MSB FINANCIAL INC,0.019047619,2001,12,1,13.0725,10.5,4935
MSBF.1,MSB FINANCIAL INC,0.0514018692,2002,1,1,13.3215,10.7,4935
MSBF.1,MSB FINANCIAL INC,0.1422222222,2002,2,1,14.00625,11.25,4935
MSBF.1,MSB FINANCIAL INC,-0.035294118,2002,3,1,15.92475,12.75,4935
MSBF.1,MSB FINANCIAL INC,0.0276422764,2002,4,1,15.3627,12.3,4935
MSBF.1,MSB FINANCIAL INC,0.0212816456,2002,5,1,15.78736,12.64,4935
MSBF.1,MSB FINANCIAL INC,-0.007734979,2002,6,1,15.883559,12.799,4935
MSBF.1,MSB FINANCIAL INC,0.0471653543,2002,7,1,15.7607,12.7,4935
MSBF.1,MSB FINANCIAL INC,-0.070606813,2002,8,1,16.504059,13.299,4935
MSBF.1,MSB FINANCIAL INC,0.1297959184,2002,9,1,15.20225,12.25,4935
MSBF.1,MSB FINANCIAL INC,-0.026182432,2002,10,1,15.40384,11.84,4935
MSBF.1,MSB FINANCIAL INC,0.0355594102,2002,11,1,15.00053,11.53,4935
MSBF.1,MSB FINANCIAL INC,-0.014370245,2002,12,1,15.39083,11.83,4935
MSBF.1,MSB FINANCIAL INC,-0.056603774,2003,1,1,15.16966,11.66,4935
MSBF.1,MSB FINANCIAL INC,0.106,2003,2,1,14.311,11,4935
MSBF.1,MSB FINANCIAL INC,0.0455563854,2003,3,1,15.678351,12.051,4935
MSBF.1,MSB FINANCIAL INC,-0.03968254,2003,4,1,16.3926,12.6,4935
MSBF.1,MSB FINANCIAL INC,0.1252066116,2003,5,1,15.7421,12.1,4935
MSBF.1,MSB FINANCIAL INC,0.102962963,2003,6,1,17.5635,13.5,4935
MSBF.1,MSB FINANCIAL INC,0.0201477502,2003,7,1,19.37189,14.89,4935
MSBF.1,MSB FINANCIAL INC,0.0938117182,2003,8,1,19.76219,15.19,4935
MSBF.1,MSB FINANCIAL INC,0.1181818182,2003,9,1,21.4665,16.5,4935
MSBF.1,MSB FINANCIAL INC,0.0016260163,2003,10,1,24.11415,18.45,4935
MSBF.1,MSB FINANCIAL INC,0.0062229437,2003,11,1,24.15336,18.48,4935
MSBF.1,MSB FINANCIAL INC,0.0005411255,2003,12,1,24.15336,18.48,4935
MSBF.1,MSB FINANCIAL INC,-0.000540833,2004,1,1,24.16643,18.49,4935
MSBF.1,MSB FINANCIAL INC,-0.004329004,2004,2,1,24.15336,18.48,4935
MSBF.1,MSB FINANCIAL INC,0.0035326087,2004,3,1,24.0488,18.4,4935
MSBF.1,MSB FINANCIAL INC,0.016893733,2004,4,1,23.98345,18.35,4935
MSBF.1,MSB FINANCIAL INC,0,2004,5,1,24.38862,18.66,4935
