ticker,conm,ret,year,month,EW,VW,PW,n
NAO.3,HERMITAGE OFFSHORE SER - OLD,,2014,5,1,,,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,0.13488825,2014,6,1,,17.2528,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.04338735,2014,7,1,431.36237,19.13,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,0.0896174863,2014,8,1,412.6467,18.3,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.095946639,2014,9,1,456.67019,19.49,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.091940976,2014,10,1,412.85422,17.62,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.1525,2014,11,1,374.896,16,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.06331045,2014,12,1,307.18041,13.11,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.04723127,2015,1,1,287.73268,12.28,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.166222222,2015,2,1,263.59875,11.25,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.023454158,2015,3,1,219.78278,9.38,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,0.0294759825,2015,4,1,214.62796,9.16,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.015906681,2015,5,1,220.95433,9.43,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.1064764,2015,6,1,213.45641,9.11,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.124078624,2015,7,1,190.72834,8.14,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.008415147,2015,8,1,167.06303,7.13,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.130434783,2015,9,1,161.6739,6.9,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,0.03,2015,10,1,140.586,6,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.077943615,2015,11,1,141.28893,6.03,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.052158273,2015,12,1,126.3788,5.56,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.231499051,2016,1,1,119.7871,5.27,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,0.1925925926,2016,2,1,92.0565,4.05,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.048832272,2016,3,1,106.26231,4.71,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,0.2700892857,2016,4,1,101.07328,4.48,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.114235501,2016,5,1,128.37209,5.69,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.050403226,2016,6,1,102.93984,4.96,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.089171975,2016,7,1,97.75134,4.71,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.055944056,2016,8,1,89.03466,4.29,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.0625,2016,9,1,82.856,4,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.12,2016,10,1,77.6775,3.75,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.081818182,2016,11,1,68.2671,3.3,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.083333333,2016,12,1,62.061,3,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,0,2017,1,1,56.88925,2.75,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.581818182,2017,2,1,56.88925,2.75,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.026086957,2017,3,1,69.79005,1.15,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.136363636,2017,4,1,66.7557,1.1,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,0.1263157895,2017,5,1,57.65265,0.95,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,0.1904761905,2017,6,1,63.72135,1.05,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.04,2017,7,1,75.85875,1.25,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,0.025,2017,8,1,72.8244,1.2,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,0.1652892562,2017,9,1,73.43127,1.21,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.070921986,2017,10,1,85.56867,1.41,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.038167939,2017,11,1,79.49997,1.31,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.033064516,2017,12,1,76.86388,1.24,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,0.0175145955,2018,1,1,74.322413,1.199,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.016393443,2018,2,1,75.62414,1.22,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.06779661,2018,3,1,73.14466,1.18,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,0.0090909091,2018,4,1,68.1857,1.1,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,0.018018018,2018,5,1,68.80557,1.11,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,0.0267857143,2018,6,1,69.42544,1.12,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.043478261,2018,7,1,71.28505,1.15,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.136272727,2018,8,1,68.1857,1.1,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,0.0209451637,2018,9,1,58.8938487,0.9501,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.129072165,2018,10,1,60.12739,0.97,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.431818182,2018,11,1,52.3666176,0.8448,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.125,2018,12,1,29.75376,0.48,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.2,2019,1,1,30.97164,0.42,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.047619048,2019,2,1,24.77664,3.36,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.078125,2019,3,1,23.5968,3.2,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,0.0847457627,2019,4,1,21.7533,2.95,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,0,2019,5,1,,3.2,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.151234568,2019,6,1,,,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.069090909,2019,7,1,,,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.39453125,2019,8,1,,,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.258064516,2019,9,1,,,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.304347826,2019,10,1,,,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,0.9375,2019,11,1,,,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.343677419,2019,12,1,,,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,0.0321439104,2020,1,1,,,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.095238095,2020,2,1,,,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.326315789,2020,3,1,,,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.125,2020,4,1,,,10539
NAO.3,HERMITAGE OFFSHORE SER - OLD,-0.089285714,2020,5,1,,,10539
