ticker,conm,ret,year,month,EW,VW,PW,n
NDLS,NOODLES & CO,,2013,6,1,,,2638
NDLS,NOODLES & CO,0.1801360544,2013,7,1,819.63525,36.75,2638
NDLS,NOODLES & CO,0.0528014757,2013,8,1,967.28111,43.37,2638
NDLS,NOODLES & CO,-0.061322821,2013,9,1,1055.06562,45.66,2638
NDLS,NOODLES & CO,0.0216985534,2013,10,1,990.36602,42.86,2638
NDLS,NOODLES & CO,-0.072162594,2013,11,1,1011.85553,43.79,2638
NDLS,NOODLES & CO,-0.115924194,2013,12,1,941.88466,40.63,2638
NDLS,NOODLES & CO,0.0119710468,2014,1,1,830.43448,35.92,2638
NDLS,NOODLES & CO,0.0951856946,2014,2,1,840.37565,36.35,2638
NDLS,NOODLES & CO,-0.008540568,2014,3,1,920.36739,39.81,2638
NDLS,NOODLES & CO,-0.169242463,2014,4,1,1109.26488,39.47,2638
NDLS,NOODLES & CO,0.0140286673,2014,5,1,921.53016,32.79,2638
NDLS,NOODLES & CO,0.0342857143,2014,6,1,936.55275,33.25,2638
NDLS,NOODLES & CO,-0.182902006,2014,7,1,968.66313,34.39,2638
NDLS,NOODLES & CO,-0.303558719,2014,8,1,791.4927,28.1,2638
NDLS,NOODLES & CO,-0.019417476,2014,9,1,552.44153,19.57,2638
NDLS,NOODLES & CO,0.1896821261,2014,10,1,541.71451,19.19,2638
NDLS,NOODLES & CO,0.0722733246,2014,11,1,644.46807,22.83,2638
NDLS,NOODLES & CO,0.0763888889,2014,12,1,691.97616,24.48,2638
NDLS,NOODLES & CO,-0.024667932,2015,1,1,744.83545,26.35,2638
NDLS,NOODLES & CO,-0.290661479,2015,2,1,726.4619,25.7,2638
NDLS,NOODLES & CO,-0.043335162,2015,3,1,516.00015,18.23,2638
NDLS,NOODLES & CO,0.1479357798,2015,4,1,493.76128,17.44,2638
NDLS,NOODLES & CO,-0.274725275,2015,5,1,566.80624,20.02,2638
NDLS,NOODLES & CO,0.0055096419,2015,6,1,413.41344,14.52,2638
NDLS,NOODLES & CO,0.0602739726,2015,7,1,415.6912,14.6,2638
NDLS,NOODLES & CO,-0.22997416,2015,8,1,440.74656,15.48,2638
NDLS,NOODLES & CO,0.1879194631,2015,9,1,320.02816,11.92,2638
NDLS,NOODLES & CO,0.043079096,2015,10,1,380.16768,14.16,2638
NDLS,NOODLES & CO,-0.248476642,2015,11,1,396.54496,14.77,2638
NDLS,NOODLES & CO,-0.127027027,2015,12,1,290.6646,11.1,2638
NDLS,NOODLES & CO,0.2425180599,2016,1,1,253.74234,9.69,2638
NDLS,NOODLES & CO,0.0656146179,2016,2,1,315.27944,12.04,2638
NDLS,NOODLES & CO,-0.075604053,2016,3,1,335.96638,12.83,2638
NDLS,NOODLES & CO,-0.059865093,2016,4,1,310.80316,11.86,2638
NDLS,NOODLES & CO,-0.158744395,2016,5,1,292.1969,11.15,2638
NDLS,NOODLES & CO,0.0426439232,2016,6,1,246.37508,9.38,2638
NDLS,NOODLES & CO,-0.244376278,2016,7,1,256.88148,9.78,2638
NDLS,NOODLES & CO,-0.115020298,2016,8,1,194.10574,7.39,2638
NDLS,NOODLES & CO,-0.272171254,2016,9,1,172.1655,6.54,2638
NDLS,NOODLES & CO,-0.012605042,2016,10,1,125.307,4.76,2638
NDLS,NOODLES & CO,-0.106382979,2016,11,1,123.7275,4.7,2638
NDLS,NOODLES & CO,-0.023809524,2016,12,1,110.6364,4.2,2638
NDLS,NOODLES & CO,0.0731707317,2017,1,1,108.0022,4.1,2638
NDLS,NOODLES & CO,-0.136363636,2017,2,1,115.9048,4.4,2638
NDLS,NOODLES & CO,0.5131578947,2017,3,1,100.13,3.8,2638
NDLS,NOODLES & CO,0.0173913043,2017,4,1,151.51825,5.75,2638
NDLS,NOODLES & CO,-0.170940171,2017,5,1,154.15335,5.85,2638
NDLS,NOODLES & CO,-0.195876289,2017,6,1,191.8854,4.85,2638
NDLS,NOODLES & CO,-0.012820513,2017,7,1,154.2996,3.9,2638
NDLS,NOODLES & CO,0,2017,8,1,152.3214,3.85,2638
NDLS,NOODLES & CO,0.1428571429,2017,9,1,152.4138,3.85,2638
NDLS,NOODLES & CO,-0.011363636,2017,10,1,174.1872,4.4,2638
NDLS,NOODLES & CO,0.1609195402,2017,11,1,172.2078,4.35,2638
NDLS,NOODLES & CO,0.0396039604,2017,12,1,199.96485,5.05,2638
NDLS,NOODLES & CO,0.1238095238,2018,1,1,207.88425,5.25,2638
NDLS,NOODLES & CO,0.0508474576,2018,2,1,233.6223,5.9,2638
NDLS,NOODLES & CO,0.2177419355,2018,3,1,245.5014,6.2,2638
NDLS,NOODLES & CO,-0.039735099,2018,4,1,299.0253,7.55,2638
NDLS,NOODLES & CO,0.1931034483,2018,5,1,287.1435,7.25,2638
NDLS,NOODLES & CO,0.4219653179,2018,6,1,356.04265,8.65,2638
NDLS,NOODLES & CO,-0.150406504,2018,7,1,506.2803,12.3,2638
NDLS,NOODLES & CO,0.1770334928,2018,8,1,457.6891,10.45,2638
NDLS,NOODLES & CO,-0.016260163,2018,9,1,538.7154,12.3,2638
NDLS,NOODLES & CO,-0.220661157,2018,10,1,529.9558,12.1,2638
NDLS,NOODLES & CO,-0.161187699,2018,11,1,414.18446,9.43,2638
NDLS,NOODLES & CO,-0.11630847,2018,12,1,347.42302,7.91,2638
NDLS,NOODLES & CO,0.0300429185,2019,1,1,307.01478,6.99,2638
NDLS,NOODLES & CO,0.0888888889,2019,2,1,316.2384,7.2,2638
NDLS,NOODLES & CO,-0.132653061,2019,3,1,344.34848,7.84,2638
NDLS,NOODLES & CO,0.0514705882,2019,4,1,298.724,6.8,2638
NDLS,NOODLES & CO,0.0111888112,2019,5,1,314.12095,7.15,2638
NDLS,NOODLES & CO,0.0899031812,2019,6,1,317.73681,7.23,2638
NDLS,NOODLES & CO,-0.05964467,2019,7,1,346.30236,7.88,2638
NDLS,NOODLES & CO,-0.221322537,2019,8,1,325.64727,7.41,2638
NDLS,NOODLES & CO,-0.019064125,2019,9,1,254.52047,5.77,2638
NDLS,NOODLES & CO,-0.058303887,2019,10,1,249.66826,5.66,2638
NDLS,NOODLES & CO,0.181988743,2019,11,1,235.11163,5.33,2638
NDLS,NOODLES & CO,-0.120634921,2019,12,1,277.9686,6.3,2638
NDLS,NOODLES & CO,0.2888086643,2020,1,1,244.43588,5.54,2638
NDLS,NOODLES & CO,0.137254902,2020,2,1,315.03108,7.14,2638
NDLS,NOODLES & CO,-0.419950739,2020,3,1,358.36808,8.12,2638
NDLS,NOODLES & CO,0.3269639066,2020,4,1,207.87114,4.71,2638
NDLS,NOODLES & CO,-0.0624,2020,5,1,275.90625,6.25,2638
NDLS,NOODLES & CO,0.0324232082,2020,6,1,258.6897,5.86,2638
NDLS,NOODLES & CO,0.1487603306,2020,7,1,267.64595,6.05,2638
NDLS,NOODLES & CO,0.0949640288,2020,8,1,307.46105,6.95,2638
NDLS,NOODLES & CO,-0.097240473,2020,9,1,337.54155,7.61,2638
NDLS,NOODLES & CO,-0.059679767,2020,10,1,304.71885,6.87,2638
NDLS,NOODLES & CO,0.2306501548,2020,11,1,286.64312,6.46,2638
NDLS,NOODLES & CO,-0.006289308,2020,12,1,352.7574,7.95,2638
