ticker,conm,ret,year,month,EW,VW,PW,n
NMRD,NEMAURA MEDICAL INC,,2014,12,1,,,3272
NMRD,NEMAURA MEDICAL INC,-0.157894737,2015,1,1,950,4.75,3272
NMRD,NEMAURA MEDICAL INC,-0.74375,2015,2,1,800,4,3272
NMRD,NEMAURA MEDICAL INC,-0.024390244,2015,3,1,205,1.025,3272
NMRD,NEMAURA MEDICAL INC,0,2015,4,1,200,1,3272
NMRD,NEMAURA MEDICAL INC,0,2015,5,1,200,1,3272
NMRD,NEMAURA MEDICAL INC,0.1,2015,6,1,200,1,3272
NMRD,NEMAURA MEDICAL INC,0,2015,7,1,220,1.1,3272
NMRD,NEMAURA MEDICAL INC,-0.181818182,2015,8,1,220,1.1,3272
NMRD,NEMAURA MEDICAL INC,1.2222222222,2015,9,1,180,0.9,3272
NMRD,NEMAURA MEDICAL INC,0,2015,10,1,400,2,3272
NMRD,NEMAURA MEDICAL INC,-0.5,2015,11,1,400,2,3272
NMRD,NEMAURA MEDICAL INC,0.75,2015,12,1,200,1,3272
NMRD,NEMAURA MEDICAL INC,0,2016,1,1,350,1.75,3272
NMRD,NEMAURA MEDICAL INC,0,2016,2,1,350,1.75,3272
NMRD,NEMAURA MEDICAL INC,0.0285714286,2016,3,1,358.75,1.75,3272
NMRD,NEMAURA MEDICAL INC,-0.166666667,2016,4,1,369,1.8,3272
NMRD,NEMAURA MEDICAL INC,0,2016,5,1,307.5,1.5,3272
NMRD,NEMAURA MEDICAL INC,0.3,2016,6,1,307.5,1.5,3272
NMRD,NEMAURA MEDICAL INC,-0.025641026,2016,7,1,399.75,1.95,3272
NMRD,NEMAURA MEDICAL INC,0,2016,8,1,389.5,1.9,3272
NMRD,NEMAURA MEDICAL INC,0,2016,9,1,389.5,1.9,3272
NMRD,NEMAURA MEDICAL INC,-0.047368421,2016,10,1,389.5,1.9,3272
NMRD,NEMAURA MEDICAL INC,-0.171270718,2016,11,1,371.05,1.81,3272
NMRD,NEMAURA MEDICAL INC,0,2016,12,1,307.5,1.5,3272
NMRD,NEMAURA MEDICAL INC,0,2017,1,1,307.5,1.5,3272
NMRD,NEMAURA MEDICAL INC,-0.066666667,2017,2,1,307.5,1.5,3272
NMRD,NEMAURA MEDICAL INC,0.7857142857,2017,3,1,287,1.4,3272
NMRD,NEMAURA MEDICAL INC,0.2,2017,4,1,512.5,2.5,3272
NMRD,NEMAURA MEDICAL INC,1.4,2017,5,1,615,3,3272
NMRD,NEMAURA MEDICAL INC,-0.243055556,2017,6,1,1476,7.2,3272
NMRD,NEMAURA MEDICAL INC,0.1926605505,2017,7,1,1117.25,5.45,3272
NMRD,NEMAURA MEDICAL INC,-0.179292308,2017,8,1,1332.5,6.5,3272
NMRD,NEMAURA MEDICAL INC,-0.140516627,2017,9,1,1093.593,5.3346,3272
NMRD,NEMAURA MEDICAL INC,0.0359869138,2017,10,1,939.925,4.585,3272
NMRD,NEMAURA MEDICAL INC,0.0526315789,2017,11,1,973.75,4.75,3272
NMRD,NEMAURA MEDICAL INC,0.02,2017,12,1,338.38,5,3272
NMRD,NEMAURA MEDICAL INC,0.1039215686,2018,1,1,345.1476,5.1,3272
NMRD,NEMAURA MEDICAL INC,-0.085257549,2018,2,1,381.01588,5.63,3272
NMRD,NEMAURA MEDICAL INC,-0.116504854,2018,3,1,348.5314,5.15,3272
NMRD,NEMAURA MEDICAL INC,-0.274725275,2018,4,1,307.9258,4.55,3272
NMRD,NEMAURA MEDICAL INC,-0.151515152,2018,5,1,223.3308,3.3,3272
NMRD,NEMAURA MEDICAL INC,0,2018,6,1,189.4928,2.8,3272
NMRD,NEMAURA MEDICAL INC,-0.175,2018,7,1,574,2.8,3272
NMRD,NEMAURA MEDICAL INC,-0.097402597,2018,8,1,473.55,2.31,3272
NMRD,NEMAURA MEDICAL INC,0.1414868106,2018,9,1,427.425,2.085,3272
NMRD,NEMAURA MEDICAL INC,-0.180672269,2018,10,1,487.9,2.38,3272
NMRD,NEMAURA MEDICAL INC,-0.025641026,2018,11,1,399.8475,1.95,3272
NMRD,NEMAURA MEDICAL INC,-0.526315789,2018,12,1,389.6596,1.9,3272
NMRD,NEMAURA MEDICAL INC,0.1666666667,2019,1,1,186.9588,0.9,3272
NMRD,NEMAURA MEDICAL INC,0.108952381,2019,2,1,218.1186,1.05,3272
NMRD,NEMAURA MEDICAL INC,-0.115424253,2019,3,1,241.659576,1.1644,3272
NMRD,NEMAURA MEDICAL INC,-0.06776699,2019,4,1,213.87744,1.03,3272
NMRD,NEMAURA MEDICAL INC,-0.062695272,2019,5,1,199.3912912,0.9602,3272
NMRD,NEMAURA MEDICAL INC,0.1111111111,2019,6,1,186.8904,0.9,3272
NMRD,NEMAURA MEDICAL INC,-0.1659,2019,7,1,207.989,1,3272
NMRD,NEMAURA MEDICAL INC,-0.064860328,2019,8,1,173.4836249,0.8341,3272
NMRD,NEMAURA MEDICAL INC,-0.064102564,2019,9,1,162.25326,0.78,3272
NMRD,NEMAURA MEDICAL INC,0.0223287671,2019,10,1,151.85241,0.73,3272
NMRD,NEMAURA MEDICAL INC,-0.236232078,2019,11,1,155.2430871,0.7463,3272
NMRD,NEMAURA MEDICAL INC,-0.385964912,2019,12,1,118.60503,0.57,3272
NMRD,NEMAURA MEDICAL INC,-0.091428571,2020,1,1,72.828,3.5,3272
NMRD,NEMAURA MEDICAL INC,0.713836478,2020,2,1,66.16944,3.18,3272
NMRD,NEMAURA MEDICAL INC,0.0752293578,2020,3,1,113.4036,5.45,3272
NMRD,NEMAURA MEDICAL INC,-0.150170648,2020,4,1,121.93488,5.86,3272
NMRD,NEMAURA MEDICAL INC,0.4658634538,2020,5,1,103.62384,4.98,3272
NMRD,NEMAURA MEDICAL INC,0.2671232877,2020,6,1,151.8984,7.3,3272
NMRD,NEMAURA MEDICAL INC,-0.314594595,2020,7,1,192.474,9.25,3272
NMRD,NEMAURA MEDICAL INC,-0.410094637,2020,8,1,145.09724,6.34,3272
NMRD,NEMAURA MEDICAL INC,-0.050802139,2020,9,1,85.62356,3.74,3272
NMRD,NEMAURA MEDICAL INC,0,2020,10,1,81.2737,3.55,3272
NMRD,NEMAURA MEDICAL INC,0.1549295775,2020,11,1,81.2737,3.55,3272
NMRD,NEMAURA MEDICAL INC,-0.080487805,2020,12,1,93.9269,4.1,3272
