ticker,conm,ret,year,month,EW,VW,PW,n
NPA,NEW PROVIDENCE ACQ CORP,,2019,11,1,,,5605
NPA,NEW PROVIDENCE ACQ CORP,0.0052554388,2019,12,1,225.8232,9.8184,5605
NPA,NEW PROVIDENCE ACQ CORP,0.0131712259,2020,1,1,227.01,9.87,5605
NPA,NEW PROVIDENCE ACQ CORP,-0.002,2020,2,1,230,10,5605
NPA,NEW PROVIDENCE ACQ CORP,-0.021042084,2020,3,1,229.54,9.98,5605
NPA,NEW PROVIDENCE ACQ CORP,0.011258956,2020,4,1,224.71,9.77,5605
NPA,NEW PROVIDENCE ACQ CORP,-0.001012146,2020,5,1,227.24,9.88,5605
NPA,NEW PROVIDENCE ACQ CORP,0.0212765957,2020,6,1,227.01,9.87,5605
NPA,NEW PROVIDENCE ACQ CORP,0.0099206349,2020,7,1,231.84,10.08,5605
NPA,NEW PROVIDENCE ACQ CORP,-0.007858546,2020,8,1,234.14,10.18,5605
NPA,NEW PROVIDENCE ACQ CORP,-0.002970297,2020,9,1,232.3,10.1,5605
NPA,NEW PROVIDENCE ACQ CORP,-0.001986097,2020,10,1,231.61,10.07,5605
NPA,NEW PROVIDENCE ACQ CORP,0.0074626866,2020,11,1,231.15,10.05,5605
NPA,NEW PROVIDENCE ACQ CORP,0.3412345679,2020,12,1,232.875,10.125,5605
