ticker,conm,ret,year,month,EW,VW,PW,n
NREF,NEXPOINT REAL EST FIN,,2020,2,1,,,5692
NREF,NEXPOINT REAL EST FIN,-0.470788204,2020,3,1,93.25,18.65,5692
NREF,NEXPOINT REAL EST FIN,0.1875647668,2020,4,1,48.25,9.65,5692
NREF,NEXPOINT REAL EST FIN,0.42495637,2020,5,1,57.3,11.46,5692
NREF,NEXPOINT REAL EST FIN,0.0502143295,2020,6,1,85.94479,16.33,5692
NREF,NEXPOINT REAL EST FIN,-0.050746269,2020,7,1,88.15525,16.75,5692
NREF,NEXPOINT REAL EST FIN,-0.033333333,2020,8,1,83.6817,15.9,5692
NREF,NEXPOINT REAL EST FIN,-0.018867925,2020,9,1,80.89231,15.37,5692
NREF,NEXPOINT REAL EST FIN,-0.066076294,2020,10,1,77.26084,14.68,5692
NREF,NEXPOINT REAL EST FIN,0.2027716995,2020,11,1,72.15573,13.71,5692
NREF,NEXPOINT REAL EST FIN,0.0260764099,2020,12,1,84.31337,16.49,5692
