ticker,conm,ret,year,month,EW,VW,PW,n
NVRO,NEVRO CORP,,2014,11,1,,,3250
NVRO,NEVRO CORP,0.4327528714,2014,12,1,635.42557,26.99,3250
NVRO,NEVRO CORP,0.1781742953,2015,1,1,960.75615,38.67,3250
NVRO,NEVRO CORP,-0.081870061,2015,2,1,1131.9382,45.56,3250
NVRO,NEVRO CORP,0.1458283529,2015,3,1,1039.26635,41.83,3250
NVRO,NEVRO CORP,-0.060713541,2015,4,1,1192.25875,47.93,3250
NVRO,NEVRO CORP,0.1290537539,2015,5,1,1120.86294,45.02,3250
NVRO,NEVRO CORP,0.0574463899,2015,6,1,1265.56534,50.83,3250
NVRO,NEVRO CORP,-0.05544186,2015,7,1,1433.02875,53.75,3250
NVRO,NEVRO CORP,-0.113058893,2015,8,1,1353.57897,50.77,3250
NVRO,NEVRO CORP,0.0302020875,2015,9,1,1255.66155,45.03,3250
NVRO,NEVRO CORP,-0.121146799,2015,10,1,1293.58515,46.39,3250
NVRO,NEVRO CORP,0.4809909247,2015,11,1,1136.87145,40.77,3250
NVRO,NEVRO CORP,0.1180854588,2015,12,1,1686.83606,60.38,3250
NVRO,NEVRO CORP,-0.084728188,2016,1,1,1886.02687,67.51,3250
NVRO,NEVRO CORP,-0.067810325,2016,2,1,1726.22723,61.79,3250
NVRO,NEVRO CORP,-0.023263889,2016,3,1,1609.1712,57.6,3250
NVRO,NEVRO CORP,0.1953430501,2016,4,1,1585.51932,56.26,3250
NVRO,NEVRO CORP,0.0367286245,2016,5,1,1903.10775,67.25,3250
NVRO,NEVRO CORP,0.05794607,2016,6,1,1974.60984,69.72,3250
NVRO,NEVRO CORP,0.1212039046,2016,7,1,2089.03072,73.76,3250
NVRO,NEVRO CORP,0.1418379686,2016,8,1,2342.2294,82.7,3250
NVRO,NEVRO CORP,0.105474955,2016,9,1,2691.44386,94.43,3250
NVRO,NEVRO CORP,-0.119455887,2016,10,1,2975.32378,104.39,3250
NVRO,NEVRO CORP,-0.172867711,2016,11,1,2619.90384,91.92,3250
NVRO,NEVRO CORP,-0.044324609,2016,12,1,2187.00295,76.03,3250
NVRO,NEVRO CORP,0.1976328103,2017,1,1,2090.0649,72.66,3250
