ticker,conm,ret,year,month,EW,VW,PW,n
NXE,NEXGEN ENERGY LTD,,2013,8,1,,,2604
NXE,NEXGEN ENERGY LTD,-0.311471861,2013,9,1,,0.462,2604
NXE,NEXGEN ENERGY LTD,-0.008487897,2013,10,1,,0.3181,2604
NXE,NEXGEN ENERGY LTD,-0.175649968,2013,11,1,26.159276,0.3154,2604
NXE,NEXGEN ENERGY LTD,0.0846153846,2013,12,1,,0.26,2604
NXE,NEXGEN ENERGY LTD,-0.159574468,2014,1,1,,0.282,2604
NXE,NEXGEN ENERGY LTD,0.9324894515,2014,2,1,19.65678,0.237,2604
NXE,NEXGEN ENERGY LTD,-0.174672489,2014,3,1,40.60399,0.458,2604
NXE,NEXGEN ENERGY LTD,-0.223280423,2014,4,1,,0.378,2604
NXE,NEXGEN ENERGY LTD,-0.073569482,2014,5,1,40.35532,0.2936,2604
NXE,NEXGEN ENERGY LTD,0.2205882353,2014,6,1,37.484864,0.272,2604
NXE,NEXGEN ENERGY LTD,-0.157831325,2014,7,1,,0.332,2604
NXE,NEXGEN ENERGY LTD,0.6988555079,2014,8,1,38.5322352,0.2796,2604
NXE,NEXGEN ENERGY LTD,-0.269894737,2014,9,1,65.4607,0.475,2604
NXE,NEXGEN ENERGY LTD,-0.189734717,2014,10,1,,0.3468,2604
NXE,NEXGEN ENERGY LTD,0.3167259786,2014,11,1,,0.281,2604
NXE,NEXGEN ENERGY LTD,-0.189189189,2014,12,1,,0.37,2604
NXE,NEXGEN ENERGY LTD,-0.075333333,2015,1,1,,0.3,2604
NXE,NEXGEN ENERGY LTD,0.236481615,2015,2,1,38.3316868,0.2774,2604
NXE,NEXGEN ENERGY LTD,0.2116618076,2015,3,1,,0.343,2604
NXE,NEXGEN ENERGY LTD,0.0875842156,2015,4,1,67.8998968,0.4156,2604
NXE,NEXGEN ENERGY LTD,-0.055309735,2015,5,1,74.110372,0.452,2604
NXE,NEXGEN ENERGY LTD,0.4871194379,2015,6,1,70.212037,0.427,2604
NXE,NEXGEN ENERGY LTD,-0.138582677,2015,7,1,139.085955,0.635,2604
NXE,NEXGEN ENERGY LTD,-0.095246801,2015,8,1,120.798386,0.547,2604
NXE,NEXGEN ENERGY LTD,-0.057183269,2015,9,1,109.3214304,0.4949,2604
NXE,NEXGEN ENERGY LTD,0.1560222889,2015,10,1,103.3033736,0.4666,2604
NXE,NEXGEN ENERGY LTD,-0.106970708,2015,11,1,119.4210024,0.5394,2604
NXE,NEXGEN ENERGY LTD,0.0545982977,2015,12,1,106.6464532,0.4817,2604
NXE,NEXGEN ENERGY LTD,0.0996062992,2016,1,1,129.188972,0.508,2604
NXE,NEXGEN ENERGY LTD,0.2531328321,2016,2,1,142.593822,0.5586,2604
NXE,NEXGEN ENERGY LTD,0.922,2016,3,1,179.3092,0.7,2604
NXE,NEXGEN ENERGY LTD,0.3155938754,2016,4,1,355.9282608,1.3454,2604
NXE,NEXGEN ENERGY LTD,0.0311864407,2016,5,1,476.83092,1.77,2604
NXE,NEXGEN ENERGY LTD,0.1286434363,2016,6,1,491.7472092,1.8252,2604
NXE,NEXGEN ENERGY LTD,-0.133883495,2016,7,1,557.12906,2.06,2604
NXE,NEXGEN ENERGY LTD,-0.03037776,2016,8,1,541.0193976,1.7842,2604
NXE,NEXGEN ENERGY LTD,-0.121907514,2016,9,1,524.88719,1.73,2604
NXE,NEXGEN ENERGY LTD,-0.206306366,2016,10,1,461.6590473,1.5191,2604
NXE,NEXGEN ENERGY LTD,0.1751679522,2016,11,1,366.4158471,1.2057,2604
NXE,NEXGEN ENERGY LTD,0.2146234738,2016,12,1,430.8835407,1.4169,2604
NXE,NEXGEN ENERGY LTD,0.5979081929,2017,1,1,526.95299,1.721,2604
NXE,NEXGEN ENERGY LTD,0.0451272727,2017,2,1,842.0225,2.75,2604
NXE,NEXGEN ENERGY LTD,-0.182457117,2017,3,1,880.6213659,2.8741,2604
NXE,NEXGEN ENERGY LTD,-0.072221986,2017,4,1,720.0632153,2.3497,2604
NXE,NEXGEN ENERGY LTD,0.0412844037,2017,5,1,668.27682,2.18,2604
NXE,NEXGEN ENERGY LTD,-0.035242291,2017,6,1,695.86623,2.27,2604
NXE,NEXGEN ENERGY LTD,0.1552511416,2017,7,1,672.18108,2.19,2604
NXE,NEXGEN ENERGY LTD,-0.079051383,2017,8,1,776.53796,2.53,2604
NXE,NEXGEN ENERGY LTD,-0.0472103,2017,9,1,788.41608,2.33,2604
NXE,NEXGEN ENERGY LTD,-0.153153153,2017,10,1,751.19472,2.22,2604
NXE,NEXGEN ENERGY LTD,0.2712765957,2017,11,1,636.14688,1.88,2604
NXE,NEXGEN ENERGY LTD,0.0711297071,2017,12,1,809.29463,2.39,2604
NXE,NEXGEN ENERGY LTD,-0.1015625,2018,1,1,866.85952,2.56,2604
NXE,NEXGEN ENERGY LTD,-0.095652174,2018,2,1,778.8191,2.3,2604
NXE,NEXGEN ENERGY LTD,-0.182692308,2018,3,1,704.32336,2.08,2604
NXE,NEXGEN ENERGY LTD,0.1941176471,2018,4,1,583.6491,1.7,2604
NXE,NEXGEN ENERGY LTD,-0.068965517,2018,5,1,696.94569,2.03,2604
NXE,NEXGEN ENERGY LTD,-0.015873016,2018,6,1,648.93717,1.89,2604
NXE,NEXGEN ENERGY LTD,0.0725806452,2018,7,1,638.63658,1.86,2604
NXE,NEXGEN ENERGY LTD,-0.027568922,2018,8,1,684.989235,1.995,2604
NXE,NEXGEN ENERGY LTD,0.0567010309,2018,9,1,666.10482,1.94,2604
NXE,NEXGEN ENERGY LTD,0.0048780488,2018,10,1,711.2844,2.05,2604
NXE,NEXGEN ENERGY LTD,0.0339805825,2018,11,1,714.75408,2.06,2604
NXE,NEXGEN ENERGY LTD,-0.164319249,2018,12,1,739.04184,2.13,2604
NXE,NEXGEN ENERGY LTD,-0.033707865,2019,1,1,617.60304,1.78,2604
NXE,NEXGEN ENERGY LTD,-0.046511628,2019,2,1,596.78496,1.72,2604
NXE,NEXGEN ENERGY LTD,-0.012195122,2019,3,1,569.02752,1.64,2604
NXE,NEXGEN ENERGY LTD,-0.024691358,2019,4,1,569.9889,1.62,2604
NXE,NEXGEN ENERGY LTD,-0.037974684,2019,5,1,555.9151,1.58,2604
NXE,NEXGEN ENERGY LTD,0.0328947368,2019,6,1,534.8044,1.52,2604
NXE,NEXGEN ENERGY LTD,-0.076433121,2019,7,1,552.39665,1.57,2604
NXE,NEXGEN ENERGY LTD,-0.096551724,2019,8,1,510.17525,1.45,2604
NXE,NEXGEN ENERGY LTD,-0.007633588,2019,9,1,466.04822,1.31,2604
NXE,NEXGEN ENERGY LTD,-0.007692308,2019,10,1,462.4906,1.3,2604
NXE,NEXGEN ENERGY LTD,0.007751938,2019,11,1,458.99748,1.29,2604
NXE,NEXGEN ENERGY LTD,-0.015384615,2019,12,1,462.5556,1.3,2604
NXE,NEXGEN ENERGY LTD,-0.15234375,2020,1,1,455.43936,1.28,2604
NXE,NEXGEN ENERGY LTD,-0.14875576,2020,2,1,386.05602,1.085,2604
NXE,NEXGEN ENERGY LTD,-0.212321351,2020,3,1,328.6279632,0.9236,2604
NXE,NEXGEN ENERGY LTD,0.8144329897,2020,4,1,262.0826025,0.7275,2604
NXE,NEXGEN ENERGY LTD,0.0606060606,2020,5,1,475.53132,1.32,2604
NXE,NEXGEN ENERGY LTD,-0.078571429,2020,6,1,504.8414,1.4,2604
NXE,NEXGEN ENERGY LTD,0.3875968992,2020,7,1,465.17529,1.29,2604
NXE,NEXGEN ENERGY LTD,0.1033519553,2020,8,1,645.47579,1.79,2604
NXE,NEXGEN ENERGY LTD,-0.124050633,2020,9,1,744.11285,1.975,2604
NXE,NEXGEN ENERGY LTD,-0.034682081,2020,10,1,651.80518,1.73,2604
NXE,NEXGEN ENERGY LTD,0.0718562874,2020,11,1,629.19922,1.67,2604
NXE,NEXGEN ENERGY LTD,0.5418994413,2020,12,1,674.73871,1.79,2604
