ticker,conm,ret,year,month,EW,VW,PW,n
OBLG,OBLONG INC,,2019,10,1,,,5677
OBLG,OBLONG INC,0.1018518519,2019,11,1,5.5512,1.08,5677
OBLG,OBLONG INC,0.1680672269,2019,12,1,6.11779,1.19,5677
OBLG,OBLONG INC,0.0791366906,2020,1,1,7.14599,1.39,5677
OBLG,OBLONG INC,0.0666666667,2020,2,1,7.7115,1.5,5677
OBLG,OBLONG INC,-0.246875,2020,3,1,8.2256,1.6,5677
OBLG,OBLONG INC,-0.182074689,2020,4,1,6.194905,1.205,5677
OBLG,OBLONG INC,0.0653409091,2020,5,1,5.0669696,0.9856,5677
OBLG,OBLONG INC,0.418952381,2020,6,1,5.4726,1.05,5677
OBLG,OBLONG INC,1.2216256125,2020,7,1,7.7653588,1.4899,5677
OBLG,OBLONG INC,-0.332326284,2020,8,1,17.30137,3.31,5677
OBLG,OBLONG INC,0.0407239819,2020,9,1,11.55167,2.21,5677
OBLG,OBLONG INC,0.4782608696,2020,10,1,12.0221,2.3,5677
OBLG,OBLONG INC,1.7941176471,2020,11,1,21.318,3.4,5677
OBLG,OBLONG INC,-0.458947368,2020,12,1,60.401,9.5,5677
