ticker,conm,ret,year,month,EW,VW,PW,n
OCSI,OAKTREE STRATEGIC INCOME CP,,2013,7,1,,,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.014799154,2013,8,1,94.60473,14.19,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.031473534,2013,9,1,93.20466,13.98,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0147710487,2013,10,1,90.27118,13.54,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.031318281,2013,11,1,91.53791,13.73,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0105263158,2013,12,1,88.6711,13.3,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0377643505,2014,1,1,88.27108,13.24,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0327510917,2014,2,1,91.60458,13.74,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0295983087,2014,3,1,94.60473,14.19,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.009735744,2014,4,1,95.87146,14.38,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0337078652,2014,5,1,94.93808,14.24,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.028532609,2014,6,1,98.13824,14.72,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.012116892,2014,7,1,93.53801,14.03,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.10966811,2014,8,1,92.40462,13.86,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.017828201,2014,9,1,363.62278,12.34,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.076142132,2014,10,1,348.29994,11.82,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0137362637,2014,11,1,321.77964,10.92,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.04968383,2014,12,1,326.19969,11.07,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0097847358,2015,1,1,301.15274,10.22,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0658914729,2015,2,1,304.09944,10.32,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.006363636,2015,3,1,324.137,11,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0263405456,2015,4,1,313.23421,10.63,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.068455134,2015,5,1,318.53827,10.81,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.065195587,2015,6,1,293.78599,9.97,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0043383948,2015,7,1,271.68574,9.22,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.034934498,2015,8,1,269.91772,9.16,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.003959276,2015,9,1,260.48828,8.84,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.012027491,2015,10,1,257.24691,8.73,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0450292398,2015,11,1,251.94285,8.55,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.015801354,2015,12,1,261.07762,8.86,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.121353559,2016,1,1,252.53219,8.57,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0258964143,2016,2,1,221.88651,7.53,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0464052288,2016,3,1,225.42255,7.65,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0044136192,2016,4,1,233.67331,7.93,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0031685678,2016,5,1,232.49463,7.89,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.024872449,2016,6,1,231.02128,7.84,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0646984925,2016,7,1,234.55732,7.96,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0732142857,2016,8,1,247.5228,8.4,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.034116331,2016,9,1,263.43498,8.94,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0122663551,2016,10,1,252.23752,8.56,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0785797439,2016,11,1,253.12153,8.59,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.044069641,2016,12,1,270.80173,9.19,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.1773823192,2017,1,1,256.65757,8.71,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.128192534,2017,2,1,299.97406,10.18,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0068181818,2017,3,1,259.3096,8.8,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.075963719,2017,4,1,259.89894,8.82,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.046625767,2017,5,1,240.15605,8.15,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0733590734,2017,6,1,228.95859,7.77,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0355828221,2017,7,1,240.15605,8.15,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0462085308,2017,8,1,248.70148,8.44,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0181200453,2017,9,1,260.19361,8.83,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0181818182,2017,10,1,259.3096,8.8,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.0625,2017,11,1,264.02432,8.96,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0226190476,2017,12,1,247.5228,8.4,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.028571429,2018,1,1,247.5228,8.4,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.046568627,2018,2,1,240.45072,8.16,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0321336761,2018,3,1,229.25326,7.78,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0456273764,2018,4,1,232.49463,7.89,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0133333333,2018,5,1,243.10275,8.25,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0340909091,2018,6,1,246.34412,8.36,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0,2018,7,1,250.4695,8.5,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0117647059,2018,8,1,250.4695,8.5,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0238372093,2018,9,1,253.4162,8.6,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.060115607,2018,10,1,254.88955,8.65,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.0479704797,2018,11,1,239.56671,8.13,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.072183099,2018,12,1,251.05884,8.52,2690
OCSI,OAKTREE STRATEGIC INCOME CP,0.104516129,2019,1,1,228.36925,7.75,2690
OCSI,OAKTREE STRATEGIC INCOME CP,-0.02453271,2019,2,1,252.23752,8.56,2690
