ticker,conm,ret,year,month,EW,VW,PW,n
OLBK,OLD LINE BANCSHARES INC,0,2000,1,1,,5.25,7219
OLBK,OLD LINE BANCSHARES INC,0,2000,2,1,,5.25,7219
OLBK,OLD LINE BANCSHARES INC,0.075047619,2000,3,1,,5.25,7219
OLBK,OLD LINE BANCSHARES INC,-0.069808646,2000,4,1,,5.644,7219
OLBK,OLD LINE BANCSHARES INC,0,2000,5,1,,5.25,7219
OLBK,OLD LINE BANCSHARES INC,0.1904761905,2000,6,1,,5.25,7219
OLBK,OLD LINE BANCSHARES INC,-0.1,2000,7,1,,6.25,7219
OLBK,OLD LINE BANCSHARES INC,0,2000,8,1,,5.625,7219
OLBK,OLD LINE BANCSHARES INC,0.1111111111,2000,9,1,,5.625,7219
OLBK,OLD LINE BANCSHARES INC,-0.1,2000,10,1,,6.25,7219
OLBK,OLD LINE BANCSHARES INC,0,2000,11,1,,5.625,7219
OLBK,OLD LINE BANCSHARES INC,0.0112,2000,12,1,,5.625,7219
OLBK,OLD LINE BANCSHARES INC,-0.006680731,2001,1,1,,5.688,7219
OLBK,OLD LINE BANCSHARES INC,0.0619469027,2001,2,1,,5.65,7219
OLBK,OLD LINE BANCSHARES INC,-0.0625,2001,3,1,,6,7219
OLBK,OLD LINE BANCSHARES INC,0.0666666667,2001,4,1,,5.625,7219
OLBK,OLD LINE BANCSHARES INC,-0.075,2001,5,1,,6,7219
OLBK,OLD LINE BANCSHARES INC,0.009009009,2001,6,1,,5.55,7219
OLBK,OLD LINE BANCSHARES INC,0.0178571429,2001,7,1,,5.6,7219
OLBK,OLD LINE BANCSHARES INC,0.0526315789,2001,8,1,,5.7,7219
OLBK,OLD LINE BANCSHARES INC,0.025,2001,9,1,,6,7219
OLBK,OLD LINE BANCSHARES INC,0.0243902439,2001,10,1,,6.15,7219
OLBK,OLD LINE BANCSHARES INC,0,2001,11,1,,6.3,7219
OLBK,OLD LINE BANCSHARES INC,0.253968254,2001,12,1,,6.3,7219
OLBK,OLD LINE BANCSHARES INC,0.0443037975,2002,1,1,,7.9,7219
OLBK,OLD LINE BANCSHARES INC,0.0909090909,2002,2,1,,8.25,7219
OLBK,OLD LINE BANCSHARES INC,-0.047777778,2002,3,1,,9,7219
OLBK,OLD LINE BANCSHARES INC,-0.00591716,2002,4,1,,8.45,7219
OLBK,OLD LINE BANCSHARES INC,0.1904761905,2002,5,1,,8.4,7219
OLBK,OLD LINE BANCSHARES INC,-0.145,2002,6,1,,10,7219
OLBK,OLD LINE BANCSHARES INC,0.1695906433,2002,7,1,,8.55,7219
OLBK,OLD LINE BANCSHARES INC,-0.0675,2002,8,1,,20,7219
OLBK,OLD LINE BANCSHARES INC,-0.072386059,2002,9,1,,18.65,7219
OLBK,OLD LINE BANCSHARES INC,0.0693641618,2002,10,1,,17.3,7219
OLBK,OLD LINE BANCSHARES INC,0.0135135135,2002,11,1,,18.5,7219
OLBK,OLD LINE BANCSHARES INC,-0.050666667,2002,12,1,,18.75,7219
OLBK,OLD LINE BANCSHARES INC,0.004494382,2003,1,1,,17.8,7219
OLBK,OLD LINE BANCSHARES INC,-0.002272727,2003,2,1,,17.6,7219
OLBK,OLD LINE BANCSHARES INC,0.0148063781,2003,3,1,,17.56,7219
OLBK,OLD LINE BANCSHARES INC,0.4057239057,2003,4,1,,17.82,7219
OLBK,OLD LINE BANCSHARES INC,-0.003992016,2003,5,1,,25.05,7219
OLBK,OLD LINE BANCSHARES INC,0.0641282565,2003,6,1,,24.95,7219
OLBK,OLD LINE BANCSHARES INC,0.054613936,2003,7,1,,26.55,7219
OLBK,OLD LINE BANCSHARES INC,0.0089285714,2003,8,1,,28,7219
OLBK,OLD LINE BANCSHARES INC,0.0407079646,2003,9,1,,28.25,7219
OLBK,OLD LINE BANCSHARES INC,-0.010204082,2003,10,1,,29.4,7219
OLBK,OLD LINE BANCSHARES INC,0.1340206186,2003,11,1,,9.7,7219
OLBK,OLD LINE BANCSHARES INC,0.0454545455,2003,12,1,19.327,11,7219
OLBK,OLD LINE BANCSHARES INC,-0.043478261,2004,1,1,20.2055,11.5,7219
OLBK,OLD LINE BANCSHARES INC,0.0481818182,2004,2,1,19.327,11,7219
OLBK,OLD LINE BANCSHARES INC,0.0304347826,2004,3,1,20.2055,11.5,7219
OLBK,OLD LINE BANCSHARES INC,-0.080168776,2004,4,1,21.0456,11.85,7219
OLBK,OLD LINE BANCSHARES INC,-0.028440367,2004,5,1,19.3584,10.9,7219
OLBK,OLD LINE BANCSHARES INC,-0.062322946,2004,6,1,18.80784,10.59,7219
OLBK,OLD LINE BANCSHARES INC,0.003030303,2004,7,1,17.5824,9.9,7219
OLBK,OLD LINE BANCSHARES INC,0.0322255791,2004,8,1,17.63568,9.93,7219
OLBK,OLD LINE BANCSHARES INC,0.1004878049,2004,9,1,18.204,10.25,7219
OLBK,OLD LINE BANCSHARES INC,-0.000888889,2004,10,1,19.98,11.25,7219
OLBK,OLD LINE BANCSHARES INC,0.0676156584,2004,11,1,19.96224,11.24,7219
OLBK,OLD LINE BANCSHARES INC,-0.015,2004,12,1,21.312,12,7219
OLBK,OLD LINE BANCSHARES INC,0.0899067006,2005,1,1,20.93904,11.79,7219
OLBK,OLD LINE BANCSHARES INC,0.0147859922,2005,2,1,22.8216,12.85,7219
