ticker,conm,ret,year,month,EW,VW,PW,n
OSII.,OBJECTIVE SYS INTEGRATRS INC,0.4528301887,2000,1,1,237.618875,6.625,6281
OSII.,OBJECTIVE SYS INTEGRATRS INC,1,2000,2,1,345.219875,9.625,6281
OSII.,OBJECTIVE SYS INTEGRATRS INC,-0.211038961,2000,3,1,695.79125,19.25,6281
OSII.,OBJECTIVE SYS INTEGRATRS INC,-0.061728395,2000,4,1,548.9521875,15.1875,6281
OSII.,OBJECTIVE SYS INTEGRATRS INC,-0.473684211,2000,5,1,515.06625,14.25,6281
OSII.,OBJECTIVE SYS INTEGRATRS INC,0.425,2000,6,1,275.4825,7.5,6281
OSII.,OBJECTIVE SYS INTEGRATRS INC,0.081871345,2000,7,1,392.5625625,10.6875,6281
OSII.,OBJECTIVE SYS INTEGRATRS INC,0.1621621622,2000,8,1,424.7021875,11.5625,6281
OSII.,OBJECTIVE SYS INTEGRATRS INC,-0.353488372,2000,9,1,493.5728125,13.4375,6281
OSII.,OBJECTIVE SYS INTEGRATRS INC,0.035971223,2000,10,1,319.1005625,8.6875,6281
OSII.,OBJECTIVE SYS INTEGRATRS INC,0.9513888889,2000,11,1,330.579,9,6281
OSII.,OBJECTIVE SYS INTEGRATRS INC,0.0035587189,2000,12,1,654.5719375,17.5625,6281
OSII.,OBJECTIVE SYS INTEGRATRS INC,0.0070921986,2001,1,1,656.901375,17.625,6281
OSII.,OBJECTIVE SYS INTEGRATRS INC,0,2001,2,1,,17.6875,6281
