ticker,conm,ret,year,month,EW,VW,PW,n
OVNT,OVERNITE CORP,,2003,10,1,,,7564
OVNT,OVERNITE CORP,0.0085740072,2003,11,1,,22.16,7564
OVNT,OVERNITE CORP,0.0178970917,2003,12,1,623.85555,22.35,7564
OVNT,OVERNITE CORP,-0.014945055,2004,1,1,631.56275,22.75,7564
OVNT,OVERNITE CORP,-0.02097278,2004,2,1,622.12401,22.41,7564
OVNT,OVERNITE CORP,0.0502283105,2004,3,1,607.9659,21.9,7564
OVNT,OVERNITE CORP,0.0434782609,2004,4,1,643.954,23,7564
OVNT,OVERNITE CORP,0.0908333333,2004,5,1,671.952,24,7564
OVNT,OVERNITE CORP,0.1247130834,2004,6,1,732.02456,26.14,7564
OVNT,OVERNITE CORP,0.0166666667,2004,7,1,823.3176,29.4,7564
OVNT,OVERNITE CORP,0.0197390432,2004,8,1,837.03956,29.89,7564
OVNT,OVERNITE CORP,0.0325229961,2004,9,1,852.56352,30.44,7564
OVNT,OVERNITE CORP,0.0295895641,2004,10,1,880.29144,31.43,7564
OVNT,OVERNITE CORP,0.0933250927,2004,11,1,906.33888,32.36,7564
OVNT,OVERNITE CORP,0.0537634409,2004,12,1,989.8734,35.34,7564
OVNT,OVERNITE CORP,-0.170784103,2005,1,1,1043.0924,37.24,7564
OVNT,OVERNITE CORP,0.1013601036,2005,2,1,864.9488,30.88,7564
OVNT,OVERNITE CORP,-0.058286724,2005,3,1,951.4997,33.97,7564
OVNT,OVERNITE CORP,-0.062832135,2005,4,1,904.00541,31.99,7564
OVNT,OVERNITE CORP,0.4229486324,2005,5,1,847.20482,29.98,7564
OVNT,OVERNITE CORP,0.0084467386,2005,6,1,1204.015,42.62,7564
OVNT,OVERNITE CORP,0.0030246626,2005,7,1,1214.22798,42.98,7564
OVNT,OVERNITE CORP,0.0032475064,2005,8,1,1217.90061,43.11,7564
OVNT,OVERNITE CORP,0,2005,9,1,1221.57324,43.24,7564
