ticker,conm,ret,year,month,EW,VW,PW,n
OXY,OCCIDENTAL PETROLEUM CORP,-0.080924855,2000,1,1,7948.87425,21.625,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.191823899,2000,2,1,7305.61275,19.875,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.3073929961,2000,3,1,5904.221625,16.0625,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0331325301,2000,4,1,7638.2825,20.75,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.1049562682,2000,5,1,7902.3984375,21.4375,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.100263852,2000,6,1,8731.8046875,23.6875,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.038575668,2000,7,1,7764.1640625,21.0625,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0679012346,2000,8,1,7464.65625,20.25,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0202312139,2000,9,1,7977.03,21.625,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.088825215,2000,10,1,8046.195,21.8125,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0880503145,2000,11,1,7331.49,19.875,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.1329479769,2000,12,1,7977.03,21.625,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.063505155,2001,1,1,8957.3195,24.25,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0563628358,2001,2,1,8388.48354,22.71,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0421008754,2001,3,1,8861.28226,23.99,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.216969697,2001,4,1,9164.133,24.75,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.00498008,2001,5,1,11152.47216,30.12,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.104437771,2001,6,1,11103.34554,29.97,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0394885295,2001,7,1,9851.11638,26.59,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.004341534,2001,8,1,10240.12248,27.64,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.106468023,2001,9,1,10273.71136,27.52,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0402629417,2001,10,1,9086.56012,24.34,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.012638231,2001,11,1,9452.41176,25.32,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0712,2001,12,1,9339.8,25,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.021862043,2002,1,1,9911.58147,26.53,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0342967245,2002,2,1,9694.89405,25.95,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0953800298,2002,3,1,10027.39716,26.84,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.013722127,2002,4,1,10922.47585,29.15,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0386086957,2002,5,1,10772.59625,28.75,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0127260549,2002,6,1,11195.76812,29.86,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.0966989,2002,7,1,11244.51058,29.99,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.096345515,2002,8,1,10180.422,27.09,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.036026936,2002,9,1,11178.8127,29.7,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0052854123,2002,10,1,10699.26,28.38,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.02383456,2002,11,1,10758.663,28.53,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0305206463,2002,12,1,10498.08535,27.85,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0267135325,2003,1,1,10724.25595,28.45,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0236220472,2003,2,1,11010.73871,29.21,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0107023411,2003,3,1,11270.8349,29.9,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.003671562,2003,4,1,11347.58968,29.96,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.130318258,2003,5,1,11305.9263,29.85,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0020746888,2003,6,1,12796.26614,33.74,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.025633383,2003,7,1,12724.20655,33.55,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0501682472,2003,8,1,12398.04209,32.69,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0337896883,2003,9,1,13140.39111,34.33,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.000851547,2003,10,1,13484.88141,35.23,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0402722632,2003,11,1,13496.36442,35.26,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.1586695747,2003,12,1,14126.385,36.68,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0428503788,2004,1,1,16267.68,42.24,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0079455165,2004,2,1,16964.75625,44.05,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0433558559,2004,3,1,17099.55,44.4,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0249728556,2004,4,1,17874.2154,46.05,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.063559322,2004,5,1,18458.4096,47.2,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.1014705882,2004,6,1,17290.5096,44.2,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0177649246,2004,7,1,18937.41108,48.41,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0483052567,2004,8,1,19273.83276,49.27,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0881897386,2004,9,1,20231.2017,51.65,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.001787949,2004,10,1,21907.66914,55.93,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0784524449,2004,11,1,21868.49934,55.83,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.026158445,2004,12,1,23766.21162,60.21,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0003427005,2005,1,1,23035.97592,58.36,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.2036656389,2005,2,1,23043.87036,58.38,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.017219297,2005,3,1,27737.11494,70.27,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.030490375,2005,4,1,28343.02548,71.17,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0595652174,2005,5,1,27478.836,69,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0564902202,2005,6,1,29116.20372,73.11,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0695437411,2005,7,1,30637.52636,76.93,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0091152163,2005,8,1,32768.17456,82.28,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0326388053,2005,9,1,33195.31097,83.03,1131
OXY,OCCIDENTAL PETROLEUM CORP,-0.076670959,2005,10,1,34154.82857,85.43,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0053245436,2005,11,1,31712.5208,78.88,1131
OXY,OCCIDENTAL PETROLEUM CORP,0.0118537201,2005,12,1,31878.5207,79.3,1131
