ticker,conm,ret,year,month,EW,VW,PW,n
PDFS,PDF SOLUTIONS INC,,2001,7,1,,,8526
PDFS,PDF SOLUTIONS INC,-0.090334807,2001,8,1,351.53681,15.83,8526
PDFS,PDF SOLUTIONS INC,-0.288194444,2001,9,1,319.7808,14.4,8526
PDFS,PDF SOLUTIONS INC,0.6243902439,2001,10,1,234.85825,10.25,8526
PDFS,PDF SOLUTIONS INC,-0.045045045,2001,11,1,381.50145,16.65,8526
PDFS,PDF SOLUTIONS INC,0.320754717,2001,12,1,364.3167,15.9,8526
PDFS,PDF SOLUTIONS INC,-0.314285714,2002,1,1,481.173,21,8526
PDFS,PDF SOLUTIONS INC,-0.027777778,2002,2,1,329.9472,14.4,8526
PDFS,PDF SOLUTIONS INC,0.225,2002,3,1,320.782,14,8526
PDFS,PDF SOLUTIONS INC,-0.223323615,2002,4,1,392.95795,17.15,8526
PDFS,PDF SOLUTIONS INC,-0.234234234,2002,5,1,305.04132,13.32,8526
PDFS,PDF SOLUTIONS INC,-0.283333333,2002,6,1,233.5902,10.2,8526
PDFS,PDF SOLUTIONS INC,-0.199726402,2002,7,1,167.40631,7.31,8526
PDFS,PDF SOLUTIONS INC,0.0256410256,2002,8,1,133.97085,5.85,8526
PDFS,PDF SOLUTIONS INC,-0.118333333,2002,9,1,138.282,6,8526
PDFS,PDF SOLUTIONS INC,0.3990548204,2002,10,1,121.91863,5.29,8526
PDFS,PDF SOLUTIONS INC,0.1052560465,2002,11,1,170.570847,7.401,8526
PDFS,PDF SOLUTIONS INC,-0.152811736,2002,12,1,188.49174,8.18,8526
PDFS,PDF SOLUTIONS INC,-0.098124098,2003,1,1,159.68799,6.93,8526
PDFS,PDF SOLUTIONS INC,-0.0384,2003,2,1,144.01875,6.25,8526
PDFS,PDF SOLUTIONS INC,0.0565723794,2003,3,1,138.48843,6.01,8526
PDFS,PDF SOLUTIONS INC,0.1653543307,2003,4,1,146.8501,6.35,8526
PDFS,PDF SOLUTIONS INC,0.4783783784,2003,5,1,171.1324,7.4,8526
PDFS,PDF SOLUTIONS INC,0.0694698355,2003,6,1,253.05314,10.94,8526
PDFS,PDF SOLUTIONS INC,0.105982906,2003,7,1,270.6327,11.7,8526
PDFS,PDF SOLUTIONS INC,-0.066460587,2003,8,1,299.31514,12.94,8526
PDFS,PDF SOLUTIONS INC,-0.068708609,2003,9,1,280.77544,12.08,8526
PDFS,PDF SOLUTIONS INC,0.0488888889,2003,10,1,261.48375,11.25,8526
PDFS,PDF SOLUTIONS INC,-0.048305085,2003,11,1,274.2674,11.8,8526
PDFS,PDF SOLUTIONS INC,0.3268032057,2003,12,1,261.68146,11.23,8526
PDFS,PDF SOLUTIONS INC,-0.180536913,2004,1,1,347.1998,14.9,8526
PDFS,PDF SOLUTIONS INC,-0.054054054,2004,2,1,284.51742,12.21,8526
PDFS,PDF SOLUTIONS INC,0,2004,3,1,293.7396,11.55,8526
PDFS,PDF SOLUTIONS INC,-0.161038961,2004,4,1,294.28245,11.55,8526
PDFS,PDF SOLUTIONS INC,-0.07120743,2004,5,1,247.46322,9.69,8526
PDFS,PDF SOLUTIONS INC,-0.054444444,2004,6,1,230.013,9,8526
PDFS,PDF SOLUTIONS INC,-0.035252644,2004,7,1,217.49007,8.51,8526
PDFS,PDF SOLUTIONS INC,0.12545676,2004,8,1,209.82297,8.21,8526
PDFS,PDF SOLUTIONS INC,0.3149350649,2004,9,1,234.64056,9.24,8526
PDFS,PDF SOLUTIONS INC,0.0699588477,2004,10,1,308.5371,12.15,8526
PDFS,PDF SOLUTIONS INC,-0.01,2004,11,1,330.122,13,8526
PDFS,PDF SOLUTIONS INC,0.2517482517,2004,12,1,326.53764,12.87,8526
PDFS,PDF SOLUTIONS INC,-0.098075729,2005,1,1,408.74292,16.11,8526
PDFS,PDF SOLUTIONS INC,-0.067446662,2005,2,1,368.65516,14.53,8526
PDFS,PDF SOLUTIONS INC,0.0332103321,2005,3,1,346.05345,13.55,8526
PDFS,PDF SOLUTIONS INC,-0.055,2005,4,1,360.5,14,8526
PDFS,PDF SOLUTIONS INC,-0.112622827,2005,5,1,342.11457,13.23,8526
PDFS,PDF SOLUTIONS INC,0.1158432709,2005,6,1,303.69032,11.74,8526
PDFS,PDF SOLUTIONS INC,0.2076335878,2005,7,1,338.8708,13.1,8526
PDFS,PDF SOLUTIONS INC,-0.008217446,2005,8,1,409.23176,15.82,8526
PDFS,PDF SOLUTIONS INC,0.0579987253,2005,9,1,409.90125,15.69,8526
PDFS,PDF SOLUTIONS INC,-0.103012048,2005,10,1,433.675,16.6,8526
PDFS,PDF SOLUTIONS INC,0.0503693754,2005,11,1,389.00125,14.89,8526
PDFS,PDF SOLUTIONS INC,0.0390025575,2005,12,1,410.7846,15.64,8526
PDFS,PDF SOLUTIONS INC,0.0910769231,2006,1,1,426.80625,16.25,8526
PDFS,PDF SOLUTIONS INC,-0.047377327,2006,2,1,465.67845,17.73,8526
PDFS,PDF SOLUTIONS INC,0.1201894612,2006,3,1,446.47026,16.89,8526
PDFS,PDF SOLUTIONS INC,-0.175475687,2006,4,1,504.27476,18.92,8526
PDFS,PDF SOLUTIONS INC,-0.148076923,2006,5,1,415.896,15.6,8526
PDFS,PDF SOLUTIONS INC,-0.066215199,2006,6,1,354.64365,13.29,8526
PDFS,PDF SOLUTIONS INC,-0.090249799,2006,7,1,331.16085,12.41,8526
PDFS,PDF SOLUTIONS INC,0.147918512,2006,8,1,301.27365,11.29,8526
PDFS,PDF SOLUTIONS INC,-0.154320988,2006,9,1,355.00032,12.96,8526
PDFS,PDF SOLUTIONS INC,0.2910583942,2006,10,1,300.21632,10.96,8526
PDFS,PDF SOLUTIONS INC,0.038869258,2006,11,1,387.5968,14.15,8526
PDFS,PDF SOLUTIONS INC,-0.017006803,2006,12,1,404.0001,14.7,8526
PDFS,PDF SOLUTIONS INC,-0.231141869,2007,1,1,397.12935,14.45,8526
PDFS,PDF SOLUTIONS INC,0.0252025203,2007,2,1,305.33613,11.11,8526
PDFS,PDF SOLUTIONS INC,-0.008779631,2007,3,1,318.32772,11.39,8526
PDFS,PDF SOLUTIONS INC,-0.005314438,2007,4,1,316.01839,11.29,8526
PDFS,PDF SOLUTIONS INC,-0.121104185,2007,5,1,314.2154,11.23,8526
PDFS,PDF SOLUTIONS INC,0.1985815603,2007,6,1,276.79428,9.87,8526
PDFS,PDF SOLUTIONS INC,-0.062552832,2007,7,1,331.76052,11.83,8526
PDFS,PDF SOLUTIONS INC,-0.119927863,2007,8,1,311.00796,11.09,8526
PDFS,PDF SOLUTIONS INC,0.012295082,2007,9,1,274.80256,9.76,8526
PDFS,PDF SOLUTIONS INC,-0.200404858,2007,10,1,278.18128,9.88,8526
PDFS,PDF SOLUTIONS INC,0.0037974684,2007,11,1,222.4324,7.9,8526
PDFS,PDF SOLUTIONS INC,0.1361916772,2007,12,1,222.34134,7.93,8526
PDFS,PDF SOLUTIONS INC,-0.041065483,2008,1,1,252.62238,9.01,8526
PDFS,PDF SOLUTIONS INC,-0.340277778,2008,2,1,242.24832,8.64,8526
PDFS,PDF SOLUTIONS INC,-0.033333333,2008,3,1,159.8166,5.7,8526
PDFS,PDF SOLUTIONS INC,-0.132486388,2008,4,1,152.88597,5.51,8526
PDFS,PDF SOLUTIONS INC,0.179916318,2008,5,1,132.61154,4.78,8526
PDFS,PDF SOLUTIONS INC,0.054964539,2008,6,1,156.47052,5.64,8526
PDFS,PDF SOLUTIONS INC,-0.235294118,2008,7,1,165.07085,5.95,8526
PDFS,PDF SOLUTIONS INC,0.3956043956,2008,8,1,126.23065,4.55,8526
PDFS,PDF SOLUTIONS INC,-0.181102362,2008,9,1,175.55845,6.35,8526
PDFS,PDF SOLUTIONS INC,-0.423076923,2008,10,1,143.7644,5.2,8526
PDFS,PDF SOLUTIONS INC,-0.326666667,2008,11,1,82.941,3,8526
PDFS,PDF SOLUTIONS INC,-0.287128713,2008,12,1,55.71766,2.02,8526
PDFS,PDF SOLUTIONS INC,0.0416666667,2009,1,1,39.71952,1.44,8526
PDFS,PDF SOLUTIONS INC,-0.286666667,2009,2,1,41.3745,1.5,8526
PDFS,PDF SOLUTIONS INC,0.4672897196,2009,3,1,29.51381,1.07,8526
PDFS,PDF SOLUTIONS INC,0.148089172,2009,4,1,41.22506,1.57,8526
PDFS,PDF SOLUTIONS INC,0.0429958391,2009,5,1,47.330045,1.8025,8526
PDFS,PDF SOLUTIONS INC,0.3563829787,2009,6,1,49.37068,1.88,8526
PDFS,PDF SOLUTIONS INC,-0.098039216,2009,7,1,66.96555,2.55,8526
PDFS,PDF SOLUTIONS INC,0.1695652174,2009,8,1,60.4003,2.3,8526
PDFS,PDF SOLUTIONS INC,0.2973977695,2009,9,1,71.33073,2.69,8526
PDFS,PDF SOLUTIONS INC,0.0143266476,2009,10,1,92.54433,3.49,8526
PDFS,PDF SOLUTIONS INC,-0.053672316,2009,11,1,93.87018,3.54,8526
PDFS,PDF SOLUTIONS INC,0.1492537313,2009,12,1,88.8688,3.35,8526
PDFS,PDF SOLUTIONS INC,0.0285714286,2010,1,1,102.1328,3.85,8526
PDFS,PDF SOLUTIONS INC,-0.002525253,2010,2,1,105.05088,3.96,8526
PDFS,PDF SOLUTIONS INC,0.1037974684,2010,3,1,104.7856,3.95,8526
PDFS,PDF SOLUTIONS INC,0.1353211009,2010,4,1,117.57176,4.36,8526
PDFS,PDF SOLUTIONS INC,-0.038383838,2010,5,1,133.9767,4.95,8526
PDFS,PDF SOLUTIONS INC,0.0084033613,2010,6,1,128.92936,4.76,8526
PDFS,PDF SOLUTIONS INC,-0.145833333,2010,7,1,130.0128,4.8,8526
PDFS,PDF SOLUTIONS INC,-0.156097561,2010,8,1,111.0526,4.1,8526
PDFS,PDF SOLUTIONS INC,0.0664739884,2010,9,1,93.91132,3.46,8526
PDFS,PDF SOLUTIONS INC,0.0975609756,2010,10,1,100.15398,3.69,8526
PDFS,PDF SOLUTIONS INC,-0.014814815,2010,11,1,109.9251,4.05,8526
PDFS,PDF SOLUTIONS INC,0.2080200501,2010,12,1,109.9245,3.99,8526
PDFS,PDF SOLUTIONS INC,0.2012448133,2011,1,1,132.791,4.82,8526
PDFS,PDF SOLUTIONS INC,0.195164076,2011,2,1,159.5145,5.79,8526
PDFS,PDF SOLUTIONS INC,-0.039017341,2011,3,1,190.646,6.92,8526
PDFS,PDF SOLUTIONS INC,-0.04962406,2011,4,1,186.2532,6.65,8526
