ticker,conm,ret,year,month,EW,VW,PW,n
PE,PARSLEY ENERGY INC,,2014,5,1,,,3019
PE,PARSLEY ENERGY INC,0.0126209508,2014,6,1,2036.32836,23.77,3019
PE,PARSLEY ENERGY INC,-0.062318238,2014,7,1,2062.02876,24.07,3019
PE,PARSLEY ENERGY INC,-0.028799291,2014,8,1,2102.80176,22.57,3019
PE,PARSLEY ENERGY INC,-0.026916058,2014,9,1,2058.44144,21.92,3019
PE,PARSLEY ENERGY INC,-0.204406939,2014,10,1,2003.03631,21.33,3019
PE,PARSLEY ENERGY INC,-0.255156158,2014,11,1,1593.60179,16.97,3019
PE,PARSLEY ENERGY INC,0.2626582278,2014,12,1,1187.3384,12.64,3019
PE,PARSLEY ENERGY INC,0.0507518797,2015,1,1,1499.2026,15.96,3019
PE,PARSLEY ENERGY INC,-0.112104949,2015,2,1,1575.28995,16.77,3019
PE,PARSLEY ENERGY INC,0.0732034923,2015,3,1,1620.34469,14.89,3019
PE,PARSLEY ENERGY INC,0.085106383,2015,4,1,1738.32038,15.98,3019
PE,PARSLEY ENERGY INC,0.008650519,2015,5,1,1885.93308,17.34,3019
PE,PARSLEY ENERGY INC,-0.004002287,2015,6,1,1902.24738,17.49,3019
PE,PARSLEY ENERGY INC,-0.169919633,2015,7,1,1894.63404,17.42,3019
PE,PARSLEY ENERGY INC,0.1894882434,2015,8,1,1572.69852,14.46,3019
PE,PARSLEY ENERGY INC,-0.123837209,2015,9,1,1870.93,17.2,3019
PE,PARSLEY ENERGY INC,0.1765096218,2015,10,1,1835.10404,15.07,3019
PE,PARSLEY ENERGY INC,0.1082910321,2015,11,1,2159.01756,17.73,3019
PE,PARSLEY ENERGY INC,-0.061068702,2015,12,1,2430.9408,19.65,3019
PE,PARSLEY ENERGY INC,0.043902439,2016,1,1,2520.69435,18.45,3019
PE,PARSLEY ENERGY INC,-0.04569055,2016,2,1,2631.35898,19.26,3019
PE,PARSLEY ENERGY INC,0.2295973885,2016,3,1,2511.13074,18.38,3019
PE,PARSLEY ENERGY INC,0.0362831858,2016,4,1,3087.6798,22.6,3019
PE,PARSLEY ENERGY INC,0.1131511529,2016,5,1,3691.29646,23.42,3019
PE,PARSLEY ENERGY INC,0.0379746835,2016,6,1,4323.99627,26.07,3019
PE,PARSLEY ENERGY INC,0.0535846268,2016,7,1,4488.19866,27.06,3019
PE,PARSLEY ENERGY INC,0.1873027008,2016,8,1,4728.69711,28.51,3019
PE,PARSLEY ENERGY INC,-0.010044313,2016,9,1,6079.49385,33.85,3019
PE,PARSLEY ENERGY INC,-0.018203521,2016,10,1,6018.42951,33.51,3019
PE,PARSLEY ENERGY INC,0.1595744681,2016,11,1,5908.8729,32.9,3019
PE,PARSLEY ENERGY INC,-0.076277851,2016,12,1,6851.39665,38.15,3019
PE,PARSLEY ENERGY INC,-0.000567537,2017,1,1,6328.78684,35.24,3019
PE,PARSLEY ENERGY INC,-0.13713799,2017,2,1,7216.26102,35.22,3019
PE,PARSLEY ENERGY INC,0.0697597894,2017,3,1,7490.49681,30.39,3019
PE,PARSLEY ENERGY INC,-0.083666564,2017,4,1,8013.03229,32.51,3019
PE,PARSLEY ENERGY INC,-0.004699564,2017,5,1,7342.84773,29.79,3019
PE,PARSLEY ENERGY INC,-0.064080944,2017,6,1,7308.33955,29.65,3019
PE,PARSLEY ENERGY INC,0.0551351351,2017,7,1,6840.01425,27.75,3019
PE,PARSLEY ENERGY INC,-0.144467213,2017,8,1,7217.13936,29.28,3019
PE,PARSLEY ENERGY INC,0.051497006,2017,9,1,6203.55735,25.05,3019
PE,PARSLEY ENERGY INC,0.0098709188,2017,10,1,6523.02198,26.34,3019
PE,PARSLEY ENERGY INC,0.0097744361,2017,11,1,6587.4102,26.6,3019
PE,PARSLEY ENERGY INC,0.0960536113,2017,12,1,6713.657,26.86,3019
PE,PARSLEY ENERGY INC,-0.198369565,2018,1,1,7358.528,29.44,3019
PE,PARSLEY ENERGY INC,0.0711864407,2018,2,1,5898.82,23.6,3019
