ticker,conm,ret,year,month,EW,VW,PW,n
PFC,PREMIER FINANCIAL CORP,0.0461904762,2000,1,1,73.08,10.5,4323
PFC,PREMIER FINANCIAL CORP,-0.172413793,2000,2,1,75.69,10.875,4323
PFC,PREMIER FINANCIAL CORP,-0.041666667,2000,3,1,62.64,9,4323
PFC,PREMIER FINANCIAL CORP,0.0272463768,2000,4,1,58.969125,8.625,4323
PFC,PREMIER FINANCIAL CORP,-0.071428571,2000,5,1,59.82375,8.75,4323
PFC,PREMIER FINANCIAL CORP,-0.007692308,2000,6,1,55.550625,8.125,4323
PFC,PREMIER FINANCIAL CORP,0.1454263566,2000,7,1,55.2200625,8.0625,4323
PFC,PREMIER FINANCIAL CORP,-0.01369863,2000,8,1,62.497125,9.125,4323
PFC,PREMIER FINANCIAL CORP,0,2000,9,1,61.641,9,4323
PFC,PREMIER FINANCIAL CORP,0.2066666667,2000,10,1,62.028,9,4323
PFC,PREMIER FINANCIAL CORP,0.0174418605,2000,11,1,74.089,10.75,4323
PFC,PREMIER FINANCIAL CORP,-0.005714286,2000,12,1,75.38125,10.9375,4323
PFC,PREMIER FINANCIAL CORP,0.3903448276,2001,1,1,74.9505,10.875,4323
PFC,PREMIER FINANCIAL CORP,-0.120833333,2001,2,1,103.38,15,4323
PFC,PREMIER FINANCIAL CORP,0.1374407583,2001,3,1,90.88825,13.1875,4323
PFC,PREMIER FINANCIAL CORP,0.008,2001,4,1,102.96,15,4323
PFC,PREMIER FINANCIAL CORP,0.06,2001,5,1,102.96,15,4323
PFC,PREMIER FINANCIAL CORP,-0.088050314,2001,6,1,108.756,15.9,4323
PFC,PREMIER FINANCIAL CORP,0.0910344828,2001,7,1,99.18,14.5,4323
PFC,PREMIER FINANCIAL CORP,0.0114649682,2001,8,1,107.388,15.7,4323
PFC,PREMIER FINANCIAL CORP,-0.143576826,2001,9,1,108.5398,15.88,4323
PFC,PREMIER FINANCIAL CORP,-0.0125,2001,10,1,92.956,13.6,4323
PFC,PREMIER FINANCIAL CORP,0.1044327573,2001,11,1,90.97385,13.31,4323
PFC,PREMIER FINANCIAL CORP,0.0340136054,2001,12,1,100.4304,14.7,4323
PFC,PREMIER FINANCIAL CORP,0.0677631579,2002,1,1,103.8464,15.2,4323
PFC,PREMIER FINANCIAL CORP,0,2002,2,1,109.9952,16.1,4323
PFC,PREMIER FINANCIAL CORP,0.0714285714,2002,3,1,109.9952,16.1,4323
PFC,PREMIER FINANCIAL CORP,0.0608695652,2002,4,1,118.5765,17.25,4323
PFC,PREMIER FINANCIAL CORP,0.1155751238,2002,5,1,124.90058,18.17,4323
PFC,PREMIER FINANCIAL CORP,-0.010853478,2002,6,1,139.33598,20.27,4323
PFC,PREMIER FINANCIAL CORP,-0.056857855,2002,7,1,137.8237,20.05,4323
PFC,PREMIER FINANCIAL CORP,-0.012247071,2002,8,1,129.09372,18.78,4323
PFC,PREMIER FINANCIAL CORP,-0.074393531,2002,9,1,126.4368,18.55,4323
PFC,PREMIER FINANCIAL CORP,0.0966802563,2002,10,1,117.03072,17.17,4323
PFC,PREMIER FINANCIAL CORP,0.0427807487,2002,11,1,127.4592,18.7,4323
PFC,PREMIER FINANCIAL CORP,-0.030769231,2002,12,1,128.2515,19.5,4323
PFC,PREMIER FINANCIAL CORP,0.044973545,2003,1,1,124.3053,18.9,4323
PFC,PREMIER FINANCIAL CORP,0.0035714286,2003,2,1,128.9092,19.6,4323
PFC,PREMIER FINANCIAL CORP,-0.056939502,2003,3,1,129.36959,19.67,4323
PFC,PREMIER FINANCIAL CORP,0.0663072776,2003,4,1,117.9409,18.55,4323
PFC,PREMIER FINANCIAL CORP,0.008660214,2003,5,1,124.59161,19.63,4323
PFC,PREMIER FINANCIAL CORP,0.002020202,2003,6,1,125.3538,19.8,4323
PFC,PREMIER FINANCIAL CORP,0.0786290323,2003,7,1,125.60704,19.84,4323
PFC,PREMIER FINANCIAL CORP,0.12,2003,8,1,134.53375,21.25,4323
PFC,PREMIER FINANCIAL CORP,-0.021008403,2003,9,1,149.7258,23.8,4323
PFC,PREMIER FINANCIAL CORP,0.2188841202,2003,10,1,146.5803,23.3,4323
PFC,PREMIER FINANCIAL CORP,-0.011327434,2003,11,1,177.72075,28.25,4323
PFC,PREMIER FINANCIAL CORP,-0.072681704,2003,12,1,176.15451,27.93,4323
PFC,PREMIER FINANCIAL CORP,0.0575289575,2004,1,1,163.3513,25.9,4323
PFC,PREMIER FINANCIAL CORP,0.02427363,2004,2,1,172.05832,27.19,4323
PFC,PREMIER FINANCIAL CORP,-0.022262118,2004,3,1,176.2348,27.85,4323
PFC,PREMIER FINANCIAL CORP,-0.125229526,2004,4,1,174.21754,27.23,4323
PFC,PREMIER FINANCIAL CORP,0.0592718036,2004,5,1,151.12076,23.62,4323
PFC,PREMIER FINANCIAL CORP,-0.116706635,2004,6,1,159.92784,25.02,4323
PFC,PREMIER FINANCIAL CORP,0.0882352941,2004,7,1,141.2632,22.1,4323
PFC,PREMIER FINANCIAL CORP,0.0951781971,2004,8,1,150.6843,23.85,4323
PFC,PREMIER FINANCIAL CORP,-0.004211332,2004,9,1,165.02616,26.12,4323
PFC,PREMIER FINANCIAL CORP,0.0722798923,2004,10,1,164.33118,26.01,4323
PFC,PREMIER FINANCIAL CORP,-0.01191766,2004,11,1,174.05934,27.69,4323
PFC,PREMIER FINANCIAL CORP,0.0544590643,2004,12,1,172.17648,27.36,4323
PFC,PREMIER FINANCIAL CORP,-0.021490468,2005,1,1,181.55305,28.85,4323
PFC,PREMIER FINANCIAL CORP,0.0349875045,2005,2,1,176.26693,28.01,4323
PFC,PREMIER FINANCIAL CORP,-0.103139013,2005,3,1,182.43407,28.99,4323
PFC,PREMIER FINANCIAL CORP,0.075,2005,4,1,182.39,26,4323
PFC,PREMIER FINANCIAL CORP,-0.035701406,2005,5,1,194.52595,27.73,4323
PFC,PREMIER FINANCIAL CORP,-0.001869858,2005,6,1,187.90198,26.74,4323
PFC,PREMIER FINANCIAL CORP,0.1195204196,2005,7,1,187.55063,26.69,4323
