ticker,conm,ret,year,month,EW,VW,PW,n
PIONA,PIONEER COS INC  -CL A,0.0265486726,2000,1,1,75.258,7.0625,2145
PIONA,PIONEER COS INC  -CL A,0.0862068966,2000,2,1,77.256,7.25,2145
PIONA,PIONEER COS INC  -CL A,-0.301587302,2000,3,1,83.916,7.875,2145
PIONA,PIONEER COS INC  -CL A,0.0340909091,2000,4,1,58.5585,5.5,2145
PIONA,PIONEER COS INC  -CL A,-0.131868132,2000,5,1,60.5548125,5.6875,2145
PIONA,PIONEER COS INC  -CL A,-0.012658228,2000,6,1,52.9941875,4.9375,2145
PIONA,PIONEER COS INC  -CL A,-0.179487179,2000,7,1,52.323375,4.875,2145
PIONA,PIONEER COS INC  -CL A,-0.046875,2000,8,1,42.932,4,2145
PIONA,PIONEER COS INC  -CL A,0.0491803279,2000,9,1,40.9348125,3.8125,2145
PIONA,PIONEER COS INC  -CL A,-0.328125,2000,10,1,42.948,4,2145
PIONA,PIONEER COS INC  -CL A,-0.418604651,2000,11,1,28.8556875,2.6875,2145
PIONA,PIONEER COS INC  -CL A,-0.56,2000,12,1,16.6859375,1.5625,2145
PIONA,PIONEER COS INC  -CL A,-0.090909091,2001,1,1,7.3418125,0.6875,2145
PIONA,PIONEER COS INC  -CL A,0.1008,2001,2,1,6.674375,0.625,2145
PIONA,PIONEER COS INC  -CL A,0.2718023256,2001,3,1,7.347152,0.688,2145
PIONA,PIONEER COS INC  -CL A,-0.771428571,2001,4,1,9.344125,0.875,2145
PIONA,PIONEER COS INC  -CL A,0.2,2001,5,1,2.1358,0.2,2145
PIONA,PIONEER COS INC  -CL A,-0.541666667,2001,6,1,2.55528,0.24,2145
PIONA,PIONEER COS INC  -CL A,-0.454545455,2001,7,1,1.17117,0.11,2145
PIONA,PIONEER COS INC  -CL A,-0.675,2001,8,1,0.63882,0.06,2145
PIONA,PIONEER COS INC  -CL A,-0.487179487,2001,9,1,0.2082405,0.0195,2145
PIONA,PIONEER COS INC  -CL A,0,2001,10,1,0.10679,0.01,2145
PIONA,PIONEER COS INC  -CL A,2,2001,11,1,0.10679,0.01,2145
PIONA,PIONEER COS INC  -CL A,-0.333333333,2001,12,1,0.32037,0.03,2145
PIONA,PIONEER COS INC  -CL A,0,2002,1,1,0.21358,0.02,2145
