ticker,conm,ret,year,month,EW,VW,PW,n
PLA.A,PLAYBOY ENTERPRISES  -CL B,-0.036585366,2000,1,1,97.3545,20.5,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,-0.079113924,2000,2,1,93.79275,19.75,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,-0.079037801,2000,3,1,86.3724375,18.1875,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,-0.194029851,2000,4,1,79.54575,16.75,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,-0.115740741,2000,5,1,65.5965,13.5,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,-0.015706806,2000,6,1,58.0043125,11.9375,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,-0.074468085,2000,7,1,57.09325,11.75,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,0.2413793103,2000,8,1,52.841625,10.875,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,-0.009259259,2000,9,1,65.5965,13.5,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,-0.182242991,2000,10,1,64.989125,13.375,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,-0.171428571,2000,11,1,53.1453125,10.9375,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,-0.075862069,2000,12,1,44.0346875,9.0625,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,0.1940298507,2001,1,1,40.694125,8.375,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,0.136,2001,2,1,48.59,10,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,-0.207746479,2001,3,1,55.19824,11.36,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,0.0333333333,2001,4,1,43.731,9,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,0.4172043011,2001,5,1,45.1887,9.3,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,0.0402124431,2001,6,1,64.10752,13.18,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,-0.019693654,2001,7,1,66.68544,13.71,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,-0.040178571,2001,8,1,65.37216,13.44,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,-0.209302326,2001,9,1,62.7456,12.9,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,0.018627451,2001,10,1,49.6128,10.2,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,0.1973051011,2001,11,1,50.53696,10.39,1230
PLA.A,PLAYBOY ENTERPRISES  -CL B,0.1647909968,2001,12,1,60.50816,12.44,1230
