ticker,conm,ret,year,month,EW,VW,PW,n
PLM.3,PLM INTERNATIONAL INC,0.0425531915,2000,1,1,46.900125,5.875,2129
PLM.3,PLM INTERNATIONAL INC,0.1020408163,2000,2,1,47.095125,6.125,2129
PLM.3,PLM INTERNATIONAL INC,0.0185185185,2000,3,1,51.90075,6.75,2129
PLM.3,PLM INTERNATIONAL INC,-0.077272727,2000,4,1,53.026875,6.875,2129
PLM.3,PLM INTERNATIONAL INC,0.1724137931,2000,5,1,48.92934375,6.34375,2129
PLM.3,PLM INTERNATIONAL INC,-0.092436975,2000,6,1,57.2761875,7.4375,2129
PLM.3,PLM INTERNATIONAL INC,0,2000,7,1,51.98175,6.75,2129
PLM.3,PLM INTERNATIONAL INC,-0.046296296,2000,8,1,50.01075,6.75,2129
PLM.3,PLM INTERNATIONAL INC,0.0388349515,2000,9,1,47.6954375,6.4375,2129
PLM.3,PLM INTERNATIONAL INC,-0.009345794,2000,10,1,49.5476875,6.6875,2129
PLM.3,PLM INTERNATIONAL INC,0.0849056604,2000,11,1,49.084625,6.625,2129
PLM.3,PLM INTERNATIONAL INC,0.5428571429,2000,12,1,16.2946875,2.1875,2129
PLM.3,PLM INTERNATIONAL INC,0.0133333333,2001,1,1,25.140375,3.375,2129
PLM.3,PLM INTERNATIONAL INC,0,2001,2,1,25.47558,3.42,2129
PLM.3,PLM INTERNATIONAL INC,-0.020467836,2001,3,1,25.8381,3.42,2129
PLM.3,PLM INTERNATIONAL INC,-0.026865672,2001,4,1,25.30925,3.35,2129
PLM.3,PLM INTERNATIONAL INC,-0.012269939,2001,5,1,24.6293,3.26,2129
PLM.3,PLM INTERNATIONAL INC,0.0093167702,2001,6,1,24.3271,3.22,2129
PLM.3,PLM INTERNATIONAL INC,-0.061538462,2001,7,1,24.55375,3.25,2129
PLM.3,PLM INTERNATIONAL INC,-0.016393443,2001,8,1,23.04275,3.05,2129
PLM.3,PLM INTERNATIONAL INC,0.0333333333,2001,9,1,22.665,3,2129
PLM.3,PLM INTERNATIONAL INC,-0.032258065,2001,10,1,23.4205,3.1,2129
PLM.3,PLM INTERNATIONAL INC,0,2001,11,1,22.665,3,2129
PLM.3,PLM INTERNATIONAL INC,0.1133333333,2001,12,1,22.665,3,2129
PLM.3,PLM INTERNATIONAL INC,0.0329341317,2002,1,1,25.2337,3.34,2129
PLM.3,PLM INTERNATIONAL INC,0.0028985507,2002,2,1,26.0613,3.45,2129
PLM.3,PLM INTERNATIONAL INC,0,2002,3,1,25.91022,3.43,2129
