ticker,conm,ret,year,month,EW,VW,PW,n
PLPM,PLANET PAYMENT INC,,2008,11,1,,,10507
PLPM,PLANET PAYMENT INC,-0.208333333,2008,12,1,,1.2,10507
PLPM,PLANET PAYMENT INC,-0.210526316,2009,1,1,,0.95,10507
PLPM,PLANET PAYMENT INC,-0.066666667,2009,2,1,,0.75,10507
PLPM,PLANET PAYMENT INC,-0.214285714,2009,3,1,,0.7,10507
PLPM,PLANET PAYMENT INC,0.1818181818,2009,4,1,,0.55,10507
PLPM,PLANET PAYMENT INC,0.0769230769,2009,5,1,,0.65,10507
PLPM,PLANET PAYMENT INC,-0.071428571,2009,6,1,,0.7,10507
PLPM,PLANET PAYMENT INC,-0.046153846,2009,7,1,,0.65,10507
PLPM,PLANET PAYMENT INC,0.6129032258,2009,8,1,,0.62,10507
PLPM,PLANET PAYMENT INC,0,2009,9,1,,1,10507
PLPM,PLANET PAYMENT INC,0.55,2009,10,1,,1,10507
PLPM,PLANET PAYMENT INC,0.2258064516,2009,11,1,,1.55,10507
PLPM,PLANET PAYMENT INC,-0.026315789,2009,12,1,,1.9,10507
PLPM,PLANET PAYMENT INC,0.0810810811,2010,1,1,,1.85,10507
PLPM,PLANET PAYMENT INC,-0.1,2010,2,1,,2,10507
PLPM,PLANET PAYMENT INC,0.3888888889,2010,3,1,,1.8,10507
PLPM,PLANET PAYMENT INC,-0.06,2010,4,1,,2.5,10507
PLPM,PLANET PAYMENT INC,-0.395744681,2010,5,1,,2.35,10507
PLPM,PLANET PAYMENT INC,-0.014084507,2010,6,1,,1.42,10507
PLPM,PLANET PAYMENT INC,-0.107142857,2010,7,1,,1.4,10507
PLPM,PLANET PAYMENT INC,-0.208,2010,8,1,,1.25,10507
PLPM,PLANET PAYMENT INC,0.0101010101,2010,9,1,,0.99,10507
PLPM,PLANET PAYMENT INC,0.6,2010,10,1,,1,10507
PLPM,PLANET PAYMENT INC,0,2010,11,1,,1.6,10507
PLPM,PLANET PAYMENT INC,0.09375,2010,12,1,,1.6,10507
PLPM,PLANET PAYMENT INC,0.7714285714,2011,1,1,,1.75,10507
PLPM,PLANET PAYMENT INC,-0.080645161,2011,2,1,,3.1,10507
PLPM,PLANET PAYMENT INC,-0.070175439,2011,3,1,,2.85,10507
PLPM,PLANET PAYMENT INC,0.0566037736,2011,4,1,,2.65,10507
PLPM,PLANET PAYMENT INC,0.375,2011,5,1,,2.8,10507
PLPM,PLANET PAYMENT INC,-0.038961039,2011,6,1,,3.85,10507
PLPM,PLANET PAYMENT INC,0.2567567568,2011,7,1,,3.7,10507
PLPM,PLANET PAYMENT INC,-0.225806452,2011,8,1,,4.65,10507
PLPM,PLANET PAYMENT INC,-0.155555556,2011,9,1,,3.6,10507
PLPM,PLANET PAYMENT INC,0.1019736842,2011,10,1,,3.04,10507
PLPM,PLANET PAYMENT INC,-0.104477612,2011,11,1,,3.35,10507
PLPM,PLANET PAYMENT INC,-0.08,2011,12,1,,3,10507
PLPM,PLANET PAYMENT INC,-0.02173913,2012,1,1,,2.76,10507
PLPM,PLANET PAYMENT INC,0.1074074074,2012,2,1,,2.7,10507
PLPM,PLANET PAYMENT INC,0.1371237458,2012,3,1,,2.99,10507
PLPM,PLANET PAYMENT INC,0.4235294118,2012,4,1,,3.4,10507
PLPM,PLANET PAYMENT INC,-0.157024793,2012,5,1,,4.84,10507
PLPM,PLANET PAYMENT INC,0.0784313725,2012,6,1,,4.08,10507
PLPM,PLANET PAYMENT INC,-0.113636364,2012,7,1,,4.4,10507
PLPM,PLANET PAYMENT INC,-0.164102564,2012,8,1,,3.9,10507
PLPM,PLANET PAYMENT INC,-0.033742331,2012,9,1,,3.26,10507
PLPM,PLANET PAYMENT INC,-0.142857143,2012,10,1,186.4926,3.15,10507
PLPM,PLANET PAYMENT INC,0.0962962963,2012,11,1,159.8508,2.7,10507
PLPM,PLANET PAYMENT INC,0.1756756757,2012,12,1,175.24384,2.96,10507
PLPM,PLANET PAYMENT INC,-0.181034483,2013,1,1,206.02992,3.48,10507
PLPM,PLANET PAYMENT INC,0.0561403509,2013,2,1,168.7314,2.85,10507
PLPM,PLANET PAYMENT INC,-0.023255814,2013,3,1,178.20404,3.01,10507
PLPM,PLANET PAYMENT INC,0.0782312925,2013,4,1,157.88094,2.94,10507
PLPM,PLANET PAYMENT INC,-0.059936909,2013,5,1,170.25119,3.17,10507
PLPM,PLANET PAYMENT INC,-0.073825503,2013,6,1,160.08262,2.98,10507
PLPM,PLANET PAYMENT INC,0.0905797101,2013,7,1,148.51008,2.76,10507
PLPM,PLANET PAYMENT INC,-0.189368771,2013,8,1,161.96208,3.01,10507
PLPM,PLANET PAYMENT INC,0.0409836066,2013,9,1,133.14592,2.44,10507
PLPM,PLANET PAYMENT INC,0.062992126,2013,10,1,138.60272,2.54,10507
PLPM,PLANET PAYMENT INC,-0.12962963,2013,11,1,147.3336,2.7,10507
PLPM,PLANET PAYMENT INC,0.1829787234,2013,12,1,128.79645,2.35,10507
PLPM,PLANET PAYMENT INC,0.2697841727,2014,1,1,152.36346,2.78,10507
PLPM,PLANET PAYMENT INC,-0.033994334,2014,2,1,193.46871,3.53,10507
PLPM,PLANET PAYMENT INC,-0.196480938,2014,3,1,186.89187,3.41,10507
PLPM,PLANET PAYMENT INC,-0.040145985,2014,4,1,150.23146,2.74,10507
PLPM,PLANET PAYMENT INC,0.072243346,2014,5,1,144.28969,2.63,10507
PLPM,PLANET PAYMENT INC,0.0070921986,2014,6,1,154.7052,2.82,10507
PLPM,PLANET PAYMENT INC,-0.172535211,2014,7,1,155.8024,2.84,10507
PLPM,PLANET PAYMENT INC,0.0255319149,2014,8,1,128.921,2.35,10507
PLPM,PLANET PAYMENT INC,-0.186721992,2014,9,1,133.4417,2.41,10507
PLPM,PLANET PAYMENT INC,-0.137755102,2014,10,1,108.5252,1.96,10507
PLPM,PLANET PAYMENT INC,-0.026508876,2014,11,1,93.5753,1.69,10507
PLPM,PLANET PAYMENT INC,0.2642839776,2014,12,1,91.8169668,1.6452,10507
PLPM,PLANET PAYMENT INC,-0.221153846,2015,1,1,116.08272,2.08,10507
PLPM,PLANET PAYMENT INC,0.0308641975,2015,2,1,90.41058,1.62,10507
PLPM,PLANET PAYMENT INC,0.1377245509,2015,3,1,93.20103,1.67,10507
PLPM,PLANET PAYMENT INC,0.0263157895,2015,4,1,104.9104,1.9,10507
PLPM,PLANET PAYMENT INC,0.1641025641,2015,5,1,106.51485,1.95,10507
PLPM,PLANET PAYMENT INC,0.0660792952,2015,6,1,123.16793,2.27,10507
PLPM,PLANET PAYMENT INC,0.0537190083,2015,7,1,131.30678,2.42,10507
PLPM,PLANET PAYMENT INC,0.1607843137,2015,8,1,138.36045,2.55,10507
PLPM,PLANET PAYMENT INC,-0.043918919,2015,9,1,155.54504,2.96,10507
PLPM,PLANET PAYMENT INC,0.0600706714,2015,10,1,148.71367,2.83,10507
PLPM,PLANET PAYMENT INC,-0.05,2015,11,1,157.647,3,10507
PLPM,PLANET PAYMENT INC,0.0701754386,2015,12,1,152.9538,2.85,10507
PLPM,PLANET PAYMENT INC,-0.052459016,2016,1,1,163.6874,3.05,10507
PLPM,PLANET PAYMENT INC,-0.083044983,2016,2,1,155.10052,2.89,10507
PLPM,PLANET PAYMENT INC,0.3320754717,2016,3,1,142.2202,2.65,10507
PLPM,PLANET PAYMENT INC,0.1359773371,2016,4,1,182.93166,3.53,10507
PLPM,PLANET PAYMENT INC,0.0748129676,2016,5,1,207.80622,4.01,10507
PLPM,PLANET PAYMENT INC,0.0417633411,2016,6,1,215.44828,4.31,10507
PLPM,PLANET PAYMENT INC,0.0445434298,2016,7,1,224.44612,4.49,10507
PLPM,PLANET PAYMENT INC,-0.234541578,2016,8,1,234.44372,4.69,10507
PLPM,PLANET PAYMENT INC,0.0334261838,2016,9,1,180.84984,3.59,10507
PLPM,PLANET PAYMENT INC,-0.059299191,2016,10,1,186.89496,3.71,10507
PLPM,PLANET PAYMENT INC,0.1518624642,2016,11,1,175.81224,3.49,10507
