ticker,conm,ret,year,month,EW,VW,PW,n
PNP,PAN PAC RETAIL PPTYS INC,0.0996168582,2000,1,1,346.6895625,16.3125,7022
PNP,PAN PAC RETAIL PPTYS INC,0,2000,2,1,381.2256875,17.9375,7022
PNP,PAN PAC RETAIL PPTYS INC,0.0512891986,2000,3,1,381.2256875,17.9375,7022
PNP,PAN PAC RETAIL PPTYS INC,0.0305084746,2000,4,1,391.8521875,18.4375,7022
PNP,PAN PAC RETAIL PPTYS INC,0.0526315789,2000,5,1,403.807,19,7022
PNP,PAN PAC RETAIL PPTYS INC,0.02725,2000,6,1,425.06,20,7022
PNP,PAN PAC RETAIL PPTYS INC,0.0403726708,2000,7,1,427.716625,20.125,7022
PNP,PAN PAC RETAIL PPTYS INC,-0.089552239,2000,8,1,444.9846875,20.9375,7022
PNP,PAN PAC RETAIL PPTYS INC,0.0712131148,2000,9,1,405.1353125,19.0625,7022
PNP,PAN PAC RETAIL PPTYS INC,0.021875,2000,10,1,425.06,20,7022
PNP,PAN PAC RETAIL PPTYS INC,0.0259327217,2000,11,1,434.3581875,20.4375,7022
PNP,PAN PAC RETAIL PPTYS INC,0.0785498489,2000,12,1,662.1655,20.6875,7022
PNP,PAN PAC RETAIL PPTYS INC,0.0075070028,2001,1,1,714.1785,22.3125,7022
PNP,PAN PAC RETAIL PPTYS INC,0.0206850534,2001,2,1,719.53984,22.48,7022
PNP,PAN PAC RETAIL PPTYS INC,-0.01511783,2001,3,1,719.85992,22.49,7022
PNP,PAN PAC RETAIL PPTYS INC,0.0167042889,2001,4,1,695.2885,22.15,7022
PNP,PAN PAC RETAIL PPTYS INC,0.0548401421,2001,5,1,722.30648,22.52,7022
PNP,PAN PAC RETAIL PPTYS INC,0.1158798283,2001,6,1,731.8297,23.3,7022
PNP,PAN PAC RETAIL PPTYS INC,-0.015384615,2001,7,1,816.634,26,7022
PNP,PAN PAC RETAIL PPTYS INC,0.0427734375,2001,8,1,804.0704,25.6,7022
PNP,PAN PAC RETAIL PPTYS INC,0.0041920732,2001,9,1,841.9104,26.24,7022
PNP,PAN PAC RETAIL PPTYS INC,0.0531309298,2001,10,1,845.43975,26.35,7022
PNP,PAN PAC RETAIL PPTYS INC,-0.021801802,2001,11,1,890.35875,27.75,7022
PNP,PAN PAC RETAIL PPTYS INC,0.0760584489,2001,12,1,862.6208,26.69,7022
PNP,PAN PAC RETAIL PPTYS INC,-0.001392758,2002,1,1,928.2304,28.72,7022
PNP,PAN PAC RETAIL PPTYS INC,0.0674686192,2002,2,1,926.9376,28.68,7022
PNP,PAN PAC RETAIL PPTYS INC,0.0142667551,2002,3,1,974.1248,30.14,7022
PNP,PAN PAC RETAIL PPTYS INC,0.036637226,2002,4,1,1017.30846,30.57,7022
PNP,PAN PAC RETAIL PPTYS INC,0.0146733985,2002,5,1,1054.57982,31.69,7022
PNP,PAN PAC RETAIL PPTYS INC,0.0789141414,2002,6,1,1055.00736,31.68,7022
