ticker,conm,ret,year,month,EW,VW,PW,n
PRTS,CARPARTS COM INC,,2007,2,1,,,9645
PRTS,CARPARTS COM INC,-0.538659794,2007,3,1,347.25612,11.64,9645
PRTS,CARPARTS COM INC,0.0800744879,2007,4,1,160.20321,5.37,9645
PRTS,CARPARTS COM INC,0.3689655172,2007,5,1,173.0314,5.8,9645
PRTS,CARPARTS COM INC,0.1914357683,2007,6,1,236.87402,7.94,9645
PRTS,CARPARTS COM INC,-0.06448203,2007,7,1,282.22018,9.46,9645
PRTS,CARPARTS COM INC,-0.055367232,2007,8,1,264.02205,8.85,9645
PRTS,CARPARTS COM INC,0.0418660287,2007,9,1,249.40388,8.36,9645
PRTS,CARPARTS COM INC,-0.035591274,2007,10,1,259.84543,8.71,9645
PRTS,CARPARTS COM INC,-0.011904762,2007,11,1,250.5972,8.4,9645
PRTS,CARPARTS COM INC,-0.022891566,2007,12,1,247.7301,8.3,9645
PRTS,CARPARTS COM INC,-0.263871763,2008,1,1,242.05917,8.11,9645
PRTS,CARPARTS COM INC,-0.177554439,2008,2,1,178.18659,5.97,9645
PRTS,CARPARTS COM INC,-0.348268839,2008,3,1,146.54877,4.91,9645
PRTS,CARPARTS COM INC,0.090625,2008,4,1,95.5104,3.2,9645
PRTS,CARPARTS COM INC,0.0630372493,2008,5,1,104.16603,3.49,9645
PRTS,CARPARTS COM INC,-0.02425876,2008,6,1,110.73237,3.71,9645
PRTS,CARPARTS COM INC,-0.08839779,2008,7,1,108.04614,3.62,9645
PRTS,CARPARTS COM INC,-0.218181818,2008,8,1,98.4951,3.3,9645
PRTS,CARPARTS COM INC,-0.166666667,2008,9,1,77.00526,2.58,9645
PRTS,CARPARTS COM INC,-0.051162791,2008,10,1,64.17105,2.15,9645
PRTS,CARPARTS COM INC,0.0196078431,2008,11,1,60.88788,2.04,9645
PRTS,CARPARTS COM INC,-0.331730769,2008,12,1,62.08176,2.08,9645
PRTS,CARPARTS COM INC,-0.021510791,2009,1,1,41.48733,1.39,9645
PRTS,CARPARTS COM INC,-0.036835527,2009,2,1,40.5949047,1.3601,9645
PRTS,CARPARTS COM INC,0.2213740458,2009,3,1,39.09957,1.31,9645
PRTS,CARPARTS COM INC,0.323125,2009,4,1,47.7552,1.6,9645
PRTS,CARPARTS COM INC,0.7005196032,2009,5,1,63.186099,2.117,9645
PRTS,CARPARTS COM INC,0.0472222222,2009,6,1,107.4492,3.6,9645
PRTS,CARPARTS COM INC,0.1697612732,2009,7,1,112.52319,3.77,9645
PRTS,CARPARTS COM INC,0.2358276644,2009,8,1,131.62527,4.41,9645
PRTS,CARPARTS COM INC,0,2009,9,1,162.66615,5.45,9645
PRTS,CARPARTS COM INC,-0.018348624,2009,10,1,162.66615,5.45,9645
PRTS,CARPARTS COM INC,-0.138317757,2009,11,1,159.70285,5.35,9645
PRTS,CARPARTS COM INC,0.1279826464,2009,12,1,137.61311,4.61,9645
PRTS,CARPARTS COM INC,0.1346153846,2010,1,1,155.2252,5.2,9645
PRTS,CARPARTS COM INC,0.0559322034,2010,2,1,176.2566,5.9,9645
