ticker,conm,ret,year,month,EW,VW,PW,n
PRWK,PRACTICEWORKS INC,,2001,2,1,,,8461
PRWK,PRACTICEWORKS INC,-0.275280899,2001,3,1,,8.9,8461
PRWK,PRACTICEWORKS INC,0.1550387597,2001,4,1,56.46975,6.45,8461
PRWK,PRACTICEWORKS INC,-0.061744966,2001,5,1,65.22475,7.45,8461
PRWK,PRACTICEWORKS INC,0.1874105866,2001,6,1,63.72783,6.99,8461
PRWK,PRACTICEWORKS INC,0.121686747,2001,7,1,75.6711,8.3,8461
PRWK,PRACTICEWORKS INC,-0.113856069,2001,8,1,84.87927,9.31,8461
PRWK,PRACTICEWORKS INC,-0.272727273,2001,9,1,75.21525,8.25,8461
PRWK,PRACTICEWORKS INC,0.1416666667,2001,10,1,54.702,6,8461
PRWK,PRACTICEWORKS INC,0.1678832117,2001,11,1,62.45145,6.85,8461
PRWK,PRACTICEWORKS INC,0.24625,2001,12,1,74.936,8,8461
PRWK,PRACTICEWORKS INC,-0.002006018,2002,1,1,93.38899,9.97,8461
PRWK,PRACTICEWORKS INC,0.040201005,2002,2,1,93.20165,9.95,8461
PRWK,PRACTICEWORKS INC,0.2657004831,2002,3,1,96.94845,10.35,8461
PRWK,PRACTICEWORKS INC,0.1435114504,2002,4,1,122.7077,13.1,8461
PRWK,PRACTICEWORKS INC,0.1141522029,2002,5,1,167.776,14.98,8461
PRWK,PRACTICEWORKS INC,0.1054523667,2002,6,1,194.20484,16.69,8461
PRWK,PRACTICEWORKS INC,-0.236856369,2002,7,1,321.2145,18.45,8461
PRWK,PRACTICEWORKS INC,0.0795454545,2002,8,1,245.1328,14.08,8461
PRWK,PRACTICEWORKS INC,0.1381578947,2002,9,1,267.8088,15.2,8461
PRWK,PRACTICEWORKS INC,-0.695953757,2002,10,1,304.8087,17.3,8461
PRWK,PRACTICEWORKS INC,0.1977186312,2002,11,1,92.67594,5.26,8461
PRWK,PRACTICEWORKS INC,0.253968254,2002,12,1,111.4344,6.3,8461
PRWK,PRACTICEWORKS INC,0.0594936709,2003,1,1,139.7352,7.9,8461
PRWK,PRACTICEWORKS INC,-0.023894863,2003,2,1,148.04856,8.37,8461
PRWK,PRACTICEWORKS INC,0.2570379437,2003,3,1,144.51096,8.17,8461
PRWK,PRACTICEWORKS INC,0.1460564752,2003,4,1,181.65576,10.27,8461
PRWK,PRACTICEWORKS INC,0.3806287171,2003,5,1,207.19908,11.77,8461
PRWK,PRACTICEWORKS INC,0.1895384615,2003,6,1,286.455,16.25,8461
PRWK,PRACTICEWORKS INC,0.1003621314,2003,7,1,340.74924,19.33,8461
PRWK,PRACTICEWORKS INC,0.0070521862,2003,8,1,374.94756,21.27,8461
PRWK,PRACTICEWORKS INC,0.0014005602,2003,9,1,383.54652,21.42,8461
PRWK,PRACTICEWORKS INC,0.0023310023,2003,10,1,388.6311,21.45,8461
PRWK,PRACTICEWORKS INC,0,2003,11,1,389.537,21.5,8461
