ticker,conm,ret,year,month,EW,VW,PW,n
PTE,POLARITYTE INC,1.1538461538,2000,1,1,7.304375,1.625,7917
PTE,POLARITYTE INC,0.1071428571,2000,2,1,15.7325,3.5,7917
PTE,POLARITYTE INC,-0.225806452,2000,3,1,17.418125,3.875,7917
PTE,POLARITYTE INC,0.1666666667,2000,4,1,13.485,3,7917
PTE,POLARITYTE INC,-0.642857143,2000,5,1,15.7325,3.5,7917
PTE,POLARITYTE INC,0.2,2000,6,1,5.61875,1.25,7917
PTE,POLARITYTE INC,1,2000,7,1,31.9395,1.5,7917
PTE,POLARITYTE INC,-0.062333333,2000,8,1,63.879,3,7917
PTE,POLARITYTE INC,-0.066832563,2000,9,1,60.516069,2.813,7917
PTE,POLARITYTE INC,-0.238095238,2000,10,1,56.471625,2.625,7917
PTE,POLARITYTE INC,-0.25,2000,11,1,43.026,2,7917
PTE,POLARITYTE INC,-0.374666667,2000,12,1,32.2695,1.5,7917
PTE,POLARITYTE INC,-0.200426439,2001,1,1,20.179194,0.938,7917
PTE,POLARITYTE INC,-0.333333333,2001,2,1,16.13475,0.75,7917
PTE,POLARITYTE INC,-0.22,2001,3,1,10.7565,0.5,7917
PTE,POLARITYTE INC,-0.615384615,2001,4,1,8.39007,0.39,7917
PTE,POLARITYTE INC,0.4666666667,2001,5,1,3.22695,0.15,7917
PTE,POLARITYTE INC,0,2001,6,1,4.73286,0.22,7917
PTE,POLARITYTE INC,0.8181818182,2001,7,1,4.73704,0.22,7917
PTE,POLARITYTE INC,-0.4,2001,8,1,8.6128,0.4,7917
PTE,POLARITYTE INC,-0.375,2001,9,1,5.16768,0.24,7917
PTE,POLARITYTE INC,-0.066666667,2001,10,1,3.2298,0.15,7917
PTE,POLARITYTE INC,0.0714285714,2001,11,1,3.01448,0.14,7917
PTE,POLARITYTE INC,-0.533333333,2001,12,1,3.27105,0.15,7917
PTE,POLARITYTE INC,-0.428571429,2002,1,1,1.52649,0.07,7917
