ticker,conm,ret,year,month,EW,VW,PW,n
PTSX.,POINT.360-OLD,-0.031818182,2000,1,1,126.54125,13.75,6848
PTSX.,POINT.360-OLD,0,2000,2,1,122.5149375,13.3125,6848
PTSX.,POINT.360-OLD,0.0704225352,2000,3,1,122.5149375,13.3125,6848
PTSX.,POINT.360-OLD,-0.429824561,2000,4,1,131.14275,14.25,6848
PTSX.,POINT.360-OLD,-0.184615385,2000,5,1,75.0425,8.125,6848
PTSX.,POINT.360-OLD,0.0566037736,2000,6,1,61.208375,6.625,6848
PTSX.,POINT.360-OLD,-0.214285714,2000,7,1,64.673,7,6848
PTSX.,POINT.360-OLD,-0.25,2000,8,1,50.8145,5.5,6848
PTSX.,POINT.360-OLD,0.3106060606,2000,9,1,37.95825,4.125,6848
PTSX.,POINT.360-OLD,-0.167630058,2000,10,1,49.7483125,5.40625,6848
PTSX.,POINT.360-OLD,-0.25,2000,11,1,41.409,4.5,6848
PTSX.,POINT.360-OLD,0.1203703704,2000,12,1,31.026375,3.375,6848
PTSX.,POINT.360-OLD,-0.008264463,2001,1,1,34.76103125,3.78125,6848
PTSX.,POINT.360-OLD,-0.233333333,2001,2,1,34.47375,3.75,6848
PTSX.,POINT.360-OLD,-0.47826087,2001,3,1,26.429875,2.875,6848
PTSX.,POINT.360-OLD,0,2001,4,1,13.7895,1.5,6848
PTSX.,POINT.360-OLD,1.3533333333,2001,5,1,13.569,1.5,6848
PTSX.,POINT.360-OLD,-0.433427762,2001,6,1,31.93238,3.53,6848
PTSX.,POINT.360-OLD,0.105,2001,7,1,18.092,2,6848
PTSX.,POINT.360-OLD,-0.43438914,2001,8,1,19.99166,2.21,6848
PTSX.,POINT.360-OLD,-0.456,2001,9,1,11.3075,1.25,6848
PTSX.,POINT.360-OLD,-0.220588235,2001,10,1,6.15128,0.68,6848
PTSX.,POINT.360-OLD,0.1320754717,2001,11,1,4.79438,0.53,6848
PTSX.,POINT.360-OLD,1.25,2001,12,1,5.4276,0.6,6848
PTSX.,POINT.360-OLD,0.0962962963,2002,1,1,12.2121,1.35,6848
PTSX.,POINT.360-OLD,-0.02027027,2002,2,1,13.38808,1.48,6848
PTSX.,POINT.360-OLD,0.3310344828,2002,3,1,13.1167,1.45,6848
PTSX.,POINT.360-OLD,0.5284974093,2002,4,1,17.45878,1.93,6848
PTSX.,POINT.360-OLD,-0.142372881,2002,5,1,26.52935,2.95,6848
PTSX.,POINT.360-OLD,-0.071541502,2002,6,1,22.80542,2.53,6848
PTSX.,POINT.360-OLD,-0.339719029,2002,7,1,21.173886,2.349,6848
PTSX.,POINT.360-OLD,0.1669890393,2002,8,1,13.980714,1.551,6848
PTSX.,POINT.360-OLD,-0.309392265,2002,9,1,16.31534,1.81,6848
PTSX.,POINT.360-OLD,0.88,2002,10,1,11.2675,1.25,6848
PTSX.,POINT.360-OLD,-0.132340426,2002,11,1,21.1829,2.35,6848
PTSX.,POINT.360-OLD,-0.102991663,2002,12,1,18.379546,2.039,6848
PTSX.,POINT.360-OLD,0.3012575178,2003,1,1,16.486606,1.829,6848
PTSX.,POINT.360-OLD,-0.096638655,2003,2,1,21.45332,2.38,6848
PTSX.,POINT.360-OLD,-0.106511628,2003,3,1,19.3801,2.15,6848
PTSX.,POINT.360-OLD,0.1348256117,2003,4,1,17.356235,1.921,6848
PTSX.,POINT.360-OLD,0.2105504587,2003,5,1,19.6963,2.18,6848
PTSX.,POINT.360-OLD,-0.052671466,2003,6,1,23.843365,2.639,6848
PTSX.,POINT.360-OLD,0.044,2003,7,1,22.5875,2.5,6848
PTSX.,POINT.360-OLD,0.061302682,2003,8,1,23.58135,2.61,6848
PTSX.,POINT.360-OLD,0.3537906137,2003,9,1,25.02695,2.77,6848
PTSX.,POINT.360-OLD,0.2586666667,2003,10,1,33.88125,3.75,6848
PTSX.,POINT.360-OLD,0.0487288136,2003,11,1,42.6452,4.72,6848
PTSX.,POINT.360-OLD,-0.094949495,2003,12,1,44.98065,4.95,6848
PTSX.,POINT.360-OLD,0.015625,2004,1,1,40.70976,4.48,6848
PTSX.,POINT.360-OLD,-0.043956044,2004,2,1,41.34585,4.55,6848
PTSX.,POINT.360-OLD,0,2004,3,1,39.52845,4.35,6848
PTSX.,POINT.360-OLD,-0.08045977,2004,4,1,39.8286,4.35,6848
