ticker,conm,ret,year,month,EW,VW,PW,n
PWI.1,PRIMEWEST ENERGY TRUST,,2002,11,1,,,7113
PWI.1,PRIMEWEST ENERGY TRUST,0.0310954774,2002,12,1,585.55352,15.92,7113
PWI.1,PRIMEWEST ENERGY TRUST,0.0713391089,2003,1,1,594.38096,16.16,7113
PWI.1,PRIMEWEST ENERGY TRUST,0.0356340176,2003,2,1,627.11605,17.05,7113
PWI.1,PRIMEWEST ENERGY TRUST,-0.022258769,2003,3,1,639.62159,17.39,7113
PWI.1,PRIMEWEST ENERGY TRUST,0.0529491931,2003,4,1,615.34613,16.73,7113
PWI.1,PRIMEWEST ENERGY TRUST,0.1625905421,2003,5,1,675.28896,17.34,7113
PWI.1,PRIMEWEST ENERGY TRUST,-0.052557625,2003,6,1,773.81728,19.87,7113
PWI.1,PRIMEWEST ENERGY TRUST,0.006533837,2003,7,1,721.63232,18.53,7113
PWI.1,PRIMEWEST ENERGY TRUST,0.0525428882,2003,8,1,717.34848,18.42,7113
PWI.1,PRIMEWEST ENERGY TRUST,-0.012719833,2003,9,1,846.33552,19.16,7113
PWI.1,PRIMEWEST ENERGY TRUST,0.0516008565,2003,10,1,885.31992,18.68,7113
PWI.1,PRIMEWEST ENERGY TRUST,0.0419505155,2003,11,1,919.4436,19.4,7113
PWI.1,PRIMEWEST ENERGY TRUST,0.0771365048,2003,12,1,946.45818,19.97,7113
PWI.1,PRIMEWEST ENERGY TRUST,-0.004789469,2004,1,1,1008.07038,21.27,7113
PWI.1,PRIMEWEST ENERGY TRUST,-0.118128585,2004,2,1,991.48248,20.92,7113
PWI.1,PRIMEWEST ENERGY TRUST,0.1225739321,2004,3,1,865.41444,18.26,7113
PWI.1,PRIMEWEST ENERGY TRUST,-0.109686854,2004,4,1,1007.5791,20.31,7113
PWI.1,PRIMEWEST ENERGY TRUST,-0.044578212,2004,5,1,991.1946,17.9,7113
PWI.1,PRIMEWEST ENERGY TRUST,0.0411382979,2004,6,1,941.14116,16.92,7113
PWI.1,PRIMEWEST ENERGY TRUST,0.0752059667,2004,7,1,969.50889,17.43,7113
PWI.1,PRIMEWEST ENERGY TRUST,0.0141245283,2004,8,1,1031.80665,18.55,7113
PWI.1,PRIMEWEST ENERGY TRUST,0.1503021505,2004,9,1,1045.6548,18.6,7113
PWI.1,PRIMEWEST ENERGY TRUST,0.0333336484,2004,10,1,1437.25068,21.16,7113
PWI.1,PRIMEWEST ENERGY TRUST,0.0299838113,2004,11,1,1489.63962,21.62,7113
PWI.1,PRIMEWEST ENERGY TRUST,0.018386921,2004,12,1,1521.07554,22.02,7113
PWI.1,PRIMEWEST ENERGY TRUST,0.0371735798,2005,1,1,1532.12786,22.18,7113
