ticker,conm,ret,year,month,EW,VW,PW,n
QNST,QUINSTREET INC,,2010,2,1,,,10120
QNST,QUINSTREET INC,0.1650684932,2010,3,1,655.7298,14.6,10120
QNST,QUINSTREET INC,-0.007054674,2010,4,1,763.97013,17.01,10120
QNST,QUINSTREET INC,-0.177619893,2010,5,1,758.58057,16.89,10120
QNST,QUINSTREET INC,-0.171346292,2010,6,1,625.92507,13.89,10120
QNST,QUINSTREET INC,0.0469157255,2010,7,1,518.67513,11.51,10120
QNST,QUINSTREET INC,-0.109543568,2010,8,1,543.00915,12.05,10120
QNST,QUINSTREET INC,0.3970177074,2010,9,1,483.52599,10.73,10120
QNST,QUINSTREET INC,0.036024016,2010,10,1,675.82415,14.99,10120
QNST,QUINSTREET INC,0.2878300064,2010,11,1,700.17005,15.53,10120
QNST,QUINSTREET INC,-0.0395,2010,12,1,908.06,20,10120
QNST,QUINSTREET INC,0.1717855284,2011,1,1,872.19163,19.21,10120
QNST,QUINSTREET INC,-0.031985784,2011,2,1,1022.02153,22.51,10120
QNST,QUINSTREET INC,0.0431390546,2011,3,1,1018.4646,21.79,10120
QNST,QUINSTREET INC,-0.204575451,2011,4,1,1062.4002,22.73,10120
QNST,QUINSTREET INC,-0.144911504,2011,5,1,845.0592,18.08,10120
QNST,QUINSTREET INC,-0.160413972,2011,6,1,725.56872,15.46,10120
QNST,QUINSTREET INC,-0.037750385,2011,7,1,609.17736,12.98,10120
QNST,QUINSTREET INC,-0.034427542,2011,8,1,586.18068,12.49,10120
QNST,QUINSTREET INC,-0.141791045,2011,9,1,573.56154,12.06,10120
QNST,QUINSTREET INC,0.1101449275,2011,10,1,492.23565,10.35,10120
QNST,QUINSTREET INC,-0.19408181,2011,11,1,546.93549,11.49,10120
QNST,QUINSTREET INC,0.0107991361,2011,12,1,441.16492,9.26,10120
QNST,QUINSTREET INC,0.0277777778,2012,1,1,445.92912,9.36,10120
QNST,QUINSTREET INC,0.0862785863,2012,2,1,458.31604,9.62,10120
QNST,QUINSTREET INC,0.0038277512,2012,3,1,471.84885,10.45,10120
QNST,QUINSTREET INC,0.0019065777,2012,4,1,473.65497,10.49,10120
QNST,QUINSTREET INC,-0.228353949,2012,5,1,474.55803,10.51,10120
QNST,QUINSTREET INC,0.1418002466,2012,6,1,358.22681,8.11,10120
QNST,QUINSTREET INC,-0.020518359,2012,7,1,409.02346,9.26,10120
QNST,QUINSTREET INC,-0.055126792,2012,8,1,400.63097,9.07,10120
QNST,QUINSTREET INC,-0.021003501,2012,9,1,366.4532,8.57,10120
QNST,QUINSTREET INC,-0.270560191,2012,10,1,358.77318,8.39,10120
QNST,QUINSTREET INC,0.0212418301,2012,11,1,261.70344,6.12,10120
QNST,QUINSTREET INC,0.0752,2012,12,1,267.3375,6.25,10120
