ticker,conm,ret,year,month,EW,VW,PW,n
RBPAA,ROYAL BANCSHARES/PA  -CL A,-0.127666667,2000,1,1,120.555,15,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,-0.048543689,2000,2,1,103.476375,12.875,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.0612244898,2000,3,1,98.45325,12.25,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.17,2000,4,1,104.715,13,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.025,2000,5,1,120.825,15,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.0894308943,2000,6,1,123.845625,15.375,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.0125373134,2000,7,1,135.12225,16.75,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.0410447761,2000,8,1,135.12225,16.75,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.0322580645,2000,9,1,140.6683125,17.4375,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,-0.089027778,2000,10,1,145.206,18,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,-0.065637066,2000,11,1,130.5845625,16.1875,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,-0.066115702,2000,12,1,122.013375,15.125,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.1893805389,2001,1,1,113.946375,14.125,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,-0.111875,2001,2,1,135.52,16,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.0178571429,2001,3,1,118.58,14,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.0077192982,2001,4,1,120.6975,14.25,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.2402826855,2001,5,1,121.53435,14.15,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,-0.007977208,2001,6,1,150.73695,17.55,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.0861573808,2001,7,1,149.53449,17.41,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.0588235294,2001,8,1,160.6143,18.7,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,-0.103535354,2001,9,1,174.7746,19.8,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.0056338028,2001,10,1,156.67925,17.75,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.0204081633,2001,11,1,155.70828,17.64,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.1194444444,2001,12,1,159.192,18,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.1310173632,2002,1,1,178.2066,20.15,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,-0.04744186,2002,2,1,201.5625,21.5,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,-0.012345679,2002,3,1,189.84375,20.25,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.0115,2002,4,1,187.5,20,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.0235,2002,5,1,190.38,20,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.0459208598,2002,6,1,194.8744,20.47,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,-0.052779075,2002,7,1,203.8232,21.41,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,-0.0040399,2002,8,1,190.876,20.05,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,-0.083579548,2002,9,1,190.404415,19.969,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.0191256831,2002,10,1,174.4905,18.3,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.0195439739,2002,11,1,175.6347,18.42,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,0.1395101171,2002,12,1,180.1941,18.78,2516
RBPAA,ROYAL BANCSHARES/PA  -CL A,-0.01283645,2003,1,1,205.333,21.4,2516
