ticker,conm,ret,year,month,EW,VW,PW,n
RGP.,REGENCY ENERGY PARTNERS LP,,2006,1,1,,,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0126198889,2006,2,1,,19.81,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.1016949153,2006,3,1,383.22624,20.06,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0357466063,2006,4,1,422.1984,22.1,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.016089996,2006,5,1,437.29056,22.89,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.013452915,2006,6,1,435.3183,22.3,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.1145454545,2006,7,1,429.462,22,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.011011419,2006,8,1,478.65492,24.52,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0117154812,2006,9,1,466.9104,23.9,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0752688172,2006,10,1,474.1698,24.18,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.05,2006,11,1,509.86,26,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0081693279,2006,12,1,528.0973,26.93,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0401473297,2007,1,1,532.4115,27.15,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.012393768,2007,2,1,553.7864,28.24,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.043241279,2007,3,1,539.6672,27.52,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0178503608,2007,4,1,516.3313,26.33,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.015671642,2007,5,1,746.2192,26.8,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.2761538462,2007,6,1,743.002,26,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0141651597,2007,7,1,948.18486,33.18,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.037741456,2007,8,1,1309.89355,33.65,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.08125,2007,9,1,1295.072,32,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0799319728,2007,10,1,1189.8474,29.4,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.016062992,2007,11,1,1284.95425,31.75,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0816855754,2007,12,1,1249.7952,30.85,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.056038358,2008,1,1,1351.88544,33.37,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.045714286,2008,2,1,1276.128,31.5,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.09844909,2008,3,1,1207.28064,29.66,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0295437547,2008,4,1,1088.42496,26.74,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.005448602,2008,5,1,1249.99965,27.53,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.098293769,2008,6,1,1226.86872,26.96,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0164541341,2008,7,1,1106.27517,24.31,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0265074868,2008,8,1,1129.86475,24.71,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.264044944,2008,9,1,1365.54124,24.92,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.212649945,2008,10,1,1005.05034,18.34,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.33968144,2008,11,1,791.32644,14.44,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.114411441,2008,12,1,498.27744,9.09,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.3093167702,2009,1,1,441.2688,8.05,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0166034156,2009,2,1,577.76064,10.54,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.2151898734,2009,3,1,562.96032,10.27,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0496794872,2009,4,1,1013.33856,12.48,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.001145038,2009,5,1,1063.6807,13.1,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.1518987342,2009,6,1,1026.21632,12.64,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.2156593407,2009,7,1,1182.09728,14.56,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.055084746,2009,8,1,1437.0276,17.7,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.2045454545,2009,9,1,1320.82896,16.28,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.002039776,2009,10,1,1590.99852,19.61,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0411343894,2009,11,1,1587.75324,19.57,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0511791269,2009,12,1,1616.66181,19.93,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.076372315,2010,1,1,1919.37615,20.95,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.038359202,2010,2,1,2065.96335,22.55,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0334274953,2010,3,1,1945.94508,21.24,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0337129841,2010,4,1,2045.1693,21.95,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0332745703,2010,5,1,2114.11806,22.69,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0504347826,2010,6,1,2143.416,23,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0844370861,2010,7,1,2251.51872,24.16,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.075381679,2010,8,1,2441.6304,26.2,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0294365013,2010,9,1,3207.18482,23.78,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0347222222,2010,10,1,3301.59312,24.48,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0302013423,2010,11,1,3416.23177,25.33,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0627680312,2010,12,1,3519.6417,25.65,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.025311812,2011,1,1,3740.56268,27.26,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0619119307,2011,2,1,3645.88226,26.57,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.016564638,2011,3,1,3812.68215,27.77,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0164774808,2011,4,1,3749.52645,27.31,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.076548991,2011,5,1,3811.3092,27.76,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0265978563,2011,6,1,3459.39308,25.19,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.016627997,2011,7,1,3551.40552,25.86,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.043255997,2011,8,1,3492.35276,25.43,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.061976549,2011,9,1,3482.75472,23.88,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0348214286,2011,10,1,3266.9056,22.4,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.012295082,2011,11,1,3612.46392,23.18,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0803998262,2011,12,1,3620.48544,23.01,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0406275141,2012,1,1,3911.57184,24.86,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0421337457,2012,2,1,4070.48928,25.87,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.072075472,2012,3,1,4169.616,26.5,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0239934933,2012,4,1,4142.11173,24.59,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.127084988,2012,5,1,4241.49546,25.18,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.1045539033,2012,6,1,3660.6596,21.52,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0075725705,2012,7,1,4043.39585,23.77,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.014613779,2012,8,1,4074.01475,23.95,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0077787381,2012,9,1,3936.43796,23.14,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.011149228,2012,10,1,3967.05848,23.32,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.009973981,2012,11,1,3922.82884,23.06,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.030844882,2012,12,1,3820.90785,22.37,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.1402214022,2013,1,1,3703.0524,21.68,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.019012945,2013,2,1,4222.2996,24.72,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0542244641,2013,3,1,4063.45095,23.79,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0406698565,2013,4,1,4287.47616,25.08,9317
RGP.,REGENCY ENERGY PARTNERS LP,0,2013,5,1,4461.8472,26.1,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0518720749,2013,6,1,5188.1258,25.64,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0378197998,2013,7,1,5457.24465,26.97,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.017684887,2013,8,1,5663.63655,27.99,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0580836108,2013,9,1,5672.94828,27.03,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.092307692,2013,10,1,6002.4536,28.6,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.043546489,2013,11,1,5370.87045,25.49,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0771123872,2013,12,1,5137.2317,24.38,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0445544554,2014,1,1,5536.921,26.26,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.025701786,2014,2,1,5783.6155,27.43,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.036952381,2014,3,1,5640.915,26.25,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0007347539,2014,4,1,9671.04824,27.22,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0381791483,2014,5,1,9678.15408,27.24,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.1586330935,2014,6,1,9912.0344,27.8,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.063334368,2014,7,1,11518.74694,32.21,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.109380179,2014,8,1,11472.95709,30.17,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.010915706,2014,9,1,13116.27792,32.98,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.080318823,2014,10,1,12973.10448,32.62,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.033583333,2014,11,1,11931.12,30,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.157599158,2014,12,1,11502.18223,28.49,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0691666667,2015,1,1,9689.448,24,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.029910366,2015,2,1,10456.8349,25.66,9317
RGP.,REGENCY ENERGY PARTNERS LP,-0.062320623,2015,3,1,10022.50953,24.39,9317
RGP.,REGENCY ENERGY PARTNERS LP,0.0262352427,2015,4,1,9415.76196,22.87,9317
