ticker,conm,ret,year,month,EW,VW,PW,n
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.0869565217,2000,1,1,67.367,11.5,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,-0.12,2000,2,1,73.225,12.5,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,-0.164772727,2000,3,1,64.438,11,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.2380952381,2000,4,1,53.820375,9.1875,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,-0.10989011,2000,5,1,68.614,11.375,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.037037037,2000,6,1,61.074,10.125,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,-0.047619048,2000,7,1,63.525,10.5,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,-0.04375,2000,8,1,60.5,10,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.2026143791,2000,9,1,57.853125,9.5625,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,-0.065217391,2000,10,1,69.69,11.5,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.0930232558,2000,11,1,65.145,10.75,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.3404255319,2000,12,1,71.205,11.75,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.1349206349,2001,1,1,95.445,15.75,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.3216783217,2001,2,1,108.3225,17.875,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.0211640212,2001,3,1,143.1675,23.625,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.1135751295,2001,4,1,146.1975,24.125,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.0831937465,2001,5,1,168.55101,17.91,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.3453608247,2001,6,1,183.0778,19.4,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,-0.080842912,2001,7,1,246.3057,26.1,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,-0.08336807,2001,8,1,226.39363,23.99,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.412005457,2001,9,1,212.77524,21.99,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.1198067633,2001,10,1,300.4398,31.05,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,-0.178602243,2001,11,1,336.43452,34.77,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,-0.091386555,2001,12,1,276.34656,19.04,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.1994219653,2002,1,1,251.0922,17.3,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.206746988,2002,2,1,301.1655,20.75,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.0111821086,2002,3,1,363.43056,25.04,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.0545023697,2002,4,1,367.49448,25.32,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.0329588015,2002,5,1,401.4345,26.7,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,-0.046446701,2002,6,1,415.65818,27.58,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,-0.144454162,2002,7,1,396.352229,26.299,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,-0.028888889,2002,8,1,339.0975,22.5,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.1276887872,2002,9,1,329.95685,21.85,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,-0.197646104,2002,10,1,372.08864,24.64,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,-0.070561457,2002,11,1,298.55336,13.18,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.0816326531,2002,12,1,277.74425,12.25,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.0339622642,2003,1,1,300.41725,13.25,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,-0.142335766,2003,2,1,310.6201,13.7,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.1055319149,2003,3,1,266.40775,11.75,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,-0.037721324,2003,4,1,294.70413,12.99,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.0392,2003,5,1,283.5875,12.5,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,-0.02617398,2003,6,1,294.96393,12.99,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.1130434783,2003,7,1,287.24355,12.65,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.0063920455,2003,8,1,319.71456,14.08,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.2759350741,2003,9,1,322.80677,14.17,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,-0.001659292,2003,10,1,412.1336,18.08,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,-0.009972299,2003,11,1,411.44975,18.05,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.0442081701,2003,12,1,407.82914,17.87,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0.0042872454,2004,1,1,425.89584,18.66,1889
RHT.2,RIGHT MANAGEMENT CONSULTANTS,0,2004,2,1,427.98412,18.74,1889
