ticker,conm,ret,year,month,EW,VW,PW,n
RICE.,RICE ENERGY INC,,2014,1,1,,,2844
RICE.,RICE ENERGY INC,0.0204081633,2014,2,1,2999.36448,23.52,2844
RICE.,RICE ENERGY INC,0.0995833333,2014,3,1,3060.576,24,2844
RICE.,RICE ENERGY INC,0.1254262978,2014,4,1,3376.83801,26.39,2844
RICE.,RICE ENERGY INC,0.0683501684,2014,5,1,3800.3823,29.7,2844
RICE.,RICE ENERGY INC,-0.040340372,2014,6,1,4068.16676,31.73,2844
RICE.,RICE ENERGY INC,-0.136288998,2014,7,1,3904.0554,30.45,2844
RICE.,RICE ENERGY INC,0.1133079848,2014,8,1,3383.6265,26.3,2844
RICE.,RICE ENERGY INC,-0.091530055,2014,9,1,3989.86848,29.28,2844
RICE.,RICE ENERGY INC,-0.006390977,2014,10,1,3624.6756,26.6,2844
RICE.,RICE ENERGY INC,-0.057888763,2014,11,1,3601.51038,26.43,2844
RICE.,RICE ENERGY INC,-0.157831325,2014,12,1,3393.3969,24.9,2844
RICE.,RICE ENERGY INC,-0.1855031,2015,1,1,2857.81257,20.97,2844
RICE.,RICE ENERGY INC,0.1463700234,2015,2,1,2327.67948,17.08,2844
RICE.,RICE ENERGY INC,0.1113381001,2015,3,1,2668.38198,19.58,2844
RICE.,RICE ENERGY INC,0.1318933824,2015,4,1,2965.84448,21.76,2844
RICE.,RICE ENERGY INC,-0.109622412,2015,5,1,3357.01974,24.63,2844
RICE.,RICE ENERGY INC,-0.050159599,2015,6,1,2989.14672,21.93,2844
RICE.,RICE ENERGY INC,-0.133461354,2015,7,1,2839.21232,20.83,2844
RICE.,RICE ENERGY INC,0.0775623269,2015,8,1,2460.2872,18.05,2844
RICE.,RICE ENERGY INC,-0.169151671,2015,9,1,2652.8633,19.45,2844
RICE.,RICE ENERGY INC,-0.055693069,2015,10,1,2204.12704,16.16,2844
RICE.,RICE ENERGY INC,-0.116644823,2015,11,1,2081.37244,15.26,2844
RICE.,RICE ENERGY INC,-0.191394659,2015,12,1,1838.45632,13.48,2844
RICE.,RICE ENERGY INC,0.0706422018,2016,1,1,1486.5856,10.9,2844
RICE.,RICE ENERGY INC,-0.215081405,2016,2,1,1591.60128,11.67,2844
RICE.,RICE ENERGY INC,0.5240174672,2016,3,1,1249.35072,9.16,2844
RICE.,RICE ENERGY INC,0.2399713467,2016,4,1,1904.03232,13.96,2844
RICE.,RICE ENERGY INC,0.1698440208,2016,5,1,2708.58225,17.31,2844
RICE.,RICE ENERGY INC,0.0883950617,2016,6,1,3168.61875,20.25,2844
RICE.,RICE ENERGY INC,0.058076225,2016,7,1,3448.709,22.04,2844
RICE.,RICE ENERGY INC,0.127787307,2016,8,1,3648.997,23.32,2844
RICE.,RICE ENERGY INC,-0.007224335,2016,9,1,4118.1855,26.3,2844
RICE.,RICE ENERGY INC,-0.153963998,2016,10,1,5132.33826,26.11,2844
RICE.,RICE ENERGY INC,0.102308737,2016,11,1,4342.14294,22.09,2844
RICE.,RICE ENERGY INC,-0.123203285,2016,12,1,4933.09085,24.35,2844
RICE.,RICE ENERGY INC,-0.071194379,2017,1,1,4325.31785,21.35,2844
RICE.,RICE ENERGY INC,-0.059505799,2017,2,1,4017.37953,19.83,2844
RICE.,RICE ENERGY INC,0.2707774799,2017,3,1,3778.32215,18.65,2844
RICE.,RICE ENERGY INC,-0.101687764,2017,4,1,4823.2107,23.7,2844
RICE.,RICE ENERGY INC,-0.060591827,2017,5,1,4365.49321,21.29,2844
RICE.,RICE ENERGY INC,0.3315,2017,6,1,4101.22,20,2844
RICE.,RICE ENERGY INC,0.0503191889,2017,7,1,5498.16295,26.63,2844
RICE.,RICE ENERGY INC,-0.021809081,2017,8,1,5774.82605,27.97,2844
RICE.,RICE ENERGY INC,0.057748538,2017,9,1,5849.51328,27.36,2844
RICE.,RICE ENERGY INC,-0.020387008,2017,10,1,6187.31412,28.94,2844
RICE.,RICE ENERGY INC,0.037622575,2017,11,1,6462.58095,28.35,2844
