ticker,conm,ret,year,month,EW,VW,PW,n
RM,REGIONAL MANAGEMENT CORP,,2012,3,1,,,10336
RM,REGIONAL MANAGEMENT CORP,0.006547619,2012,4,1,206.8416,16.8,10336
RM,REGIONAL MANAGEMENT CORP,-0.127735068,2012,5,1,208.19592,16.91,10336
RM,REGIONAL MANAGEMENT CORP,0.1152542373,2012,6,1,184.18325,14.75,10336
RM,REGIONAL MANAGEMENT CORP,-0.082674772,2012,7,1,205.41115,16.45,10336
RM,REGIONAL MANAGEMENT CORP,0.112657389,2012,8,1,188.42883,15.09,10336
RM,REGIONAL MANAGEMENT CORP,0.0273972603,2012,9,1,209.65673,16.79,10336
RM,REGIONAL MANAGEMENT CORP,0.0133333333,2012,10,1,215.40075,17.25,10336
RM,REGIONAL MANAGEMENT CORP,0.0011441648,2012,11,1,218.27276,17.48,10336
RM,REGIONAL MANAGEMENT CORP,-0.054285714,2012,12,1,218.5225,17.5,10336
RM,REGIONAL MANAGEMENT CORP,0.0151057402,2013,1,1,206.65985,16.55,10336
RM,REGIONAL MANAGEMENT CORP,0.069047619,2013,2,1,209.7816,16.8,10336
RM,REGIONAL MANAGEMENT CORP,0.1247216036,2013,3,1,224.26652,17.96,10336
RM,REGIONAL MANAGEMENT CORP,0.0732673267,2013,4,1,252.2374,20.2,10336
RM,REGIONAL MANAGEMENT CORP,0.0885608856,2013,5,1,270.71816,21.68,10336
RM,REGIONAL MANAGEMENT CORP,0.0593220339,2013,6,1,297.006,23.6,10336
RM,REGIONAL MANAGEMENT CORP,0.2364,2013,7,1,314.625,25,10336
RM,REGIONAL MANAGEMENT CORP,-0.110967324,2013,8,1,389.00235,30.91,10336
RM,REGIONAL MANAGEMENT CORP,0.1572052402,2013,9,1,345.89076,27.48,10336
RM,REGIONAL MANAGEMENT CORP,0.0066037736,2013,10,1,400.2666,31.8,10336
RM,REGIONAL MANAGEMENT CORP,0.0506091846,2013,11,1,402.90987,32.01,10336
RM,REGIONAL MANAGEMENT CORP,0.0089206066,2013,12,1,424.17519,33.63,10336
RM,REGIONAL MANAGEMENT CORP,-0.02063071,2014,1,1,429.24843,33.93,10336
RM,REGIONAL MANAGEMENT CORP,-0.091784532,2014,2,1,420.39273,33.23,10336
RM,REGIONAL MANAGEMENT CORP,-0.182902584,2014,3,1,381.80718,30.18,10336
RM,REGIONAL MANAGEMENT CORP,-0.377939984,2014,4,1,311.99832,24.66,10336
RM,REGIONAL MANAGEMENT CORP,-0.061929596,2014,5,1,194.34246,15.34,10336
RM,REGIONAL MANAGEMENT CORP,0.0750521195,2014,6,1,182.78178,14.39,10336
RM,REGIONAL MANAGEMENT CORP,0.0510665805,2014,7,1,196.49994,15.47,10336
RM,REGIONAL MANAGEMENT CORP,0.0455104551,2014,8,1,206.53452,16.26,10336
RM,REGIONAL MANAGEMENT CORP,0.0558823529,2014,9,1,216.138,17,10336
RM,REGIONAL MANAGEMENT CORP,-0.350417827,2014,10,1,228.2163,17.95,10336
RM,REGIONAL MANAGEMENT CORP,0.1629502573,2014,11,1,148.26856,11.66,10336
RM,REGIONAL MANAGEMENT CORP,0.1659292035,2014,12,1,172.79508,13.56,10336
RM,REGIONAL MANAGEMENT CORP,-0.080961417,2015,1,1,201.46683,15.81,10336
RM,REGIONAL MANAGEMENT CORP,0.0736407433,2015,2,1,185.15579,14.53,10336
RM,REGIONAL MANAGEMENT CORP,-0.053846154,2015,3,1,198.7908,15.6,10336
RM,REGIONAL MANAGEMENT CORP,0.0941734417,2015,4,1,189.72504,14.76,10336
RM,REGIONAL MANAGEMENT CORP,0.0786377709,2015,5,1,207.4952,16.15,10336
RM,REGIONAL MANAGEMENT CORP,0.0252583238,2015,6,1,224.24766,17.42,10336
RM,REGIONAL MANAGEMENT CORP,0.0817469205,2015,7,1,229.91178,17.86,10336
RM,REGIONAL MANAGEMENT CORP,-0.145962733,2015,8,1,249.01548,19.32,10336
RM,REGIONAL MANAGEMENT CORP,-0.060606061,2015,9,1,212.751,16.5,10336
RM,REGIONAL MANAGEMENT CORP,0.0522580645,2015,10,1,199.857,15.5,10336
RM,REGIONAL MANAGEMENT CORP,-0.037400368,2015,11,1,210.62734,16.31,10336
RM,REGIONAL MANAGEMENT CORP,-0.014649682,2015,12,1,202.7498,15.7,10336
RM,REGIONAL MANAGEMENT CORP,-0.142857143,2016,1,1,199.77958,15.47,10336
RM,REGIONAL MANAGEMENT CORP,0.1538461538,2016,2,1,171.23964,13.26,10336
RM,REGIONAL MANAGEMENT CORP,0.1183006536,2016,3,1,196.4826,15.3,10336
RM,REGIONAL MANAGEMENT CORP,-0.034482759,2016,4,1,219.72662,17.11,10336
RM,REGIONAL MANAGEMENT CORP,0.0332929782,2016,5,1,198.19044,16.52,10336
RM,REGIONAL MANAGEMENT CORP,-0.141183363,2016,6,1,204.78879,17.07,10336
RM,REGIONAL MANAGEMENT CORP,0.2824010914,2016,7,1,167.3439,14.66,10336
