ticker,conm,ret,year,month,EW,VW,PW,n
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0,2000,1,1,13.65,5.25,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.142857143,2000,2,1,13.30875,5.25,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.2083333333,2000,3,1,11.4075,4.5,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.0344827586,2000,4,1,13.7840625,5.4375,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.111111111,2000,5,1,14.259375,5.625,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.05,2000,6,1,12.675,5,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.0131578947,2000,7,1,12.04125,4.75,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.207792208,2000,8,1,9.4180625,4.8125,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.0491803279,2000,9,1,7.4610625,3.8125,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.015625,2000,10,1,7.828,4,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.174603175,2000,11,1,7.7056875,3.9375,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.0576923077,2000,12,1,6.36025,3.25,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.4545454545,2001,1,1,6.7271875,3.4375,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.0125,2001,2,1,9.785,5,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.3037974684,2001,3,1,9.6626875,4.9375,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.0252427184,2001,4,1,12.5981875,6.4375,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.0984848485,2001,5,1,12.9426,6.6,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.2827586207,2001,6,1,13.4705,7.25,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.112903226,2001,7,1,17.2329,9.3,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.012121212,2001,8,1,15.28725,8.25,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.1190184049,2001,9,1,15.10195,8.15,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.2072368421,2001,10,1,16.89936,9.12,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.3151680291,2001,11,1,20.20335,11.01,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.015883978,2001,12,1,26.5708,14.48,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.024561404,2002,1,1,26.14875,14.25,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.047446043,2002,2,1,25.7984,13.9,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.450096152,2002,3,1,24.574368,13.2405,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.072777778,2002,4,1,35.64,14.4,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.158313361,2002,5,1,33.0462,13.352,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.061504511,2002,6,1,27.8370214,11.2382,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.175120887,2002,7,1,26.325312,10.547,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.0229885057,2002,8,1,21.7152,8.7,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.011258427,2002,9,1,22.2144,8.9,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.111130864,2002,10,1,22.4644992,9.0002,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.119125,2002,11,1,19.992,8,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.1535405137,2002,12,1,17.610453,7.047,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.274203469,2003,1,1,20.314371,8.129,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.1525423729,2003,2,1,14.7441,5.9,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.014705882,2003,3,1,16.9932,6.8,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.1970149254,2003,4,1,16.7433,6.7,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.03117207,2003,5,1,20.04198,8.02,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.0296010296,2003,6,1,19.41723,7.77,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.14375,2003,7,1,20.232,8,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.0683060109,2003,8,1,23.14035,9.15,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.1792783505,2003,9,1,24.5313,9.7,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,-0.003321969,2003,10,1,28.929231,11.439,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.0596658188,2003,11,1,28.924337,11.401,1737
RMCF,ROCKY MOUNTAIN CHOC FACT INC,0.0624166667,2003,12,1,30.444,12,1737
