ticker,conm,ret,year,month,EW,VW,PW,n
RNIC,ROBINSON NUGENT INC,-0.134615385,2000,1,1,64.116,13,1307
RNIC,ROBINSON NUGENT INC,0.4,2000,2,1,55.9125,11.25,1307
RNIC,ROBINSON NUGENT INC,-0.007936508,2000,3,1,78.2775,15.75,1307
RNIC,ROBINSON NUGENT INC,-0.12,2000,4,1,77.65625,15.625,1307
RNIC,ROBINSON NUGENT INC,-0.172727273,2000,5,1,68.3375,13.75,1307
RNIC,ROBINSON NUGENT INC,0.0989010989,2000,6,1,57.85325,11.375,1307
RNIC,ROBINSON NUGENT INC,0.14,2000,7,1,63.575,12.5,1307
RNIC,ROBINSON NUGENT INC,0.1885964912,2000,8,1,72.4755,14.25,1307
RNIC,ROBINSON NUGENT INC,0.0036900369,2000,9,1,86.144125,16.9375,1307
RNIC,ROBINSON NUGENT INC,0.0955882353,2000,10,1,86.462,17,1307
RNIC,ROBINSON NUGENT INC,0.0134228188,2000,11,1,94.72675,18.625,1307
RNIC,ROBINSON NUGENT INC,0.2152317881,2000,12,1,95.99825,18.875,1307
RNIC,ROBINSON NUGENT INC,-0.084468665,2001,1,1,116.660125,22.9375,1307
RNIC,ROBINSON NUGENT INC,0.0243714286,2001,2,1,106.806,21,1307
RNIC,ROBINSON NUGENT INC,0,2001,3,1,109.349,21.5,1307
