ticker,conm,ret,year,month,EW,VW,PW,n
ROP,ROPER TECHNOLOGIES INC,-0.110545455,2000,1,1,1145.945625,37.8125,3726
ROP,ROPER TECHNOLOGIES INC,-0.188081937,2000,2,1,1018.1184375,33.5625,3726
ROP,ROPER TECHNOLOGIES INC,0.245412844,2000,3,1,828.509,27.25,3726
ROP,ROPER TECHNOLOGIES INC,-0.069760589,2000,4,1,1031.83575,33.9375,3726
ROP,ROPER TECHNOLOGIES INC,0.119047619,2000,5,1,957.726,31.5,3726
ROP,ROPER TECHNOLOGIES INC,-0.273049645,2000,6,1,1071.741,35.25,3726
ROP,ROPER TECHNOLOGIES INC,0.0807804878,2000,7,1,781.61375,25.625,3726
ROP,ROPER TECHNOLOGIES INC,0.1719457014,2000,8,1,842.61775,27.625,3726
ROP,ROPER TECHNOLOGIES INC,0.0250965251,2000,9,1,987.50225,32.375,3726
ROP,ROPER TECHNOLOGIES INC,0.0567231638,2000,10,1,1012.285125,33.1875,3726
ROP,ROPER TECHNOLOGIES INC,-0.117857143,2000,11,1,1067.57,35,3726
ROP,ROPER TECHNOLOGIES INC,0.0708502024,2000,12,1,941.74925,30.875,3726
ROP,ROPER TECHNOLOGIES INC,0.1606805293,2001,1,1,1008.472375,33.0625,3726
ROP,ROPER TECHNOLOGIES INC,0.0125326371,2001,2,1,1168.2266,38.3,3726
ROP,ROPER TECHNOLOGIES INC,-0.076843734,2001,3,1,1188.45188,38.78,3726
ROP,ROPER TECHNOLOGIES INC,0.1696927374,2001,4,1,1097.807,35.8,3726
ROP,ROPER TECHNOLOGIES INC,-0.01722488,2001,5,1,1281.797,41.8,3726
ROP,ROPER TECHNOLOGIES INC,0.0163096397,2001,6,1,1259.7182,41.08,3726
ROP,ROPER TECHNOLOGIES INC,-0.091616766,2001,7,1,1288.8225,41.75,3726
ROP,ROPER TECHNOLOGIES INC,0.0832232497,2001,8,1,1168.4295,37.85,3726
ROP,ROPER TECHNOLOGIES INC,-0.122195122,2001,9,1,1265.67,41,3726
ROP,ROPER TECHNOLOGIES INC,0.1801889414,2001,10,1,1110.75937,35.99,3726
ROP,ROPER TECHNOLOGIES INC,-0.009433962,2001,11,1,1308.5912,42.4,3726
ROP,ROPER TECHNOLOGIES INC,0.1785714286,2001,12,1,1296.246,42,3726
ROP,ROPER TECHNOLOGIES INC,0.0115656566,2002,1,1,1527.7185,49.5,3726
ROP,ROPER TECHNOLOGIES INC,-0.064812963,2002,2,1,1553.13931,49.99,3726
ROP,ROPER TECHNOLOGIES INC,0.0639572193,2002,3,1,1456.543,46.75,3726
ROP,ROPER TECHNOLOGIES INC,-0.073733414,2002,4,1,1551.83826,49.74,3726
ROP,ROPER TECHNOLOGIES INC,-0.151989563,2002,5,1,1434.84201,45.99,3726
ROP,ROPER TECHNOLOGIES INC,-0.043589744,2002,6,1,1216.761,39,3726
ROP,ROPER TECHNOLOGIES INC,-0.200201072,2002,7,1,1166.7813,37.3,3726
ROP,ROPER TECHNOLOGIES INC,0.1680672269,2002,8,1,930.60975,29.75,3726
ROP,ROPER TECHNOLOGIES INC,-0.007194245,2002,9,1,1087.01475,34.75,3726
ROP,ROPER TECHNOLOGIES INC,0.1212318841,2002,10,1,1080.6435,34.5,3726
ROP,ROPER TECHNOLOGIES INC,0.0922279793,2002,11,1,1209.0678,38.6,3726
ROP,ROPER TECHNOLOGIES INC,-0.131878558,2002,12,1,1320.57768,42.16,3726
ROP,ROPER TECHNOLOGIES INC,-0.046516393,2003,1,1,1146.4218,36.6,3726
ROP,ROPER TECHNOLOGIES INC,-0.171215168,2003,2,1,1091.85046,34.81,3726
ROP,ROPER TECHNOLOGIES INC,0,2003,3,1,905.89,28.85,3726
ROP,ROPER TECHNOLOGIES INC,0.0633448873,2003,4,1,941.86595,28.85,3726
ROP,ROPER TECHNOLOGIES INC,0.1994115724,2003,5,1,998.67173,30.59,3726
ROP,ROPER TECHNOLOGIES INC,0.0139002453,2003,6,1,1197.81843,36.69,3726
ROP,ROPER TECHNOLOGIES INC,0.0749327957,2003,7,1,1171.9488,37.2,3726
ROP,ROPER TECHNOLOGIES INC,0.0696741855,2003,8,1,1257.0096,39.9,3726
ROP,ROPER TECHNOLOGIES INC,0.0203842549,2003,9,1,1344.59072,42.68,3726
ROP,ROPER TECHNOLOGIES INC,0.1367967853,2003,10,1,1380.3608,43.55,3726
ROP,ROPER TECHNOLOGIES INC,0.0145690004,2003,11,1,1566.41632,49.42,3726
ROP,ROPER TECHNOLOGIES INC,-0.017550858,2003,12,1,1587.63296,50.14,3726
ROP,ROPER TECHNOLOGIES INC,-0.013677426,2004,1,1,1774.14816,49.26,3726
ROP,ROPER TECHNOLOGIES INC,0.0012373685,2004,2,1,1746.41584,48.49,3726
ROP,ROPER TECHNOLOGIES INC,-0.006179197,2004,3,1,1748.5768,48.55,3726
ROP,ROPER TECHNOLOGIES INC,0.0082124352,2004,4,1,1773.62175,48.25,3726
ROP,ROPER TECHNOLOGIES INC,0.0906282183,2004,5,1,1786.9313,48.55,3726
ROP,ROPER TECHNOLOGIES INC,0.074598678,2004,6,1,1948.8777,52.95,3726
ROP,ROPER TECHNOLOGIES INC,-0.014125659,2004,7,1,2094.2614,56.9,3726
ROP,ROPER TECHNOLOGIES INC,-0.015178571,2004,8,1,2061.136,56,3726
ROP,ROPER TECHNOLOGIES INC,0.0418857661,2004,9,1,2040.93605,55.15,3726
ROP,ROPER TECHNOLOGIES INC,0.0747694048,2004,10,1,2126.42222,57.46,3726
ROP,ROPER TECHNOLOGIES INC,-0.001783977,2004,11,1,2281.85162,61.66,3726
ROP,ROPER TECHNOLOGIES INC,-0.012672624,2004,12,1,2287.01335,61.55,3726
ROP,ROPER TECHNOLOGIES INC,-0.042845977,2005,1,1,2560.48318,60.77,3726
ROP,ROPER TECHNOLOGIES INC,0.1126420944,2005,2,1,2446.30004,58.06,3726
ROP,ROPER TECHNOLOGIES INC,0.0139318885,2005,3,1,2721.8564,64.6,3726
ROP,ROPER TECHNOLOGIES INC,0.0347519084,2005,4,1,2782.309,65.5,3726
ROP,ROPER TECHNOLOGIES INC,0.0329540417,2005,5,1,2879.15549,67.67,3726
ROP,ROPER TECHNOLOGIES INC,0.0210300429,2005,6,1,2977.8099,69.9,3726
ROP,ROPER TECHNOLOGIES INC,0.0768705338,2005,7,1,3040.43337,71.37,3726
ROP,ROPER TECHNOLOGIES INC,0.0037785016,2005,8,1,3269.62675,76.75,3726
ROP,ROPER TECHNOLOGIES INC,0.0199896158,2005,9,1,3296.69568,38.52,3726
