ticker,conm,ret,year,month,EW,VW,PW,n
ROST,ROSS STORES INC,-0.289198606,2000,1,1,1588.2400625,17.9375,1316
ROST,ROSS STORES INC,0.137254902,2000,2,1,1128.92325,12.75,1316
ROST,ROSS STORES INC,0.6620689655,2000,3,1,1283.8735,14.5,1316
ROST,ROSS STORES INC,-0.137662338,2000,4,1,2130.5659375,24.0625,1316
ROST,ROSS STORES INC,0.0180722892,2000,5,1,1837.26725,20.75,1316
ROST,ROSS STORES INC,-0.190532544,2000,6,1,1780.62625,21.125,1316
ROST,ROSS STORES INC,-0.098901099,2000,7,1,1415.6244375,17.0625,1316
ROST,ROSS STORES INC,-0.016260163,2000,8,1,1275.617625,15.375,1316
ROST,ROSS STORES INC,-0.047107438,2000,9,1,1254.875875,15.125,1316
ROST,ROSS STORES INC,-0.082608696,2000,10,1,1192.650625,14.375,1316
ROST,ROSS STORES INC,0.1687203791,2000,11,1,1094.1273125,13.1875,1316
ROST,ROSS STORES INC,0.0975609756,2000,12,1,1275.617625,15.375,1316
ROST,ROSS STORES INC,0.3555555556,2001,1,1,1400.068125,16.875,1316
ROST,ROSS STORES INC,-0.08010929,2001,2,1,1897.870125,22.875,1316
ROST,ROSS STORES INC,-0.107142857,2001,3,1,1742.307,21,1316
ROST,ROSS STORES INC,0.1722666667,2001,4,1,1555.63125,18.75,1316
ROST,ROSS STORES INC,0.0878070974,2001,5,1,1770.489,21.98,1316
ROST,ROSS STORES INC,0.0016729402,2001,6,1,1925.9505,23.91,1316
ROST,ROSS STORES INC,-0.017954071,2001,7,1,1915.3773,23.95,1316
ROST,ROSS STORES INC,0.2475552721,2001,8,1,1880.98848,23.52,1316
ROST,ROSS STORES INC,-0.001706485,2001,9,1,2343.2382,29.3,1316
ROST,ROSS STORES INC,0.0700854701,2001,10,1,2340.4095,29.25,1316
ROST,ROSS STORES INC,-0.098722045,2001,11,1,2504.4382,31.3,1316
ROST,ROSS STORES INC,0.1386919532,2001,12,1,2257.19494,28.21,1316
ROST,ROSS STORES INC,0.1324812968,2002,1,1,2551.0016,32.08,1316
ROST,ROSS STORES INC,-0.006124415,2002,2,1,2888.9616,36.33,1316
ROST,ROSS STORES INC,0.0490848586,2002,3,1,2867.4912,36.06,1316
ROST,ROSS STORES INC,0.0734866508,2002,4,1,3008.2416,37.83,1316
ROST,ROSS STORES INC,0.0381679389,2002,5,1,3212.37283,40.61,1316
ROST,ROSS STORES INC,-0.032317362,2002,6,1,3334.98248,42.16,1316
ROST,ROSS STORES INC,-0.075828221,2002,7,1,3203.64275,40.75,1316
ROST,ROSS STORES INC,-0.039896442,2002,8,1,2960.71622,37.66,1316
ROST,ROSS STORES INC,-0.013015785,2002,9,1,2838.85987,36.11,1316
ROST,ROSS STORES INC,0.1742424242,2002,10,1,2771.79408,35.64,1316
ROST,ROSS STORES INC,0.1051373955,2002,11,1,3254.7582,41.85,1316
ROST,ROSS STORES INC,-0.082432432,2002,12,1,3596.955,46.25,1316
ROST,ROSS STORES INC,-0.079735787,2003,1,1,3287.3445,42.39,1316
ROST,ROSS STORES INC,-0.121571392,2003,2,1,3025.2255,39.01,1316
ROST,ROSS STORES INC,0.0555685472,2003,3,1,2652.9855,34.21,1316
ROST,ROSS STORES INC,0.049264767,2003,4,1,2800.40805,36.111,1316
ROST,ROSS STORES INC,0.1142781737,2003,5,1,2921.81157,37.89,1316
ROST,ROSS STORES INC,0.0188891521,2003,6,1,3238.274,42.22,1316
ROST,ROSS STORES INC,0.0577281192,2003,7,1,3289.49016,42.96,1316
ROST,ROSS STORES INC,0.1062940141,2003,8,1,3479.38624,45.44,1316
ROST,ROSS STORES INC,-0.076039387,2003,9,1,3849.22417,50.27,1316
ROST,ROSS STORES INC,0.0799741324,2003,10,1,3525.91834,46.39,1316
ROST,ROSS STORES INC,0.0945608782,2003,11,1,3807.9006,50.1,1316
ROST,ROSS STORES INC,-0.033953998,2003,12,1,4163.60868,54.78,1316
ROST,ROSS STORES INC,0.052532124,2004,1,1,4001.17536,26.46,1316
ROST,ROSS STORES INC,0.1523339318,2004,2,1,4211.3656,27.85,1316
ROST,ROSS STORES INC,-0.044305772,2004,3,1,4846.4728,32.05,1316
ROST,ROSS STORES INC,-0.005876592,2004,4,1,4631.74608,30.63,1316
