ticker,conm,ret,year,month,EW,VW,PW,n
RSG,REPUBLIC SERVICES INC,-0.175438596,2000,1,1,2500.134,14.25,7524
RSG,REPUBLIC SERVICES INC,-0.085106383,2000,2,1,2061.514,11.75,7524
RSG,REPUBLIC SERVICES INC,0.0174418605,2000,3,1,1886.066,10.75,7524
RSG,REPUBLIC SERVICES INC,0.2514285714,2000,4,1,1918.9625,10.9375,7524
RSG,REPUBLIC SERVICES INC,0.2054794521,2000,5,1,2401.909875,13.6875,7524
RSG,REPUBLIC SERVICES INC,-0.03030303,2000,6,1,2896.212,16.5,7524
RSG,REPUBLIC SERVICES INC,0.046875,2000,7,1,2808.448,16,7524
RSG,REPUBLIC SERVICES INC,-0.126865672,2000,8,1,2940.094,16.75,7524
RSG,REPUBLIC SERVICES INC,-0.102564103,2000,9,1,2565.590625,14.625,7524
RSG,REPUBLIC SERVICES INC,0.0238095238,2000,10,1,2302.453125,13.125,7524
RSG,REPUBLIC SERVICES INC,0.0837209302,2000,11,1,2357.2734375,13.4375,7524
RSG,REPUBLIC SERVICES INC,0.1802575107,2000,12,1,2554.6265625,14.5625,7524
RSG,REPUBLIC SERVICES INC,-0.2,2001,1,1,2978.9890625,17.1875,7524
RSG,REPUBLIC SERVICES INC,0.2101818182,2001,2,1,2383.19125,13.75,7524
RSG,REPUBLIC SERVICES INC,0.1268028846,2001,3,1,2884.09472,16.64,7524
RSG,REPUBLIC SERVICES INC,-0.04,2001,4,1,3249.80625,18.75,7524
RSG,REPUBLIC SERVICES INC,0.0211111111,2001,5,1,3073.77,18,7524
RSG,REPUBLIC SERVICES INC,0.0799782372,2001,6,1,3136.56538,18.38,7524
RSG,REPUBLIC SERVICES INC,0.0025188917,2001,7,1,3387.42235,19.85,7524
RSG,REPUBLIC SERVICES INC,-0.002512563,2001,8,1,3395.9549,19.9,7524
RSG,REPUBLIC SERVICES INC,-0.183879093,2001,9,1,3387.42235,19.85,7524
RSG,REPUBLIC SERVICES INC,0.0111111111,2001,10,1,2749.8366,16.2,7524
RSG,REPUBLIC SERVICES INC,0.0531135531,2001,11,1,2780.39034,16.38,7524
RSG,REPUBLIC SERVICES INC,0.1576811594,2001,12,1,2916.95775,17.25,7524
RSG,REPUBLIC SERVICES INC,-0.12869304,2002,1,1,3376.90703,19.97,7524
RSG,REPUBLIC SERVICES INC,0.0316091954,2002,2,1,2942.3226,17.4,7524
RSG,REPUBLIC SERVICES INC,0.0406685237,2002,3,1,3035.32705,17.95,7524
RSG,REPUBLIC SERVICES INC,0.0599571734,2002,4,1,3158.76932,18.68,7524
RSG,REPUBLIC SERVICES INC,0.0616161616,2002,5,1,3307.4118,19.8,7524
RSG,REPUBLIC SERVICES INC,-0.092768792,2002,6,1,3493.48196,21.02,7524
RSG,REPUBLIC SERVICES INC,-0.077084426,2002,7,1,3169.39586,19.07,7524
RSG,REPUBLIC SERVICES INC,0.1704545455,2002,8,1,2925.0848,17.6,7524
RSG,REPUBLIC SERVICES INC,-0.087378641,2002,9,1,3370.469,20.6,7524
RSG,REPUBLIC SERVICES INC,0.0946808511,2002,10,1,3075.962,18.8,7524
RSG,REPUBLIC SERVICES INC,0.0447035957,2002,11,1,3367.1967,20.58,7524
RSG,REPUBLIC SERVICES INC,-0.024186047,2002,12,1,3522.6675,21.5,7524
RSG,REPUBLIC SERVICES INC,-0.023832221,2003,1,1,3437.4681,20.98,7524
RSG,REPUBLIC SERVICES INC,-0.068847656,2003,2,1,3355.5456,20.48,7524
RSG,REPUBLIC SERVICES INC,0.0403775564,2003,3,1,3124.52415,19.07,7524
RSG,REPUBLIC SERVICES INC,0.0816532258,2003,4,1,3199.43808,19.84,7524
RSG,REPUBLIC SERVICES INC,0.11416589,2003,5,1,3460.68252,21.46,7524
RSG,REPUBLIC SERVICES INC,-0.051861146,2003,6,1,3855.77442,23.91,7524
RSG,REPUBLIC SERVICES INC,0.067490075,2003,7,1,3655.80954,22.67,7524
RSG,REPUBLIC SERVICES INC,0.0173553719,2003,8,1,3902.5404,24.2,7524
RSG,REPUBLIC SERVICES INC,-0.077985378,2003,9,1,3955.15376,24.62,7524
RSG,REPUBLIC SERVICES INC,0.0269434629,2003,10,1,3637.07072,22.64,7524
RSG,REPUBLIC SERVICES INC,0.0946236559,2003,11,1,3735.066,23.25,7524
RSG,REPUBLIC SERVICES INC,0.0094302554,2003,12,1,4031.61085,25.45,7524
RSG,REPUBLIC SERVICES INC,-0.026531409,2004,1,1,4060.12519,25.63,7524
RSG,REPUBLIC SERVICES INC,0.0517034068,2004,2,1,3952.40435,24.95,7524
RSG,REPUBLIC SERVICES INC,0.0339176829,2004,3,1,4156.75712,26.24,7524
RSG,REPUBLIC SERVICES INC,0.0646472109,2004,4,1,4218.77829,27.07,7524
RSG,REPUBLIC SERVICES INC,0.0010409438,2004,5,1,4476.6106,28.82,7524
RSG,REPUBLIC SERVICES INC,0.0051993068,2004,6,1,4447.89105,28.85,7524
RSG,REPUBLIC SERVICES INC,-0.011748445,2004,7,1,4461.76662,28.94,7524
RSG,REPUBLIC SERVICES INC,-0.022727273,2004,8,1,4409.3478,28.6,7524
RSG,REPUBLIC SERVICES INC,0.0690518784,2004,9,1,4243.56465,27.95,7524
RSG,REPUBLIC SERVICES INC,0.0349462366,2004,10,1,4518.37152,29.76,7524
RSG,REPUBLIC SERVICES INC,0.0224025974,2004,11,1,4676.2716,30.8,7524
RSG,REPUBLIC SERVICES INC,0.0689107653,2004,12,1,4748.25114,31.49,7524
RSG,REPUBLIC SERVICES INC,-0.016994633,2005,1,1,5057.36244,33.54,7524
RSG,REPUBLIC SERVICES INC,-0.038216561,2005,2,1,4971.41442,32.97,7524
RSG,REPUBLIC SERVICES INC,0.059602649,2005,3,1,4746.06741,31.71,7524
RSG,REPUBLIC SERVICES INC,0.0334528076,2005,4,1,5010.98508,33.48,7524
RSG,REPUBLIC SERVICES INC,0.025433526,2005,5,1,5071.6334,34.6,7524
RSG,REPUBLIC SERVICES INC,0.0183201804,2005,6,1,4869.2752,35.48,7524
RSG,REPUBLIC SERVICES INC,0.0066648153,2005,7,1,5154.97554,36.01,7524
RSG,REPUBLIC SERVICES INC,-0.000551724,2005,8,1,5189.3325,36.25,7524
RSG,REPUBLIC SERVICES INC,-0.022081148,2005,9,1,5086.83692,36.23,7524
RSG,REPUBLIC SERVICES INC,0.0017001984,2005,10,1,4954.85716,35.29,7524
RSG,REPUBLIC SERVICES INC,0.0141442716,2005,11,1,4963.2814,35.35,7524
RSG,REPUBLIC SERVICES INC,0.0513249651,2005,12,1,4973.0403,35.85,7524
RSG,REPUBLIC SERVICES INC,0.0079893475,2006,1,1,5208.8609,37.55,7524
RSG,REPUBLIC SERVICES INC,0.0269484808,2006,2,1,5250.4763,37.85,7524
RSG,REPUBLIC SERVICES INC,0.0972472344,2006,3,1,5344.74161,38.87,7524
RSG,REPUBLIC SERVICES INC,0.0352858151,2006,4,1,5845.25253,42.51,7524
RSG,REPUBLIC SERVICES INC,-0.072937969,2006,5,1,6038.52408,44.01,7524
RSG,REPUBLIC SERVICES INC,-0.007843137,2006,6,1,5578.9512,40.8,7524
RSG,REPUBLIC SERVICES INC,-0.004462072,2006,7,1,5516.05126,40.34,7524
RSG,REPUBLIC SERVICES INC,-0.03436255,2006,8,1,5491.43824,40.16,7524
RSG,REPUBLIC SERVICES INC,0.0410005157,2006,9,1,5113.143,38.78,7524
RSG,REPUBLIC SERVICES INC,0.0198955484,2006,10,1,5301.6885,40.21,7524
RSG,REPUBLIC SERVICES INC,0.0114606194,2006,11,1,5407.1685,41.01,7524
RSG,REPUBLIC SERVICES INC,-0.015670203,2006,12,1,5412.43484,41.48,7524
RSG,REPUBLIC SERVICES INC,0.0634374232,2007,1,1,5306.74361,40.67,7524
RSG,REPUBLIC SERVICES INC,-0.026820809,2007,2,1,5643.38975,43.25,7524
RSG,REPUBLIC SERVICES INC,-0.004750535,2007,3,1,5434.36617,42.09,7524
RSG,REPUBLIC SERVICES INC,0.0039539899,2007,4,1,5387.8994,27.82,7524
RSG,REPUBLIC SERVICES INC,0.0841389187,2007,5,1,5403.19815,27.93,7524
RSG,REPUBLIC SERVICES INC,0.0154128137,2007,6,1,5861.26932,30.28,7524
RSG,REPUBLIC SERVICES INC,0.0427545692,2007,7,1,5930.95416,30.64,7524
RSG,REPUBLIC SERVICES INC,-0.026917058,2007,8,1,6184.52955,31.95,7524
RSG,REPUBLIC SERVICES INC,0.0575747829,2007,9,1,5872.68337,31.09,7524
RSG,REPUBLIC SERVICES INC,0.0452461021,2007,10,1,6178.69003,32.71,7524
RSG,REPUBLIC SERVICES INC,-0.029833285,2007,11,1,6458.25167,34.19,7524
RSG,REPUBLIC SERVICES INC,-0.049743744,2007,12,1,6198.44473,33.17,7524
RSG,REPUBLIC SERVICES INC,-0.043062201,2008,1,1,5858.34315,31.35,7524
RSG,REPUBLIC SERVICES INC,0.0176666667,2008,2,1,5606.07,30,7524
RSG,REPUBLIC SERVICES INC,-0.036685228,2008,3,1,5603.38461,30.53,7524
RSG,REPUBLIC SERVICES INC,0.0872093023,2008,4,1,5366.62188,29.24,7524
RSG,REPUBLIC SERVICES INC,0.0358603334,2008,5,1,5814.26384,31.79,7524
RSG,REPUBLIC SERVICES INC,-0.092924385,2008,6,1,5990.55974,32.93,7524
RSG,REPUBLIC SERVICES INC,0.0942760943,2008,7,1,5399.1333,29.7,7524
RSG,REPUBLIC SERVICES INC,0.0113846154,2008,8,1,5908.1425,32.5,7524
RSG,REPUBLIC SERVICES INC,-0.082141771,2008,9,1,5982.20852,32.87,7524
RSG,REPUBLIC SERVICES INC,-0.209472982,2008,10,1,5456.24008,29.98,7524
RSG,REPUBLIC SERVICES INC,0.0126582278,2008,11,1,4317.2868,23.7,7524
RSG,REPUBLIC SERVICES INC,0.0408333333,2008,12,1,4372.608,24,7524
RSG,REPUBLIC SERVICES INC,0.0431625656,2009,1,1,9365.9099,24.79,7524
RSG,REPUBLIC SERVICES INC,-0.230471771,2009,2,1,9770.1666,25.86,7524
RSG,REPUBLIC SERVICES INC,-0.128643216,2009,3,1,7518.419,19.9,7524
