ticker,conm,ret,year,month,EW,VW,PW,n
RUTH,RUTHS HOSPITALITY GROUP INC,,2005,8,1,,,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.022340426,2005,9,1,421.3456,18.8,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.028291621,2005,10,1,411.93256,18.38,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.010078387,2005,11,1,411.06576,17.86,9168
RUTH,RUTHS HOSPITALITY GROUP INC,0.0231900452,2005,12,1,406.92288,17.68,9168
RUTH,RUTHS HOSPITALITY GROUP INC,0.1691542289,2006,1,1,416.35944,18.09,9168
RUTH,RUTHS HOSPITALITY GROUP INC,0.0174940898,2006,2,1,486.7884,21.15,9168
RUTH,RUTHS HOSPITALITY GROUP INC,0.1064126394,2006,3,1,495.30432,21.52,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.019319614,2006,4,1,550.60625,23.81,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.139186296,2006,5,1,540.01545,23.35,9168
RUTH,RUTHS HOSPITALITY GROUP INC,0.015920398,2006,6,1,465.0537,20.1,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.130754163,2006,7,1,472.45754,20.42,9168
RUTH,RUTHS HOSPITALITY GROUP INC,0.12,2006,8,1,410.68175,17.75,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.05331992,2006,9,1,461.27564,19.88,9168
RUTH,RUTHS HOSPITALITY GROUP INC,0.0462274176,2006,10,1,436.68046,18.82,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.037582529,2006,11,1,456.86707,19.69,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.035356201,2006,12,1,440.0948,18.95,9168
RUTH,RUTHS HOSPITALITY GROUP INC,0.1750547046,2007,1,1,424.53472,18.28,9168
RUTH,RUTHS HOSPITALITY GROUP INC,0.0046554935,2007,2,1,498.85152,21.48,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.056533828,2007,3,1,501.17392,21.58,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.025049116,2007,4,1,471.98552,20.36,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.077581864,2007,5,1,460.18255,19.85,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.072091753,2007,6,1,424.55397,18.31,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.015891701,2007,7,1,393.94713,16.99,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.005980861,2007,8,1,387.68664,16.72,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.142599278,2007,9,1,385.48428,16.62,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.112982456,2007,10,1,330.5145,14.25,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.042721519,2007,11,1,293.17216,12.64,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.261157025,2007,12,1,280.8652,12.1,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.073825503,2008,1,1,207.51528,8.94,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.153200483,2008,2,1,192.19536,8.28,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.014476218,2008,3,1,162.750938,7.0115,9168
RUTH,RUTHS HOSPITALITY GROUP INC,0.0636758321,2008,4,1,167.69188,6.91,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.039455782,2008,5,1,178.3698,7.35,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.266288952,2008,6,1,171.3462,7.06,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.079150579,2008,7,1,125.7186,5.18,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.046121593,2008,8,1,115.7679,4.77,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.136263736,2008,9,1,111.0928,4.55,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.417302799,2008,10,1,95.95488,3.93,9168
RUTH,RUTHS HOSPITALITY GROUP INC,-0.349344978,2008,11,1,55.91264,2.29,9168
