ticker,conm,ret,year,month,EW,VW,PW,n
RVLV,REVOLVE GROUP INC,,2019,6,1,,,5420
RVLV,REVOLVE GROUP INC,-0.000869565,2019,7,1,466.7505,34.5,5420
RVLV,REVOLVE GROUP INC,-0.342326661,2019,8,1,466.34463,34.47,5420
RVLV,REVOLVE GROUP INC,0.0308778121,2019,9,1,306.70243,22.67,5420
RVLV,REVOLVE GROUP INC,-0.111681643,2019,10,1,316.17273,23.37,5420
RVLV,REVOLVE GROUP INC,-0.223506744,2019,11,1,280.86204,20.76,5420
RVLV,REVOLVE GROUP INC,0.1389578164,2019,12,1,218.11972,16.12,5420
RVLV,REVOLVE GROUP INC,-0.031045752,2020,1,1,248.42916,18.36,5420
RVLV,REVOLVE GROUP INC,-0.083754918,2020,2,1,240.71649,17.79,5420
RVLV,REVOLVE GROUP INC,-0.46993865,2020,3,1,220.5553,16.3,5420
RVLV,REVOLVE GROUP INC,0.2719907407,2020,4,1,136.33056,8.64,5420
RVLV,REVOLVE GROUP INC,0.279344859,2020,5,1,173.78487,10.99,5420
RVLV,REVOLVE GROUP INC,0.0568990043,2020,6,1,222.33078,14.06,5420
RVLV,REVOLVE GROUP INC,0.101615074,2020,7,1,234.98118,14.86,5420
RVLV,REVOLVE GROUP INC,0.2266340867,2020,8,1,258.85881,16.37,5420
RVLV,REVOLVE GROUP INC,-0.181772908,2020,9,1,319.89448,20.08,5420
RVLV,REVOLVE GROUP INC,0.1004260499,2020,10,1,261.74633,16.43,5420
RVLV,REVOLVE GROUP INC,0.3053097345,2020,11,1,288.03248,18.08,5420
RVLV,REVOLVE GROUP INC,0.3207627119,2020,12,1,607.6292,23.6,5420
