ticker,conm,ret,year,month,EW,VW,PW,n
SERV.1,SERVIDYNE INC,-0.176470588,2000,1,1,12.478,4.25,17
SERV.1,SERVIDYNE INC,0.0357142857,2000,2,1,10.276,3.5,17
SERV.1,SERVIDYNE INC,0.1144827586,2000,3,1,10.643,3.625,17
SERV.1,SERVIDYNE INC,-0.0625,2000,4,1,11.744,4,17
SERV.1,SERVIDYNE INC,0,2000,5,1,11.01,3.75,17
SERV.1,SERVIDYNE INC,0.1106666667,2000,6,1,11.01,3.75,17
SERV.1,SERVIDYNE INC,0.0303030303,2000,7,1,12.111,4.125,17
SERV.1,SERVIDYNE INC,-0.073529412,2000,8,1,12.478,4.25,17
SERV.1,SERVIDYNE INC,-0.069206349,2000,9,1,11.5605,3.9375,17
SERV.1,SERVIDYNE INC,0.0689655172,2000,10,1,10.643,3.625,17
SERV.1,SERVIDYNE INC,-0.032258065,2000,11,1,11.377,3.875,17
SERV.1,SERVIDYNE INC,0.069,2000,12,1,11.01,3.75,17
SERV.1,SERVIDYNE INC,0.0393700787,2001,1,1,11.64034375,3.96875,17
SERV.1,SERVIDYNE INC,-0.090909091,2001,2,1,12.098625,4.125,17
SERV.1,SERVIDYNE INC,-0.064333333,2001,3,1,10.99875,3.75,17
SERV.1,SERVIDYNE INC,0.009009009,2001,4,1,10.2328125,3.46875,17
SERV.1,SERVIDYNE INC,0.1428571429,2001,5,1,10.325,3.5,17
SERV.1,SERVIDYNE INC,-0.015,2001,6,1,11.8,4,17
SERV.1,SERVIDYNE INC,0.0256410256,2001,7,1,11.505,3.9,17
SERV.1,SERVIDYNE INC,-0.0275,2001,8,1,11.756,4,17
SERV.1,SERVIDYNE INC,0.0154241645,2001,9,1,11.43271,3.89,17
SERV.1,SERVIDYNE INC,0.010230179,2001,10,1,11.48367,3.91,17
SERV.1,SERVIDYNE INC,-0.012658228,2001,11,1,11.60115,3.95,17
SERV.1,SERVIDYNE INC,-0.017948718,2001,12,1,11.4543,3.9,17
SERV.1,SERVIDYNE INC,0,2002,1,1,11.07059,3.79,17
SERV.1,SERVIDYNE INC,0.055408971,2002,2,1,11.07059,3.79,17
SERV.1,SERVIDYNE INC,0.26,2002,3,1,11.684,4,17
SERV.1,SERVIDYNE INC,0.0422,2002,4,1,14.55,5,17
SERV.1,SERVIDYNE INC,-0.002110919,2002,5,1,15.16401,5.211,17
SERV.1,SERVIDYNE INC,-0.030769231,2002,6,1,15.132,5.2,17
SERV.1,SERVIDYNE INC,-0.0782,2002,7,1,14.55,5,17
SERV.1,SERVIDYNE INC,0.0305923194,2002,8,1,13.407581,4.609,17
SERV.1,SERVIDYNE INC,-0.086315789,2002,9,1,13.81775,4.75,17
SERV.1,SERVIDYNE INC,-0.069767442,2002,10,1,12.513,4.3,17
SERV.1,SERVIDYNE INC,0,2002,11,1,11.64,4,17
SERV.1,SERVIDYNE INC,-0.0775,2002,12,1,11.64,4,17
SERV.1,SERVIDYNE INC,0.0410958904,2003,1,1,10.6215,3.65,17
SERV.1,SERVIDYNE INC,-0.013157895,2003,2,1,11.058,3.8,17
SERV.1,SERVIDYNE INC,0.064,2003,3,1,10.9125,3.75,17
SERV.1,SERVIDYNE INC,0.0025316456,2003,4,1,11.4945,3.95,17
SERV.1,SERVIDYNE INC,0.0224747475,2003,5,1,11.5236,3.96,17
SERV.1,SERVIDYNE INC,-0.026920227,2003,6,1,11.78259,4.049,17
SERV.1,SERVIDYNE INC,-0.064102564,2003,7,1,11.349,3.9,17
SERV.1,SERVIDYNE INC,-0.005753425,2003,8,1,10.6361,3.65,17
SERV.1,SERVIDYNE INC,0.1049875999,2003,9,1,10.574906,3.629,17
SERV.1,SERVIDYNE INC,0.0327455919,2003,10,1,11.56858,3.97,17
SERV.1,SERVIDYNE INC,0.0485365854,2003,11,1,11.9474,4.1,17
SERV.1,SERVIDYNE INC,-0.060246569,2003,12,1,12.527286,4.299,17
SERV.1,SERVIDYNE INC,0.05,2004,1,1,11.656,4,17
SERV.1,SERVIDYNE INC,-0.071428571,2004,2,1,12.2388,4.2,17
SERV.1,SERVIDYNE INC,-0.015384615,2004,3,1,11.3646,3.9,17
SERV.1,SERVIDYNE INC,0.0710526316,2004,4,1,11.6204,3.8,17
SERV.1,SERVIDYNE INC,0.1031941032,2004,5,1,12.44606,4.07,17
SERV.1,SERVIDYNE INC,-0.008908686,2004,6,1,13.73042,4.49,17
SERV.1,SERVIDYNE INC,-0.047058824,2004,7,1,12.9965,4.25,17
SERV.1,SERVIDYNE INC,-0.061728395,2004,8,1,12.9843,4.05,17
SERV.1,SERVIDYNE INC,-0.015789474,2004,9,1,12.1828,3.8,17
SERV.1,SERVIDYNE INC,0.0540540541,2004,10,1,11.8622,3.7,17
SERV.1,SERVIDYNE INC,-0.012820513,2004,11,1,12.5034,3.9,17
SERV.1,SERVIDYNE INC,0.3350649351,2004,12,1,12.3431,3.85,17
SERV.1,SERVIDYNE INC,-0.117647059,2005,1,1,17.1156,5.1,17
SERV.1,SERVIDYNE INC,0.1333333333,2005,2,1,15.102,4.5,17
SERV.1,SERVIDYNE INC,0,2005,3,1,17.1156,5.1,17
SERV.1,SERVIDYNE INC,-0.084980237,2005,4,1,16.23248,5.06,17
SERV.1,SERVIDYNE INC,0.1382289417,2005,5,1,14.85304,4.63,17
SERV.1,SERVIDYNE INC,-0.043643264,2005,6,1,16.90616,5.27,17
SERV.1,SERVIDYNE INC,0.454,2005,7,1,16.04,5,17
SERV.1,SERVIDYNE INC,0.1488308116,2005,8,1,23.32943,7.27,17
SERV.1,SERVIDYNE INC,-0.306393678,2005,9,1,26.801568,8.352,17
SERV.1,SERVIDYNE INC,-0.149139579,2005,10,1,18.46713,5.23,17
SERV.1,SERVIDYNE INC,0.0134831461,2005,11,1,15.71295,4.45,17
SERV.1,SERVIDYNE INC,-0.027494457,2005,12,1,15.92481,4.51,17
SERV.1,SERVIDYNE INC,-0.054942529,2006,1,1,15.4251,4.35,17
SERV.1,SERVIDYNE INC,0.0119192411,2006,2,1,14.577606,4.111,17
SERV.1,SERVIDYNE INC,0.0447115385,2006,3,1,14.75136,4.16,17
SERV.1,SERVIDYNE INC,0.0324825986,2006,4,1,15.21861,4.31,17
SERV.1,SERVIDYNE INC,-0.042696629,2006,5,1,15.71295,4.45,17
SERV.1,SERVIDYNE INC,-0.029107981,2006,6,1,15.04206,4.26,17
SERV.1,SERVIDYNE INC,0.0707317073,2006,7,1,14.4771,4.1,17
